EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 38-Sound-of-Sport |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 38-Sound-of-Sport |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 38-Sound-of-Sport |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 38-Sound-of-Sport |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 38-Sound-of-Sport |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 38-Sound-of-Sport |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 38-Sound-of-Sport |	Price in coverage match limited by state law
EDL	00:00:24,576	00:00:30,976	| 38-Sound-of-Sport |	Family ghosts is a podcast explores all the unexpected ways our family structure and shape our view
EDL	00:00:30,976	00:00:31,744	| 38-Sound-of-Sport |	Of the world
EDL	00:00:31,744	00:00:37,376	| 38-Sound-of-Sport |	Each episode of Family ghosts takes a look at the story behind a different person's family lore
EDL	00:00:37,376	00:00:40,192	| 38-Sound-of-Sport |	Digging into unanswered questions about their history
EDL	00:00:40,192	00:00:46,080	| 38-Sound-of-Sport |	Season 2 Launches on May 15th featuring an episode where they take you inside the love Israel family called
EDL	00:00:46,080	00:00:50,688	| 38-Sound-of-Sport |	An episode about uncovering the secrets scrolled in a newly discovered stack of Love Letters
EDL	00:00:50,688	00:00:57,088	| 38-Sound-of-Sport |	Asuna episode that brings you along to the hunt for a container of missing Chinese food that's haunted a family
EDL	00:00:57,088	00:00:58,368	| 38-Sound-of-Sport |	For 25 years
EDL	00:00:58,368	00:00:58,880	| 38-Sound-of-Sport |	And more
EDL	00:00:59,392	00:01:03,488	| 38-Sound-of-Sport |	Subscribe to family goes wherever you get your podcast and find out why they say
EDL	00:01:03,488	00:01:04,768	| 38-Sound-of-Sport |	Every house is haunted
EDL	00:01:06,304	00:01:12,704	| 38-Sound-of-Sport |	We get support from UC Davis globally ranked University working to solve the world's most pressing problems and food
EDL	00:01:12,704	00:01:15,264	| 38-Sound-of-Sport |	Energy health education and the environment
EDL	00:01:15,264	00:01:21,408	| 38-Sound-of-Sport |	UC Davis researchers collaborate and innovate in California and around the globe Define transformational Solutions
EDL	00:01:21,408	00:01:25,504	| 38-Sound-of-Sport |	Quality of life for all living things
EDL	00:01:25,504	00:01:29,344	| 38-Sound-of-Sport |	Find out more at 21st century. Ucdavis.edu
EDL	00:01:34,720	00:01:36,512	| 38-Sound-of-Sport |	This is 99% invisible
EDL	00:01:37,024	00:01:37,792	| 38-Sound-of-Sport |	I'm Roman Mars
EDL	00:01:39,584	00:01:45,984	| 38-Sound-of-Sport |	Buchanan's Baxter and Bill Winston are doing their job right you probably don't notice that the
EDL	00:01:45,984	00:01:47,264	| 38-Sound-of-Sport |	They're doing their job
EDL	00:01:47,264	00:01:52,640	| 38-Sound-of-Sport |	But they are so good at doing their job you probably don't even know that her job exist at all
EDL	00:01:53,152	00:01:56,224	| 38-Sound-of-Sport |	Are sound designers televised sporting events
EDL	00:01:56,224	00:02:02,624	| 38-Sound-of-Sport |	Their job is to draw the audience into the action and make Sports sound as exciting as possible
EDL	00:02:02,624	00:02:05,440	| 38-Sound-of-Sport |	And that doesn't mean that they throw a bunch of microphones on the field
EDL	00:02:05,952	00:02:07,232	| 38-Sound-of-Sport |	This is Dennis Baxter
