EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 57-What-Gave-You-That-Idea |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,656	| 57-What-Gave-You-That-Idea |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 57-What-Gave-You-That-Idea |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 57-What-Gave-You-That-Idea |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 57-What-Gave-You-That-Idea |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 57-What-Gave-You-That-Idea |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 57-What-Gave-You-That-Idea |	Price in coverage match limited by state law
EDL	00:00:24,064	00:00:26,368	| 57-What-Gave-You-That-Idea |	When it comes to marketing your business
EDL	00:00:26,368	00:00:32,768	| 57-What-Gave-You-That-Idea |	It's all about reaching the Right audience at the right time and connecting with that audience when your message will resonate the most
EDL	00:00:32,768	00:00:34,048	| 57-What-Gave-You-That-Idea |	LinkedIn can help
EDL	00:00:34,048	00:00:40,448	| 57-What-Gave-You-That-Idea |	Lincoln is the world's largest Professional Network in LinkedIn marketing Solutions allow you to Target your customers
EDL	00:00:40,448	00:00:44,032	| 57-What-Gave-You-That-Idea |	Weather in beijing every day when they're ready to make a decision
EDL	00:00:44,544	00:00:50,944	| 57-What-Gave-You-That-Idea |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their customers those relationships often
EDL	00:00:50,944	00:00:57,344	| 57-What-Gave-You-That-Idea |	Turn into high-quality leads website traffic and higher brand awareness and Linkedin have the marking tools
EDL	00:00:57,344	00:00:59,904	| 57-What-Gave-You-That-Idea |	Help you target your customers with precision
EDL	00:00:59,904	00:01:06,304	| 57-What-Gave-You-That-Idea |	Down to the job title company name and Industry because we can Target exactly who you want to reach you can make sure
EDL	00:01:06,304	00:01:10,912	| 57-What-Gave-You-That-Idea |	Customers are getting a message that they care about which in turn builds Trust
EDL	00:01:10,912	00:01:17,312	| 57-What-Gave-You-That-Idea |	To redeem a free $100 LinkedIn at credit and launch your first campaign go to linkedin.com
EDL	00:01:17,312	00:01:22,176	| 57-What-Gave-You-That-Idea |	Isabel linkedin.com invisible Pier free $100 at credit
EDL	00:01:22,688	00:01:24,224	| 57-What-Gave-You-That-Idea |	Terms and conditions apply
EDL	00:01:25,504	00:01:31,904	| 57-What-Gave-You-That-Idea |	We get support from UC Davis globally ranked University working to solve the world's most pressing problems
