EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,656	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	Price in coverage match limited by state law
EDL	00:00:24,064	00:00:26,368	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	When it comes to marketing your business
EDL	00:00:26,368	00:00:32,768	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	It's all about reaching the Right audience at the right time and connecting with that audience when your message will resonate the most
EDL	00:00:32,768	00:00:34,048	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	LinkedIn can help
EDL	00:00:34,048	00:00:40,448	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	Lincoln is the world's largest Professional Network in LinkedIn marketing Solutions allow you to Target your customers
EDL	00:00:40,448	00:00:44,032	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	Weather in beijing every day when they're ready to make a decision
EDL	00:00:44,544	00:00:50,944	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their customers those relationships often
EDL	00:00:50,944	00:00:57,344	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	Turn into high-quality leads website traffic and higher brand awareness and Linkedin have the marking tools
EDL	00:00:57,344	00:00:59,904	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	Help you target your customers with precision
EDL	00:00:59,904	00:01:06,304	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	Down to the job title company name and Industry because we can Target exactly who you want to reach you can make sure
EDL	00:01:06,304	00:01:10,912	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	Customers are getting a message that they care about which in turn builds Trust
EDL	00:01:10,912	00:01:17,312	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	To redeem a free $100 LinkedIn at credit and launch your first campaign go to linkedin.com
EDL	00:01:17,312	00:01:22,176	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	Isabel linkedin.com invisible Pier free $100 at credit
EDL	00:01:22,688	00:01:24,224	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	Terms and conditions apply
EDL	00:01:25,248	00:01:27,040	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	This is 99% invisible
EDL	00:01:27,040	00:01:27,808	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	I'm Roman Mars
EDL	00:01:28,576	00:01:29,600	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	So earlier this month
EDL	00:01:30,112	00:01:33,952	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	We wrapped up the 99 percent invisible kickstarter fundraising campaign
EDL	00:01:34,464	00:01:35,488	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	And it was amazing
EDL	00:01:36,000	00:01:39,072	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	We had 5661 backers
EDL	00:01:39,584	00:01:41,376	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	Raised over a hundred and seventy
EDL	00:01:47,008	00:01:48,288	| 99pi-0060a-twostoreys-languagebitesandthememorypalace-1 |	That was not what I was expecting
