EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0060b-backstory-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,656	| 99pi-0060b-backstory-1 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 99pi-0060b-backstory-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 99pi-0060b-backstory-1 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:19,968	| 99pi-0060b-backstory-1 |	Use the Name Your Price tool and start an online quote today at progressive.com
EDL	00:00:20,480	00:00:22,784	| 99pi-0060b-backstory-1 |	Price in coverage match limited by state law
EDL	00:00:24,064	00:00:30,464	| 99pi-0060b-backstory-1 |	When it comes to marketing your business it's all about reaching the Right audience at the right time and connecting with that on
EDL	00:00:30,464	00:00:34,048	| 99pi-0060b-backstory-1 |	When your message will resonate the most LinkedIn can help
EDL	00:00:34,048	00:00:40,448	| 99pi-0060b-backstory-1 |	Lincoln is the world's largest Professional Network in LinkedIn marketing Solutions allow you to Target your customers
EDL	00:00:40,448	00:00:44,544	| 99pi-0060b-backstory-1 |	Weather in beijing every day when they're ready to make a decision
EDL	00:00:44,544	00:00:50,944	| 99pi-0060b-backstory-1 |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their customers those relationships often
EDL	00:00:50,944	00:00:57,344	| 99pi-0060b-backstory-1 |	Turn into high-quality leads website traffic and higher brand awareness and Linkedin have the marking tools
EDL	00:00:57,344	00:00:59,904	| 99pi-0060b-backstory-1 |	Help you target your customers with precision
EDL	00:00:59,904	00:01:06,304	| 99pi-0060b-backstory-1 |	Down to the job title company name and Industry because we can Target exactly who you want to reach you can make sure
EDL	00:01:06,304	00:01:12,704	| 99pi-0060b-backstory-1 |	Customers are getting a message that they care about which in turn builds trust a free $100
EDL	00:01:12,704	00:01:19,104	| 99pi-0060b-backstory-1 |	Burlington add Credit in launcher first campaign go to linkedin.com invisible up linkedin.com
EDL	00:01:19,104	00:01:22,176	| 99pi-0060b-backstory-1 |	Cam invisible Pier free $100 at credit
EDL	00:01:22,688	00:01:24,224	| 99pi-0060b-backstory-1 |	Terms and conditions apply
EDL	00:01:24,992	00:01:26,784	| 99pi-0060b-backstory-1 |	This is 99% invisible
EDL	00:01:26,784	00:01:27,552	| 99pi-0060b-backstory-1 |	I'm Roman Mars
EDL	00:01:28,832	00:01:29,856	| 99pi-0060b-backstory-1 |	Hello friends
EDL	00:01:29,856	00:01:31,904	| 99pi-0060b-backstory-1 |	We have just 10 days before season 3
EDL	00:01:32,416	00:01:34,720	| 99pi-0060b-backstory-1 |	September 19th is the big day
EDL	00:01:34,720	00:01:38,304	| 99pi-0060b-backstory-1 |	The plan is a new episode every 9 days and Sam is here
EDL	00:01:38,816	00:01:40,096	| 99pi-0060b-backstory-1 |	Keeping us on task
EDL	00:01:40,608	00:01:42,656	| 99pi-0060b-backstory-1 |	And I really enjoy the new shows for working
EDL	00:01:43,424	00:01:49,824	| 99pi-0060b-backstory-1 |	In the meantime I literally have 10,000 tiny pocket size notebook samael staff to package and ship along with us.
EDL	00:01:49,824	00:01:50,592	| 99pi-0060b-backstory-1 |	Thousand t-shirts
EDL	00:01:51,360	00:01:52,640	| 99pi-0060b-backstory-1 |	Is all the result of a
EDL	00:01:52,640	00:01:55,712	| 99pi-0060b-backstory-1 |	Fantastic Kickstarter campaign that not complaining at all
EDL	00:01:55,712	00:01:58,528	| 99pi-0060b-backstory-1 |	Great that we're working day and night hear it
EDL	00:01:58,528	00:02:00,320	| 99pi-0060b-backstory-1 |	99p ihq
EDL	00:02:00,320	00:02:04,416	| 99pi-0060b-backstory-1 |	The resident reorder the feed with a repeater make you wait another week and a half
EDL	00:02:04,416	00:02:07,488	| 99pi-0060b-backstory-1 |	I have a story from radio show that I've only recently started listening to
EDL	00:02:08,000	00:02:08,768	| 99pi-0060b-backstory-1 |	Just
EDL	00:02:08,768	00:02:09,536	| 99pi-0060b-backstory-1 |	Great
EDL	00:02:09,536	00:02:11,840	| 99pi-0060b-backstory-1 |	It's called backstory with the American history
EDL	00:02:12,864	00:02:18,240	| 99pi-0060b-backstory-1 |	And it's the highly enjoyable show you don't even need a love history to enjoy it you just need to be
EDL	00:02:18,752	00:02:19,520	| 99pi-0060b-backstory-1 |	Curious about the
EDL	00:02:20,032	00:02:21,056	| 99pi-0060b-backstory-1 |	All around you
EDL	00:02:21,056	00:02:22,080	| 99pi-0060b-backstory-1 |	I like stories
EDL	00:02:22,848	00:02:24,128	| 99pi-0060b-backstory-1 |	About how it got that way which
EDL	00:02:24,640	00:02:28,224	| 99pi-0060b-backstory-1 |	What is the definition of history but the point is I think you're going to like
EDL	00:02:29,248	00:02:31,552	| 99pi-0060b-backstory-1 |	99percentinvisible is obsessed
EDL	00:02:32,064	00:02:34,880	| 99pi-0060b-backstory-1 |	With the things we build and what they say about us
EDL	00:02:35,392	00:02:36,160	| 99pi-0060b-backstory-1 |	Usually
EDL	00:02:36,160	00:02:36,928	| 99pi-0060b-backstory-1 |	In directory
EDL	00:02:36,928	00:02:37,440	| 99pi-0060b-backstory-1 |	Spruce Way
EDL	00:02:37,952	00:02:39,744	| 99pi-0060b-backstory-1 |	I'm drawn to Monument
EDL	00:02:39,744	00:02:40,512	| 99pi-0060b-backstory-1 |	Because
EDL	00:02:40,512	00:02:41,792	| 99pi-0060b-backstory-1 |	These are things we build that
EDL	00:02:41,792	00:02:43,072	| 99pi-0060b-backstory-1 |	Their Inception
EDL	00:02:45,376	00:02:47,424	| 99pi-0060b-backstory-1 |	Trying to tell you a story
EDL	00:02:48,448	00:02:49,472	| 99pi-0060b-backstory-1 |	Give a place
EDL	00:02:49,472	00:02:50,496	| 99pi-0060b-backstory-1 |	For a moment in time
EDL	00:02:51,008	00:02:51,776	| 99pi-0060b-backstory-1 |	Difficult
EDL	00:02:51,776	00:02:52,288	| 99pi-0060b-backstory-1 |	Meaning
EDL	00:02:52,800	00:02:54,592	| 99pi-0060b-backstory-1 |	But that meaning that's fused
EDL	00:02:55,104	00:02:55,872	| 99pi-0060b-backstory-1 |	Concrete
EDL	00:02:55,872	00:02:56,384	| 99pi-0060b-backstory-1 |	Stone
EDL	00:02:56,896	00:02:59,200	| 99pi-0060b-backstory-1 |	Can be slanted hurtful bigoted
EDL	00:02:59,712	00:03:02,016	| 99pi-0060b-backstory-1 |	May be misguided or even miss under
EDL	00:03:02,016	00:03:02,528	| 99pi-0060b-backstory-1 |	Stud
EDL	00:03:03,040	00:03:03,808	| 99pi-0060b-backstory-1 |	Anyway
EDL	00:03:03,808	00:03:05,600	| 99pi-0060b-backstory-1 |	This is a story about a monument
EDL	00:03:05,600	00:03:07,392	| 99pi-0060b-backstory-1 |	But I couldn't get out of my head the first time I heard it
EDL	00:03:08,928	00:03:10,208	| 99pi-0060b-backstory-1 |	One of the host of Acts
EDL	00:03:10,208	00:03:11,232	| 99pi-0060b-backstory-1 |	Destroy the 19th
EDL	00:03:11,232	00:03:12,512	| 99pi-0060b-backstory-1 |	Century history guy at air
EDL	00:03:13,280	00:03:14,304	| 99pi-0060b-backstory-1 |	Is going to take it from here
EDL	00:03:15,328	00:03:18,400	| 99pi-0060b-backstory-1 |	The 1890s the first decade of twentieth-century.
EDL	00:03:18,400	00:03:20,960	| 99pi-0060b-backstory-1 |	Veterans in both the union and the Confederacy were
EDL	00:03:20,960	00:03:22,240	| 99pi-0060b-backstory-1 |	Dying often
EDL	00:03:22,240	00:03:23,520	| 99pi-0060b-backstory-1 |	Their sons and daughters
EDL	00:03:23,520	00:03:24,544	| 99pi-0060b-backstory-1 |	Notice that
EDL	00:03:24,544	00:03:27,872	| 99pi-0060b-backstory-1 |	They better acknowledge their enormous sacrifices and
EDL	00:03:28,384	00:03:31,200	| 99pi-0060b-backstory-1 |	Begin a kind of mania putting up monuments in
EDL	00:03:31,712	00:03:34,784	| 99pi-0060b-backstory-1 |	Towns and cities and Villages all across the country
EDL	00:03:34,784	00:03:35,296	| 99pi-0060b-backstory-1 |	And
EDL	00:03:35,808	00:03:40,672	| 99pi-0060b-backstory-1 |	Even into the early 1930s people were still trying to nail down all the meeting
EDL	00:03:40,672	00:03:42,464	| 99pi-0060b-backstory-1 |	Except it's complicated Civil War
EDL	00:03:42,464	00:03:43,232	| 99pi-0060b-backstory-1 |	My Memorial
EDL	00:03:44,256	00:03:46,816	| 99pi-0060b-backstory-1 |	And one place of the memorialization of the Civil War
EDL	00:03:46,816	00:03:47,584	| 99pi-0060b-backstory-1 |	Was played out
EDL	00:03:47,584	00:03:50,656	| 99pi-0060b-backstory-1 |	Was it one of the places where the Civil War in some ways began
EDL	00:03:51,168	00:03:52,192	| 99pi-0060b-backstory-1 |	Harpers Ferry
EDL	00:03:52,192	00:03:52,960	| 99pi-0060b-backstory-1 |	West Virginia
EDL	00:03:53,472	00:03:55,520	| 99pi-0060b-backstory-1 |	Where John Brown lettuce famous raid
EDL	00:03:55,520	00:03:56,800	| 99pi-0060b-backstory-1 |	It 1859
EDL	00:03:57,312	00:03:59,872	| 99pi-0060b-backstory-1 |	A band of white and black abolitionists
EDL	00:04:00,384	00:04:01,152	| 99pi-0060b-backstory-1 |	Trying to
EDL	00:04:01,152	00:04:02,432	| 99pi-0060b-backstory-1 |	Inspire a slave rebellion
EDL	00:04:03,200	00:04:04,992	| 99pi-0060b-backstory-1 |	Today there are two monuments there
EDL	00:04:04,992	00:04:06,016	| 99pi-0060b-backstory-1 |	1 is a 6
EDL	00:04:06,016	00:04:07,296	| 99pi-0060b-backstory-1 |	Split tall obelisk
EDL	00:04:07,296	00:04:09,856	| 99pi-0060b-backstory-1 |	How looks like a miniature Washington Monument
EDL	00:04:09,856	00:04:13,696	| 99pi-0060b-backstory-1 |	And that Monument marks the original location of the old Federal Armory
EDL	00:04:14,208	00:04:16,000	| 99pi-0060b-backstory-1 |	That was so important in John Brown's raid
EDL	00:04:17,024	00:04:17,791	| 99pi-0060b-backstory-1 |	Today
EDL	00:04:17,791	00:04:18,815	| 99pi-0060b-backstory-1 |	Across the street
EDL	00:04:18,815	00:04:20,351	| 99pi-0060b-backstory-1 |	Maybe a hundred feet away
EDL	00:04:20,351	00:04:23,423	| 99pi-0060b-backstory-1 |	Up against the side of a large brick building is another Memorial
EDL	00:04:23,935	00:04:26,495	| 99pi-0060b-backstory-1 |	And that one looks like a big Tombstone frankly
EDL	00:04:26,495	00:04:27,519	| 99pi-0060b-backstory-1 |	About the size
EDL	00:04:27,519	00:04:28,287	| 99pi-0060b-backstory-1 |	A refrigerator
EDL	00:04:28,799	00:04:30,079	| 99pi-0060b-backstory-1 |	It's a large
EDL	00:04:30,079	00:04:30,847	| 99pi-0060b-backstory-1 |	Granite and
EDL	00:04:30,847	00:04:31,359	| 99pi-0060b-backstory-1 |	Ascribed
EDL	00:04:31,871	00:04:32,639	| 99pi-0060b-backstory-1 |	Monument
EDL	00:04:32,639	00:04:33,663	| 99pi-0060b-backstory-1 |	This is Todd Bolton
EDL	00:04:34,175	00:04:35,967	| 99pi-0060b-backstory-1 |	He works the National Park Service at Harvest
EDL	00:04:36,735	00:04:39,551	| 99pi-0060b-backstory-1 |	To buy producers Eric mental nailpassion Stein
EDL	00:04:39,551	00:04:41,599	| 99pi-0060b-backstory-1 |	Talk to him when they visited the town
EDL	00:04:41,599	00:04:44,671	| 99pi-0060b-backstory-1 |	And the mind that he's describing was dedicated 1931
EDL	00:04:45,183	00:04:48,255	| 99pi-0060b-backstory-1 |	In honor of the first person killed in John Brown's raid
EDL	00:04:48,255	00:04:50,303	| 99pi-0060b-backstory-1 |	A man by the name of Hayward Shepherd
EDL	00:04:50,815	00:04:52,607	| 99pi-0060b-backstory-1 |	There's no images on it no
EDL	00:04:53,375	00:04:55,167	| 99pi-0060b-backstory-1 |	No bronze it's it's it's
EDL	00:04:55,167	00:04:55,679	| 99pi-0060b-backstory-1 |	It's text
EDL	00:04:56,191	00:04:58,495	| 99pi-0060b-backstory-1 |	N64 Maybe
EDL	00:04:59,007	00:05:00,031	| 99pi-0060b-backstory-1 |	Space Halsey wear
EDL	00:05:00,543	00:05:01,567	| 99pi-0060b-backstory-1 |	That's in good shape
EDL	00:05:02,079	00:05:02,847	| 99pi-0060b-backstory-1 |	It's it really is
EDL	00:05:03,615	00:05:05,663	| 99pi-0060b-backstory-1 |	Rackaracka
EDL	00:05:05,663	00:05:06,687	| 99pi-0060b-backstory-1 |	Pretty good shape
EDL	00:05:06,687	00:05:08,479	| 99pi-0060b-backstory-1 |	The interesting thing about Heyward Shepherd
EDL	00:05:08,479	00:05:10,015	| 99pi-0060b-backstory-1 |	Is it just that he was the first
EDL	00:05:10,015	00:05:12,063	| 99pi-0060b-backstory-1 |	Person killed by Brown and his Raiders
EDL	00:05:12,063	00:05:14,367	| 99pi-0060b-backstory-1 |	Is a Hayward Shepherd was African-American
EDL	00:05:14,367	00:05:15,135	| 99pi-0060b-backstory-1 |	Free black
EDL	00:05:16,159	00:05:19,743	| 99pi-0060b-backstory-1 |	A fact that has made this Memorial more than a little problematic over the
EDL	00:05:20,511	00:05:21,535	| 99pi-0060b-backstory-1 |	Eric and Nell
EDL	00:05:21,535	00:05:22,047	| 99pi-0060b-backstory-1 |	Tell story
EDL	00:05:22,559	00:05:25,887	| 99pi-0060b-backstory-1 |	Hayward Sheppard work as a porter for the B&O Railroad in Harpers Ferry
EDL	00:05:26,655	00:05:28,191	| 99pi-0060b-backstory-1 |	He was on duty the night of October 9th
EDL	00:05:28,703	00:05:29,983	| 99pi-0060b-backstory-1 |	1859
EDL	00:05:29,983	00:05:31,263	| 99pi-0060b-backstory-1 |	The night of John Brown's raid
EDL	00:05:31,775	00:05:33,311	| 99pi-0060b-backstory-1 |	Aware of a commotion outside
EDL	00:05:33,311	00:05:35,615	| 99pi-0060b-backstory-1 |	Shepherd took his Lantern and walk down to the train
EDL	00:05:36,383	00:05:38,431	| 99pi-0060b-backstory-1 |	Browning Company were on their way into town
EDL	00:05:38,431	00:05:39,199	| 99pi-0060b-backstory-1 |	It was dark
EDL	00:05:39,199	00:05:40,479	| 99pi-0060b-backstory-1 |	And Shepard was in their path
EDL	00:05:41,247	00:05:43,807	| 99pi-0060b-backstory-1 |	Either Brown himself or one of his men shot Shepherd
EDL	00:05:43,807	00:05:45,087	| 99pi-0060b-backstory-1 |	Leaving him badly injured
EDL	00:05:45,599	00:05:46,623	| 99pi-0060b-backstory-1 |	He died shortly after
EDL	00:05:47,391	00:05:47,903	| 99pi-0060b-backstory-1 |	No
EDL	00:05:48,415	00:05:52,255	| 99pi-0060b-backstory-1 |	Hayward Shepherds name might have been forgotten had it not been for the efforts
EDL	00:05:52,255	00:05:52,767	| 99pi-0060b-backstory-1 |	F2 group
EDL	00:05:53,535	00:05:55,327	| 99pi-0060b-backstory-1 |	United Daughters of the Confederacy
EDL	00:05:55,327	00:05:56,863	| 99pi-0060b-backstory-1 |	And the Sons of Confederate Veterans
EDL	00:05:57,631	00:05:59,679	| 99pi-0060b-backstory-1 |	The UTC and the SCV
EDL	00:06:00,447	00:06:01,983	| 99pi-0060b-backstory-1 |	They're run by the Descendants
EDL	00:06:01,983	00:06:05,311	| 99pi-0060b-backstory-1 |	Confederate soldiers and their job is to preserve Confederate heritage
EDL	00:06:05,823	00:06:07,871	| 99pi-0060b-backstory-1 |	Memorials Flags archives
EDL	00:06:07,871	00:06:08,383	| 99pi-0060b-backstory-1 |	That kind of
EDL	00:06:09,663	00:06:11,199	| 99pi-0060b-backstory-1 |	In 1931
EDL	00:06:11,199	00:06:16,831	| 99pi-0060b-backstory-1 |	The local chapters of the UDC and the SCV erected of Memorial Hayward Shepherd in Harpers Ferry
EDL	00:06:17,599	00:06:20,671	| 99pi-0060b-backstory-1 |	They placed it directly across the street from the John Brown obelisk
EDL	00:06:21,695	00:06:23,231	| 99pi-0060b-backstory-1 |	In one long sentence
EDL	00:06:23,231	00:06:24,255	| 99pi-0060b-backstory-1 |	The memorial reads
EDL	00:06:25,279	00:06:30,399	| 99pi-0060b-backstory-1 |	This folder is set up by the Sons of Confederate Veterans in the united Daughters of the Confederacy
EDL	00:06:30,911	00:06:32,959	| 99pi-0060b-backstory-1 |	As a memorial to Hayward Shepherd
EDL	00:06:32,959	00:06:35,775	| 99pi-0060b-backstory-1 |	Exemplifying the character and faithfulness
EDL	00:06:35,775	00:06:37,311	| 99pi-0060b-backstory-1 |	Thousands of negroes
EDL	00:06:37,311	00:06:37,823	| 99pi-0060b-backstory-1 |	Who
EDL	00:06:38,335	00:06:41,663	| 99pi-0060b-backstory-1 |	Under many Temptations throughout the subsequent years of war
EDL	00:06:42,175	00:06:43,199	| 99pi-0060b-backstory-1 |	So conducted themselves
EDL	00:06:43,711	00:06:46,015	| 99pi-0060b-backstory-1 |	The no stain was left upon a record
EDL	00:06:46,015	00:06:48,831	| 99pi-0060b-backstory-1 |	Which is the peculiar Heritage of the American people
EDL	00:06:49,343	00:06:51,647	| 99pi-0060b-backstory-1 |	And an everlasting tribute to the best
EDL	00:06:51,647	00:06:52,671	| 99pi-0060b-backstory-1 |	In bo3
EDL	00:06:52,671	00:06:53,183	| 99pi-0060b-backstory-1 |	Faces
EDL	00:06:53,695	00:06:56,255	| 99pi-0060b-backstory-1 |	Okay so to translate that from monuments p
EDL	00:06:57,023	00:07:01,119	| 99pi-0060b-backstory-1 |	We the SUV and the UTC would like to honor Heyward Shepherd
EDL	00:07:01,119	00:07:03,167	| 99pi-0060b-backstory-1 |	And all the other black people in the south
EDL	00:07:03,167	00:07:07,519	| 99pi-0060b-backstory-1 |	We're good and faithful to their white superiors never rebelling against them
EDL	00:07:07,519	00:07:08,543	| 99pi-0060b-backstory-1 |	Or the status quo
EDL	00:07:09,311	00:07:10,847	| 99pi-0060b-backstory-1 |	The group had a nickname for this Monument
EDL	00:07:11,359	00:07:13,151	| 99pi-0060b-backstory-1 |	The faithful slave Memorial
EDL	00:07:14,687	00:07:18,783	| 99pi-0060b-backstory-1 |	The faithful slave with an idea Confederate Heritage groups have been pushing for years
EDL	00:07:19,807	00:07:23,135	| 99pi-0060b-backstory-1 |	Logic was since most slaves didn't Rebelle
EDL	00:07:23,135	00:07:24,671	| 99pi-0060b-backstory-1 |	They must have been happy
