EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0072-newoldtown-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,656	| 99pi-0072-newoldtown-1 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 99pi-0072-newoldtown-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 99pi-0072-newoldtown-1 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:19,968	| 99pi-0072-newoldtown-1 |	Use the Name Your Price tool and start an online quote today at progressive.com
EDL	00:00:20,480	00:00:22,784	| 99pi-0072-newoldtown-1 |	Price in coverage match limited by state law
EDL	00:00:24,064	00:00:30,464	| 99pi-0072-newoldtown-1 |	When it comes to marketing your business it's all about reaching the Right audience at the right time and connecting with that on
EDL	00:00:30,464	00:00:34,048	| 99pi-0072-newoldtown-1 |	When your message will resonate the most LinkedIn can help
EDL	00:00:34,048	00:00:40,448	| 99pi-0072-newoldtown-1 |	Lincoln is the world's largest Professional Network in LinkedIn marketing Solutions allow you to Target your customers
EDL	00:00:40,448	00:00:44,544	| 99pi-0072-newoldtown-1 |	Weather in beijing every day when they're ready to make a decision
EDL	00:00:44,544	00:00:50,944	| 99pi-0072-newoldtown-1 |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their customers those relationships often
EDL	00:00:50,944	00:00:57,344	| 99pi-0072-newoldtown-1 |	Turn into high-quality leads website traffic and higher brand awareness and Linkedin have the marking tools
EDL	00:00:57,344	00:00:59,904	| 99pi-0072-newoldtown-1 |	Help you target your customers with precision
EDL	00:00:59,904	00:01:06,304	| 99pi-0072-newoldtown-1 |	Down to the job title company name and Industry because we can Target exactly who you want to reach you can make sure
EDL	00:01:06,304	00:01:12,704	| 99pi-0072-newoldtown-1 |	Customers are getting a message that they care about which in turn builds trust a free $100
EDL	00:01:12,704	00:01:19,104	| 99pi-0072-newoldtown-1 |	Burlington add Credit in launcher first campaign go to linkedin.com invisible up linkedin.com
EDL	00:01:19,104	00:01:22,176	| 99pi-0072-newoldtown-1 |	Cam invisible Pier free $100 at credit
EDL	00:01:22,688	00:01:24,224	| 99pi-0072-newoldtown-1 |	Terms and conditions apply
EDL	00:01:25,248	00:01:27,552	| 99pi-0072-newoldtown-1 |	This is 99% invisible
EDL	00:01:27,552	00:01:28,320	| 99pi-0072-newoldtown-1 |	I'm Roman Mars
EDL	00:01:32,416	00:01:35,744	| 99pi-0072-newoldtown-1 |	If you know anything about central European cities
EDL	00:01:35,744	00:01:37,536	| 99pi-0072-newoldtown-1 |	When you hear Warsaw he think
EDL	00:01:38,048	00:01:38,816	| 99pi-0072-newoldtown-1 |	Gray
EDL	00:01:38,816	00:01:39,328	| 99pi-0072-newoldtown-1 |	Ugly
EDL	00:01:39,840	00:01:43,680	| 99pi-0072-newoldtown-1 |	Communist but there is a part of Warsaw that is anything but those things
EDL	00:01:44,192	00:01:46,752	| 99pi-0072-newoldtown-1 |	The Old Town historic district
EDL	00:01:46,752	00:01:48,800	| 99pi-0072-newoldtown-1 |	It just like any other quite European city
EDL	00:01:49,312	00:01:52,640	| 99pi-0072-newoldtown-1 |	Tourist shops horse carriage rides Church fires
EDL	00:01:52,640	00:01:53,920	| 99pi-0072-newoldtown-1 |	The buildings are beautiful
EDL	00:01:54,688	00:01:55,968	| 99pi-0072-newoldtown-1 |	But actually
EDL	00:01:55,968	00:01:56,736	| 99pi-0072-newoldtown-1 |	It's all fake
EDL	00:01:57,504	00:01:59,808	| 99pi-0072-newoldtown-1 |	It just a replica of what once was
EDL	00:02:00,320	00:02:06,208	| 99pi-0072-newoldtown-1 |	Like so many European cities during the second world war Warsaw was destroyed it had to be rebuilt
EDL	00:02:06,976	00:02:10,816	| 99pi-0072-newoldtown-1 |	Now when you walk around the reconstructed historic part of Warsaw
EDL	00:02:10,816	00:02:14,144	| 99pi-0072-newoldtown-1 |	You'll find these big glass mounted plaques on his way on the sidewalk
EDL	00:02:14,912	00:02:17,984	| 99pi-0072-newoldtown-1 |	In the emerald painting so they start buildings in front of you
EDL	00:02:18,752	00:02:23,360	| 99pi-0072-newoldtown-1 |	The first time I noticed one of these displays anniversary out street and I was completely drawn in
EDL	00:02:23,872	00:02:26,688	| 99pi-0072-newoldtown-1 |	I study the painting and then I studied the building above
EDL	00:02:27,456	00:02:29,760	| 99pi-0072-newoldtown-1 |	And just like I was set up to I thought
EDL	00:02:29,760	00:02:31,808	| 99pi-0072-newoldtown-1 |	Wow they did an amazing job rebuilding it
EDL	00:02:32,320	00:02:35,904	| 99pi-0072-newoldtown-1 |	But then later our reporter Amy just us Cafe found out
EDL	00:02:35,904	00:02:37,696	| 99pi-0072-newoldtown-1 |	It's not quite like that
EDL	00:02:38,208	00:02:40,512	| 99pi-0072-newoldtown-1 |	You're entering something which is effectively
EDL	00:02:40,512	00:02:42,048	| 99pi-0072-newoldtown-1 |	A stage set
EDL	00:02:42,048	00:02:43,584	| 99pi-0072-newoldtown-1 |	Intended to recreate
EDL	00:02:43,584	00:02:45,376	| 99pi-0072-newoldtown-1 |	And I miss fear of a sudden.
EDL	00:02:45,888	00:02:46,912	| 99pi-0072-newoldtown-1 |	But you're on your way over there
EDL	00:02:47,424	00:02:50,496	| 99pi-0072-newoldtown-1 |	That's me how modovsky he was born in Warsaw
EDL	00:02:50,496	00:02:52,288	| 99pi-0072-newoldtown-1 |	Now he's a social anthropologist
EDL	00:02:52,288	00:02:53,056	| 99pi-0072-newoldtown-1 |	The Cambridge University
EDL	00:02:54,080	00:02:57,664	| 99pi-0072-newoldtown-1 |	He told me about the incredible process of putting the city back together again
EDL	00:02:58,432	00:03:01,760	| 99pi-0072-newoldtown-1 |	It's a challenge a lot of European cities were facing after the war
EDL	00:03:01,760	00:03:05,088	| 99pi-0072-newoldtown-1 |	Warsaw's massive rebuilding of its entire medieval Old Town
EDL	00:03:05,600	00:03:09,696	| 99pi-0072-newoldtown-1 |	Was lauded as one of the most impressive rebuilding post-war projects on the continent
EDL	00:03:10,464	00:03:12,000	| 99pi-0072-newoldtown-1 |	They made it look to everyone
EDL	00:03:12,000	00:03:13,792	| 99pi-0072-newoldtown-1 |	Like they reclaimed what was lost
EDL	00:03:14,560	00:03:20,704	| 99pi-0072-newoldtown-1 |	But here's the thing Warsaw historic old town is not a replica of the real thing
EDL	00:03:21,472	00:03:23,008	| 99pi-0072-newoldtown-1 |	And historic City
EDL	00:03:23,008	00:03:24,288	| 99pi-0072-newoldtown-1 |	It never really was
EDL	00:03:26,592	00:03:27,872	| 99pi-0072-newoldtown-1 |	So it's back up for the mystery
EDL	00:03:28,384	00:03:31,712	| 99pi-0072-newoldtown-1 |	Sure Warsaw was damaged during the war as what other cities
EDL	00:03:32,224	00:03:35,808	| 99pi-0072-newoldtown-1 |	That really worse off occupied by Nazi forces
