EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Price in coverage match limited by state law
EDL	00:00:24,576	00:00:26,368	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	When it comes to marketing your business
EDL	00:00:26,368	00:00:29,184	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	It's all about reaching the Right audience at the right time
EDL	00:00:29,184	00:00:32,768	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Connecting with that audience when your message will resonate the most
EDL	00:00:32,768	00:00:33,792	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	LinkedIn can help
EDL	00:00:34,304	00:00:40,704	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	LinkedIn is the world's largest Professional Network in LinkedIn marketing Solutions allow you to Target your customers were there
EDL	00:00:40,704	00:00:44,032	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Engaging every day when they're ready to make a decision
EDL	00:00:44,544	00:00:49,664	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their customers
EDL	00:00:49,664	00:00:56,064	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Those relationships often turn into high-quality leads website traffic and higher brand awareness and Linkedin
EDL	00:00:56,064	00:00:59,904	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Didn't have the marketing tools to help you target your customers with precision
EDL	00:00:59,904	00:01:02,720	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Down to the job title company name and Industry
EDL	00:01:03,232	00:01:05,536	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Because we can Target exactly who you want to reach
EDL	00:01:05,536	00:01:08,352	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	You can make sure your customers are getting a message that they care about
EDL	00:01:08,864	00:01:10,912	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Which in turn builds Trust
EDL	00:01:10,912	00:01:17,312	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	To redeem a free $100 LinkedIn at credit and launch your first campaign go to linkedin.com
EDL	00:01:17,312	00:01:22,176	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Isabel linkedin.com invisible Pier free $100 at credit
EDL	00:01:22,688	00:01:24,224	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Terms and conditions apply
EDL	00:01:24,992	00:01:26,784	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	This is 99% invisible
EDL	00:01:27,296	00:01:28,064	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	I'm Roman Mars
EDL	00:01:33,440	00:01:36,000	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	There Comes A Time in the life of a modern city
EDL	00:01:36,000	00:01:37,280	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Where it begins to grow up
EDL	00:01:38,048	00:01:38,560	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Literally
EDL	00:01:39,072	00:01:42,656	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Ever since Bridge frames were upended into soaring Towers
EDL	00:01:42,656	00:01:44,960	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	And elevators were equipped with reliable safety brakes
EDL	00:01:45,472	00:01:48,800	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	If there a lot of people in one place it just makes sense
EDL	00:01:48,800	00:01:50,336	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Nebraska Stockyards
EDL	00:01:50,336	00:01:51,360	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	On top of each other
EDL	00:01:52,128	00:01:54,176	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Santiago the capital of Chile
EDL	00:01:54,176	00:01:58,528	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Has been going through a tremendous growth spurts and economic boom of the mid-1990s
EDL	00:01:59,040	00:02:00,064	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	It happened fast
EDL	00:02:00,064	00:02:04,160	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	In just a few years single family homes all over the city will replace with high-rises
EDL	00:02:04,160	00:02:08,512	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	It's Daniel Alarcon he's an award-winning author and host of a radio ambulante
EDL	00:02:09,024	00:02:11,584	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	I have a friend in Santiago named Rodrigo her office
EDL	00:02:12,352	00:02:15,424	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Well hello my name is Rodrigo
EDL	00:02:15,424	00:02:17,728	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	A small part in Santiago's upward Mobility
EDL	00:02:17,728	00:02:22,080	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Which wouldn't be that remarkable he wear an engineer or real estate developer or an architect
EDL	00:02:22,080	00:02:23,104	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Actor something like that
EDL	00:02:23,104	00:02:23,872	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	But he isn't
EDL	00:02:23,872	00:02:24,896	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Rodrigo Rojas
EDL	00:02:25,408	00:02:26,176	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Is a poet
EDL	00:02:26,688	00:02:29,248	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Literature professor
EDL	00:02:29,248	00:02:30,272	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	How to write poetry
EDL	00:02:30,272	00:02:32,832	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Everyone is a poet
EDL	00:02:32,832	00:02:36,160	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	I love your red bologna but it's like poets are chili superheroes
EDL	00:02:36,160	00:02:37,440	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	30 writing poetry
EDL	00:02:37,440	00:02:38,464	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	No I'm an unimproved
EDL	00:02:39,744	00:02:43,584	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	This is the story about rojas's poetry altered the physical shape
EDL	00:02:43,584	00:02:44,864	| 99pi-0073-zanzibarandotherbuildingpoets-1 |	Santiago's
