EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0082-themanoftomorrow-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,656	| 99pi-0082-themanoftomorrow-1 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 99pi-0082-themanoftomorrow-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 99pi-0082-themanoftomorrow-1 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0082-themanoftomorrow-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0082-themanoftomorrow-1 |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 99pi-0082-themanoftomorrow-1 |	Price in coverage match limited by state law
EDL	00:00:24,064	00:00:30,464	| 99pi-0082-themanoftomorrow-1 |	When it comes to marketing your business it's all about reaching the Right audience at the right time and connecting with that on
EDL	00:00:30,464	00:00:34,048	| 99pi-0082-themanoftomorrow-1 |	When your message will resonate the most LinkedIn can help
EDL	00:00:34,048	00:00:40,448	| 99pi-0082-themanoftomorrow-1 |	Lincoln is the world's largest Professional Network in LinkedIn marketing Solutions allow you to Target your customers
EDL	00:00:40,448	00:00:44,544	| 99pi-0082-themanoftomorrow-1 |	Weather in beijing every day when they're ready to make a decision
EDL	00:00:44,544	00:00:50,944	| 99pi-0082-themanoftomorrow-1 |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their customers those relationships often
EDL	00:00:50,944	00:00:57,344	| 99pi-0082-themanoftomorrow-1 |	Turn into high-quality leads website traffic and higher brand awareness and Linkedin have the marking tools
EDL	00:00:57,344	00:00:59,904	| 99pi-0082-themanoftomorrow-1 |	Help you target your customers with precision
EDL	00:00:59,904	00:01:06,304	| 99pi-0082-themanoftomorrow-1 |	Down to the job title company name and Industry because we can Target exactly who you want to reach you can make sure
EDL	00:01:06,304	00:01:12,704	| 99pi-0082-themanoftomorrow-1 |	Customers are getting a message that they care about which in turn builds trust a free $100
EDL	00:01:12,704	00:01:19,104	| 99pi-0082-themanoftomorrow-1 |	Burlington add Credit in launching first campaign go to linkedin.com invisible up linkedin.com
EDL	00:01:19,104	00:01:22,176	| 99pi-0082-themanoftomorrow-1 |	Cam invisible Pier free $100 at credit
EDL	00:01:22,688	00:01:24,224	| 99pi-0082-themanoftomorrow-1 |	Terms and conditions apply
EDL	00:01:26,784	00:01:30,368	| 99pi-0082-themanoftomorrow-1 |	Your attention please this is 99% invisible
EDL	00:01:30,368	00:01:32,672	| 99pi-0082-themanoftomorrow-1 |	Resetting a new exciting radio program
EDL	00:01:37,536	00:01:38,304	| 99pi-0082-themanoftomorrow-1 |	I'm Roman Mars
EDL	00:01:53,152	00:01:58,528	| 99pi-0082-themanoftomorrow-1 |	I'm willing to concede from the get-go that I might be wrong about the entire premise of the story
