EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0085-nobleefforts-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 99pi-0085-nobleefforts-1 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 99pi-0085-nobleefforts-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 99pi-0085-nobleefforts-1 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0085-nobleefforts-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0085-nobleefforts-1 |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 99pi-0085-nobleefforts-1 |	Price in coverage match limited by state law
EDL	00:00:24,832	00:00:30,976	| 99pi-0085-nobleefforts-1 |	Family ghosts in a podcast explores all the unexpected ways our family structure and shape our view of the
EDL	00:00:31,744	00:00:33,280	| 99pi-0085-nobleefforts-1 |	Each episode of Family ghost
EDL	00:00:33,280	00:00:37,376	| 99pi-0085-nobleefforts-1 |	Takes a look at the story behind a different person's family lore
EDL	00:00:37,376	00:00:40,192	| 99pi-0085-nobleefforts-1 |	Digging into unanswered questions about their history
EDL	00:00:40,192	00:00:46,080	| 99pi-0085-nobleefforts-1 |	Season 2 Launches on May 15th featuring an episode where they take you inside the love Israel family called
EDL	00:00:46,080	00:00:50,688	| 99pi-0085-nobleefforts-1 |	An episode about uncovering the secrets scrolled in a newly discovered stack of Love Letters
EDL	00:00:50,688	00:00:57,088	| 99pi-0085-nobleefforts-1 |	Asuna episode that brings you along to the hunt for a container of missing Chinese food that's haunted a family
EDL	00:00:57,088	00:00:58,368	| 99pi-0085-nobleefforts-1 |	For 25 years
EDL	00:00:58,368	00:00:58,880	| 99pi-0085-nobleefforts-1 |	And more
EDL	00:00:59,392	00:01:03,488	| 99pi-0085-nobleefforts-1 |	Subscribe to family goes wherever you get your podcast and find out why they say
EDL	00:01:03,488	00:01:04,768	| 99pi-0085-nobleefforts-1 |	Every house is haunted
EDL	00:01:05,792	00:01:07,584	| 99pi-0085-nobleefforts-1 |	This is 99% invisible
EDL	00:01:08,096	00:01:08,864	| 99pi-0085-nobleefforts-1 |	Roman Mars
EDL	00:01:10,656	00:01:13,472	| 99pi-0085-nobleefforts-1 |	If you grew up watching Warner Brothers cartoons
EDL	00:01:13,472	00:01:15,264	| 99pi-0085-nobleefforts-1 |	And I really really hope you did
EDL	00:01:15,776	00:01:17,056	| 99pi-0085-nobleefforts-1 |	You might remember seeing the words
EDL	00:01:17,568	00:01:21,408	| 99pi-0085-nobleefforts-1 |	Directed by Chuck Jones in big letters in the opening credits
EDL	00:01:22,944	00:01:24,992	| 99pi-0085-nobleefforts-1 |	Chuck Jones worked for decades
EDL	00:01:24,992	00:01:26,784	| 99pi-0085-nobleefforts-1 |	Cartoons like Looney Tunes
EDL	00:01:26,784	00:01:28,576	| 99pi-0085-nobleefforts-1 |	From the 1930s until his death
EDL	00:01:29,088	00:01:30,112	| 99pi-0085-nobleefforts-1 |	In 2002
EDL	00:01:30,624	00:01:33,184	| 99pi-0085-nobleefforts-1 |	In addition to being a director he was also an animator
EDL	00:01:33,696	00:01:35,488	| 99pi-0085-nobleefforts-1 |	Get Bugs Bunny that cocky slash
EDL	00:01:36,000	00:01:38,048	| 99pi-0085-nobleefforts-1 |	I gave Daffy Duck those mischievous eyes
EDL	00:01:38,048	00:01:40,864	| 99pi-0085-nobleefforts-1 |	Biting Bugs Bunny's Bar Mitzvah stack of Daffy Duck is insane
EDL	00:01:42,400	00:01:44,448	| 99pi-0085-nobleefforts-1 |	He made a mute Wylie Coyote
EDL	00:01:44,448	00:01:46,496	| 99pi-0085-nobleefforts-1 |	Hold up signs at commented
EDL	00:01:46,496	00:01:48,288	| 99pi-0085-nobleefforts-1 |	On the sad irony of his
EDL	00:01:48,288	00:01:48,800	| 99pi-0085-nobleefforts-1 |	Kisscartoon
EDL	00:01:50,336	00:01:53,152	| 99pi-0085-nobleefforts-1 |	In 1996 Jones accepted an Academy Award
EDL	00:01:53,152	00:01:54,176	| 99pi-0085-nobleefforts-1 |	For Lifetime Achievement
EDL	00:01:59,552	00:02:01,344	| 99pi-0085-nobleefforts-1 |	I stand guilty before the world
EDL	00:02:01,856	00:02:04,928	| 99pi-0085-nobleefforts-1 |	A directing over 300 cartoons the last 50 years
