EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0086-reversaloffortune-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 99pi-0086-reversaloffortune-1 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 99pi-0086-reversaloffortune-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 99pi-0086-reversaloffortune-1 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0086-reversaloffortune-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0086-reversaloffortune-1 |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 99pi-0086-reversaloffortune-1 |	Price in coverage match limited by state law
EDL	00:00:24,832	00:00:25,600	| 99pi-0086-reversaloffortune-1 |	Family ghosts
EDL	00:00:25,600	00:00:31,232	| 99pi-0086-reversaloffortune-1 |	Is a podcast explores all the unexpected ways our family structure and shape our view of the world
EDL	00:00:31,744	00:00:33,280	| 99pi-0086-reversaloffortune-1 |	Each episode of Family ghost
EDL	00:00:33,280	00:00:37,376	| 99pi-0086-reversaloffortune-1 |	Takes a look at the story behind a different person's family lore
EDL	00:00:37,376	00:00:40,192	| 99pi-0086-reversaloffortune-1 |	Digging into unanswered questions about their history
EDL	00:00:40,192	00:00:42,752	| 99pi-0086-reversaloffortune-1 |	Season 2 Launches on May 15th
EDL	00:00:42,752	00:00:46,080	| 99pi-0086-reversaloffortune-1 |	Between episode where they take you inside the love Israel family called
EDL	00:00:46,080	00:00:50,688	| 99pi-0086-reversaloffortune-1 |	An episode about uncovering the secrets scrolled in a newly discovered stack of Love Letters
EDL	00:00:50,688	00:00:57,088	| 99pi-0086-reversaloffortune-1 |	Asuna episode that brings you along to the hunt for a container of missing Chinese food that's haunted a family
EDL	00:00:57,088	00:00:58,368	| 99pi-0086-reversaloffortune-1 |	For 25 years
EDL	00:00:58,368	00:00:58,880	| 99pi-0086-reversaloffortune-1 |	And more
EDL	00:00:59,392	00:01:03,488	| 99pi-0086-reversaloffortune-1 |	Subscribe to family goes wherever you get your podcast and find out why they say
EDL	00:01:03,488	00:01:04,768	| 99pi-0086-reversaloffortune-1 |	Every house is haunted
EDL	00:01:06,048	00:01:08,352	| 99pi-0086-reversaloffortune-1 |	This is 99% invisible
EDL	00:01:08,352	00:01:09,120	| 99pi-0086-reversaloffortune-1 |	I'm Roman Mars
EDL	00:01:10,656	00:01:12,704	| 99pi-0086-reversaloffortune-1 |	I fell in love with architecture
EDL	00:01:12,704	00:01:13,728	| 99pi-0086-reversaloffortune-1 |	On the Chicago River
EDL	00:01:14,240	00:01:16,544	| 99pi-0086-reversaloffortune-1 |	You can endlessly argue about which
EDL	00:01:16,544	00:01:18,080	| 99pi-0086-reversaloffortune-1 |	City has the greatest architecture
EDL	00:01:18,592	00:01:21,408	| 99pi-0086-reversaloffortune-1 |	One thing that puts Chicago near the top for me
EDL	00:01:21,920	00:01:25,504	| 99pi-0086-reversaloffortune-1 |	Is that the Chicago River provides a beautiful vantage point
EDL	00:01:25,504	00:01:27,552	| 99pi-0086-reversaloffortune-1 |	To take in all the Marvel is skyscraper
EDL	00:01:28,320	00:01:34,464	| 99pi-0086-reversaloffortune-1 |	Rather than being crammed in on the sidewalk between looming Towers trying and probably failing to take it all in
EDL	00:01:35,232	00:01:36,256	| 99pi-0086-reversaloffortune-1 |	The river
EDL	00:01:36,256	00:01:37,792	| 99pi-0086-reversaloffortune-1 |	Pushes the buildings apart
EDL	00:01:38,304	00:01:42,144	| 99pi-0086-reversaloffortune-1 |	And gives you the opportunity to post by on the roof of a fairy
EDL	00:01:42,144	00:01:43,168	| 99pi-0086-reversaloffortune-1 |	Glass
EDL	00:01:43,168	00:01:44,960	| 99pi-0086-reversaloffortune-1 |	Steel and concrete wonders
EDL	00:01:44,960	00:01:47,008	| 99pi-0086-reversaloffortune-1 |	Presented in their full Glory
EDL	00:01:47,008	00:01:48,288	| 99pi-0086-reversaloffortune-1 |	Everywhere you turn
EDL	00:01:49,056	00:01:52,896	| 99pi-0086-reversaloffortune-1 |	The probably the city's biggest design a team and isn't a building at all
EDL	00:01:53,408	00:01:55,200	| 99pi-0086-reversaloffortune-1 |	It's that River itself
EDL	00:01:55,200	00:01:58,272	| 99pi-0086-reversaloffortune-1 |	Waterway disguised as a remnant of a natural landscape
EDL	00:01:58,784	00:01:59,552	| 99pi-0086-reversaloffortune-1 |	But it really isn't
EDL	00:02:00,064	00:02:03,136	| 99pi-0086-reversaloffortune-1 |	It's hard to tell when you see the river but it's going the wrong way
EDL	00:02:03,136	00:02:04,672	| 99pi-0086-reversaloffortune-1 |	It should flow into Lake Michigan
EDL	00:02:05,184	00:02:05,952	| 99pi-0086-reversaloffortune-1 |	Pennsaid
EDL	00:02:05,952	00:02:08,256	| 99pi-0086-reversaloffortune-1 |	Fresh water from Lake Michigan flows backward
EDL	00:02:08,768	00:02:09,536	| 99pi-0086-reversaloffortune-1 |	Into the city
EDL	00:02:10,304	00:02:15,168	| 99pi-0086-reversaloffortune-1 |	The Chicago River is the large part A carefully-designed extension of the city sewer system
EDL	00:02:15,680	00:02:17,728	| 99pi-0086-reversaloffortune-1 |	Even calling it a river may be off base
EDL	00:02:18,240	00:02:22,848	| 99pi-0086-reversaloffortune-1 |	It's not really a river in Chicago it's really the Chicago canal
EDL	00:02:22,848	00:02:25,920	| 99pi-0086-reversaloffortune-1 |	There's not an inch I don't think of the Chicago River that is natural inches
EDL	00:02:27,456	00:02:28,480	| 99pi-0086-reversaloffortune-1 |	Death Richard cahan
EDL	00:02:28,480	00:02:30,784	| 99pi-0086-reversaloffortune-1 |	He's a journalist and historian in Chicago
EDL	00:02:30,784	00:02:34,880	| 99pi-0086-reversaloffortune-1 |	And in 2012 he co-wrote and published a book called The Lost panorama
EDL	00:02:35,392	00:02:37,952	| 99pi-0086-reversaloffortune-1 |	When Chicago changed its River in the land Beyond
EDL	00:02:37,952	00:02:41,792	| 99pi-0086-reversaloffortune-1 |	It's still with these gorgeous pictures from before and mostly after
EDL	00:02:41,792	00:02:44,096	| 99pi-0086-reversaloffortune-1 |	One of the biggest Urban Design project
EDL	00:02:44,096	00:02:44,864	| 99pi-0086-reversaloffortune-1 |	Ever
EDL	00:02:44,864	00:02:45,888	| 99pi-0086-reversaloffortune-1 |	The reversal
EDL	00:02:45,888	00:02:47,168	| 99pi-0086-reversaloffortune-1 |	And a complete transformation
EDL	00:02:47,680	00:02:48,448	| 99pi-0086-reversaloffortune-1 |	Are the Chicago River
EDL	00:02:48,448	00:02:49,984	| 99pi-0086-reversaloffortune-1 |	And that is Dan Weisman
EDL	00:02:49,984	00:02:51,008	| 99pi-0086-reversaloffortune-1 |	The journalist
EDL	00:02:51,008	00:02:52,544	| 99pi-0086-reversaloffortune-1 |	Moreau triangular buildings
EDL	00:02:52,544	00:02:53,824	| 99pi-0086-reversaloffortune-1 |	A lifelong
EDL	00:02:53,824	00:02:54,592	| 99pi-0086-reversaloffortune-1 |	Die Hard
EDL	00:02:54,592	00:02:55,360	| 99pi-0086-reversaloffortune-1 |	Chicago
EDL	00:02:55,360	00:02:59,968	| 99pi-0086-reversaloffortune-1 |	Reversing the river was actually the third in the series of Epic design project
EDL	00:02:59,968	00:03:01,248	| 99pi-0086-reversaloffortune-1 |	Almost 50 years
EDL	00:03:02,016	00:03:05,600	| 99pi-0086-reversaloffortune-1 |	Three projects that I melted to 19th century Engineers just
EDL	00:03:05,600	00:03:12,000	| 99pi-0086-reversaloffortune-1 |	Taking it to the laws of nature with a kind of moxie but just seems to be folded into the DNA of 19th century
EDL	00:03:12,000	00:03:12,512	| 99pi-0086-reversaloffortune-1 |	Engineers
EDL	00:03:13,024	00:03:14,816	| 99pi-0086-reversaloffortune-1 |	And which is the first two
EDL	00:03:14,816	00:03:17,888	| 99pi-0086-reversaloffortune-1 |	We're talking about two decades of massive ridiculous
EDL	00:03:17,888	00:03:22,240	| 99pi-0086-reversaloffortune-1 |	Change people's ideas of how far you could go to make a city work
EDL	00:03:22,240	00:03:25,056	| 99pi-0086-reversaloffortune-1 |	And those two have been so obscured by time
EDL	00:03:25,056	00:03:31,456	| 99pi-0086-reversaloffortune-1 |	It was basically one guy who proposed and executed not one but two of these
EDL	00:03:31,456	00:03:32,480	| 99pi-0086-reversaloffortune-1 |	Project
EDL	00:03:32,480	00:03:33,760	| 99pi-0086-reversaloffortune-1 |	Unknown today
EDL	00:03:34,784	00:03:35,552	| 99pi-0086-reversaloffortune-1 |	Ellis chesbrough
EDL	00:03:36,320	00:03:38,368	| 99pi-0086-reversaloffortune-1 |	If you've never heard of Ellis chesbrough
EDL	00:03:38,368	00:03:41,952	| 99pi-0086-reversaloffortune-1 |	You're not allowed to talk to his I record this he doesn't even have a Wikipedia entry
EDL	00:03:41,952	00:03:42,976	| 99pi-0086-reversaloffortune-1 |	But you can bet
EDL	00:03:42,976	00:03:44,256	| 99pi-0086-reversaloffortune-1 |	Richard Kane knows who he is
EDL	00:03:44,768	00:03:50,656	| 99pi-0086-reversaloffortune-1 |	So he was a star and there is to his house is just North of downtown and there's a little plaque in for the house I was parked my car in front of it
EDL	00:03:51,936	00:03:56,800	| 99pi-0086-reversaloffortune-1 |	And it says House of Alice chesbro and I'm sure I'm the only person that ever was very excited about seeing it
EDL	00:03:57,312	00:03:59,360	| 99pi-0086-reversaloffortune-1 |	Stop back in the 1800s
EDL	00:03:59,360	00:04:00,640	| 99pi-0086-reversaloffortune-1 |	Chesbro with the man
EDL	00:04:01,152	00:04:03,200	| 99pi-0086-reversaloffortune-1 |	And no one has ever worked harder
EDL	00:04:03,200	00:04:04,736	| 99pi-0086-reversaloffortune-1 |	To save Chicago from its own poop
EDL	00:04:08,064	00:04:11,392	| 99pi-0086-reversaloffortune-1 |	Poop butt thing that has brought cities to their knees
EDL	00:04:11,392	00:04:11,904	| 99pi-0086-reversaloffortune-1 |	For millennia
EDL	00:04:12,672	00:04:13,696	| 99pi-0086-reversaloffortune-1 |	Now here's the setup
EDL	00:04:13,696	00:04:14,720	| 99pi-0086-reversaloffortune-1 |	It 1854
EDL	00:04:15,232	00:04:18,047	| 99pi-0086-reversaloffortune-1 |	City of Chicago has been growing like crazy for a couple of decades
EDL	00:04:19,327	00:04:23,167	| 99pi-0086-reversaloffortune-1 |	Cute bun with a W population every few years
EDL	00:04:24,191	00:04:24,703	| 99pi-0086-reversaloffortune-1 |	Call Rapids
EDL	00:04:25,727	00:04:26,495	| 99pi-0086-reversaloffortune-1 |	Wiped out
EDL	00:04:26,495	00:04:28,543	| 99pi-0086-reversaloffortune-1 |	6% of the city 6%
EDL	00:04:29,055	00:04:30,079	| 99pi-0086-reversaloffortune-1 |	That summer
EDL	00:04:30,079	00:04:32,127	| 99pi-0086-reversaloffortune-1 |	One account headcollar killing six
EDL	00:04:32,127	00:04:34,943	| 99pi-0086-reversaloffortune-1 |	60 people a day in a town of 70000
EDL	00:04:35,711	00:04:36,735	| 99pi-0086-reversaloffortune-1 |	One of the Republic this way
EDL	00:04:37,503	00:04:39,807	| 99pi-0086-reversaloffortune-1 |	The death cart was constantly in the street
EDL	00:04:40,575	00:04:42,111	| 99pi-0086-reversaloffortune-1 |	And not to be gross
EDL	00:04:42,111	00:04:42,879	| 99pi-0086-reversaloffortune-1 |	The caller
EDL	00:04:42,879	00:04:45,183	| 99pi-0086-reversaloffortune-1 |	It is a super nasty way to go
EDL	00:04:45,183	00:04:45,951	| 99pi-0086-reversaloffortune-1 |	Sudden
EDL	00:04:45,951	00:04:46,719	| 99pi-0086-reversaloffortune-1 |	Painful in love
EDL	00:04:47,231	00:04:47,743	| 99pi-0086-reversaloffortune-1 |	Ropes
EDL	00:04:48,255	00:04:51,839	| 99pi-0086-reversaloffortune-1 |	Vomiting diarrhea horrible cramps in your dead in less than a day
EDL	00:04:51,839	00:04:53,119	| 99pi-0086-reversaloffortune-1 |	It is a really
EDL	00:04:53,119	00:04:54,399	| 99pi-0086-reversaloffortune-1 |	Really unpleasant
EDL	00:04:55,423	00:04:57,215	| 99pi-0086-reversaloffortune-1 |	The people were freaking out
EDL	00:04:57,727	00:04:58,751	| 99pi-0086-reversaloffortune-1 |	Interchez bro
EDL	00:04:58,751	00:05:00,799	| 99pi-0086-reversaloffortune-1 |	Amanda name with work he done in Boston
EDL	00:05:00,799	00:05:03,359	| 99pi-0086-reversaloffortune-1 |	Will you people meet Old Chicago is a sewer
EDL	00:05:03,871	00:05:05,919	| 99pi-0086-reversaloffortune-1 |	Which was actually a newish idea.
EDL	00:05:05,919	00:05:06,943	| 99pi-0086-reversaloffortune-1 |	The time in the US
EDL	00:05:06,943	00:05:08,479	| 99pi-0086-reversaloffortune-1 |	Northern City here at 1
EDL	00:05:08,479	00:05:09,503	| 99pi-0086-reversaloffortune-1 |	Seward's yes
EDL	00:05:09,503	00:05:13,599	| 99pi-0086-reversaloffortune-1 |	Systems not so much in Chicago didn't seem like the town you picked to go first
EDL	00:05:14,111	00:05:16,159	| 99pi-0086-reversaloffortune-1 |	Not if you thought typography meant any
