EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0087-iheartny-tm-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 99pi-0087-iheartny-tm-1 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 99pi-0087-iheartny-tm-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 99pi-0087-iheartny-tm-1 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0087-iheartny-tm-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0087-iheartny-tm-1 |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 99pi-0087-iheartny-tm-1 |	Price in coverage match limited by state law
EDL	00:00:24,576	00:00:26,368	| 99pi-0087-iheartny-tm-1 |	When it comes to marketing your business
EDL	00:00:26,368	00:00:29,184	| 99pi-0087-iheartny-tm-1 |	It's all about reaching the Right audience at the right time
EDL	00:00:29,184	00:00:32,768	| 99pi-0087-iheartny-tm-1 |	Connecting with that audience when your message will resonate the most
EDL	00:00:32,768	00:00:33,792	| 99pi-0087-iheartny-tm-1 |	LinkedIn can help
EDL	00:00:34,304	00:00:40,704	| 99pi-0087-iheartny-tm-1 |	LinkedIn is the world's largest Professional Network in LinkedIn marketing Solutions allow you to Target your customers were there
EDL	00:00:40,704	00:00:44,032	| 99pi-0087-iheartny-tm-1 |	Engaging every day when they're ready to make a decision
EDL	00:00:44,544	00:00:49,664	| 99pi-0087-iheartny-tm-1 |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their customers
EDL	00:00:49,664	00:00:55,296	| 99pi-0087-iheartny-tm-1 |	Those relationships often turn into high-quality leads website traffic and higher brand awareness
EDL	00:00:55,296	00:00:59,904	| 99pi-0087-iheartny-tm-1 |	And Linkedin have the marketing tools to help you target your customers with precision
EDL	00:00:59,904	00:01:02,720	| 99pi-0087-iheartny-tm-1 |	Down to the job title company name and Industry
EDL	00:01:03,232	00:01:05,536	| 99pi-0087-iheartny-tm-1 |	Because we can Target exactly who you want to reach
EDL	00:01:05,536	00:01:08,352	| 99pi-0087-iheartny-tm-1 |	You can make sure your customers are getting a message that they care about
EDL	00:01:08,864	00:01:10,912	| 99pi-0087-iheartny-tm-1 |	Which in turn builds Trust
EDL	00:01:10,912	00:01:17,056	| 99pi-0087-iheartny-tm-1 |	To redeem a free $100 LinkedIn at credit and launch your first campaign go to linkedin.com
EDL	00:01:17,824	00:01:22,176	| 99pi-0087-iheartny-tm-1 |	Linkedin.com invisible Pier free $100 at credit
EDL	00:01:22,688	00:01:24,224	| 99pi-0087-iheartny-tm-1 |	Terms and conditions apply
EDL	00:01:24,992	00:01:26,784	| 99pi-0087-iheartny-tm-1 |	This is 99% invisible
EDL	00:01:27,296	00:01:28,576	| 99pi-0087-iheartny-tm-1 |	I'm Sam Greenspan
EDL	00:01:28,576	00:01:29,600	| 99pi-0087-iheartny-tm-1 |	Infer Roman Mars
EDL	00:01:31,136	00:01:32,928	| 99pi-0087-iheartny-tm-1 |	By now the story is well-known
EDL	00:01:33,440	00:01:35,744	| 99pi-0087-iheartny-tm-1 |	A man sits in the backseat of a cab
EDL	00:01:35,744	00:01:37,024	| 99pi-0087-iheartny-tm-1 |	Sketching on a notepad
EDL	00:01:37,024	00:01:38,816	| 99pi-0087-iheartny-tm-1 |	As night falls over a crumbling City
EDL	00:01:40,096	00:01:41,120	| 99pi-0087-iheartny-tm-1 |	He's proposal letter i
EDL	00:01:41,632	00:01:42,912	| 99pi-0087-iheartny-tm-1 |	He draws a heart
EDL	00:01:42,912	00:01:44,448	| 99pi-0087-iheartny-tm-1 |	And an n and a y
EDL	00:01:44,960	00:01:47,008	| 99pi-0087-iheartny-tm-1 |	And right away he knows he's got something
EDL	00:01:47,776	00:01:48,544	| 99pi-0087-iheartny-tm-1 |	This is it
EDL	00:01:49,568	00:01:50,336	| 99pi-0087-iheartny-tm-1 |	This is the camp
EDL	00:01:51,872	00:01:53,920	| 99pi-0087-iheartny-tm-1 |	The man was a designer named Milton Glaser
EDL	00:01:54,432	00:01:57,248	| 99pi-0087-iheartny-tm-1 |	What city was New York the year 1977
EDL	00:01:57,760	00:02:01,344	| 99pi-0087-iheartny-tm-1 |	A time and place commemorated by an entire genre of movies
EDL	00:02:01,856	00:02:05,440	| 99pi-0087-iheartny-tm-1 |	Dedicated to making it look like a terrifying place to live
EDL	00:02:06,208	00:02:08,512	| 99pi-0087-iheartny-tm-1 |	Enjoy a typical afternoon
EDL	00:02:08,512	00:02:09,536	| 99pi-0087-iheartny-tm-1 |	Time in New York City
EDL	00:02:09,536	00:02:10,304	| 99pi-0087-iheartny-tm-1 |	The most
EDL	00:02:10,304	00:02:12,352	| 99pi-0087-iheartny-tm-1 |	Violent town in the world
EDL	00:02:12,352	00:02:13,120	| 99pi-0087-iheartny-tm-1 |	I see the money man
EDL	00:02:13,632	00:02:16,192	| 99pi-0087-iheartny-tm-1 |	The news today
EDL	00:02:22,592	00:02:24,128	| 99pi-0087-iheartny-tm-1 |	The city needed a miracle
EDL	00:02:24,128	00:02:25,152	| 99pi-0087-iheartny-tm-1 |	Any kind of got one
EDL	00:02:25,152	00:02:25,920	| 99pi-0087-iheartny-tm-1 |	We letters and
