EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,328	| 99pi-0119-feetofengineering-1 |	99percentinvisible is brought to you by Progresso
EDL	00:00:03,840	00:00:06,144	| 99pi-0119-feetofengineering-1 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 99pi-0119-feetofengineering-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 99pi-0119-feetofengineering-1 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0119-feetofengineering-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0119-feetofengineering-1 |	Progressive.com
EDL	00:00:20,480	00:00:22,528	| 99pi-0119-feetofengineering-1 |	Price in coverage match limited by state
EDL	00:00:24,576	00:00:26,368	| 99pi-0119-feetofengineering-1 |	When it comes to marketing your business
EDL	00:00:26,368	00:00:29,184	| 99pi-0119-feetofengineering-1 |	It's all about reaching the Right audience at the right time
EDL	00:00:29,184	00:00:32,256	| 99pi-0119-feetofengineering-1 |	Connecting with that audience when your message will resonate the most
EDL	00:00:32,768	00:00:33,792	| 99pi-0119-feetofengineering-1 |	LinkedIn can help
EDL	00:00:34,304	00:00:36,608	| 99pi-0119-feetofengineering-1 |	LinkedIn is the world's largest professional network
EDL	00:00:36,608	00:00:43,008	| 99pi-0119-feetofengineering-1 |	LinkedIn marketing Solutions allow you to Target your customers where they're engaging everyday when they're ready
EDL	00:00:43,008	00:00:44,032	| 99pi-0119-feetofengineering-1 |	Need to make a decision
EDL	00:00:44,544	00:00:49,664	| 99pi-0119-feetofengineering-1 |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their customers
EDL	00:00:49,664	00:00:52,480	| 99pi-0119-feetofengineering-1 |	Those relationships often turn into high-quality leads
EDL	00:00:52,480	00:00:54,784	| 99pi-0119-feetofengineering-1 |	Website traffic and higher brand awareness
EDL	00:00:55,296	00:00:59,904	| 99pi-0119-feetofengineering-1 |	And Linkedin have the marketing tools to help you target your customers with precision
EDL	00:00:59,904	00:01:02,720	| 99pi-0119-feetofengineering-1 |	Down to the job title company name and Industry
EDL	00:01:03,232	00:01:05,536	| 99pi-0119-feetofengineering-1 |	Because we can Target exactly who you want to reach
EDL	00:01:05,536	00:01:08,352	| 99pi-0119-feetofengineering-1 |	You can make sure your customers are getting a message that they care about
EDL	00:01:08,864	00:01:10,400	| 99pi-0119-feetofengineering-1 |	Which in turn builds Trust
EDL	00:01:10,912	00:01:17,056	| 99pi-0119-feetofengineering-1 |	To redeem a free $100 LinkedIn at credit and launch your first campaign go to linkedin.com
EDL	00:01:17,824	00:01:20,128	| 99pi-0119-feetofengineering-1 |	Linkedin.com invisible
EDL	00:01:20,128	00:01:22,176	| 99pi-0119-feetofengineering-1 |	A free $100 at credit
EDL	00:01:22,688	00:01:23,968	| 99pi-0119-feetofengineering-1 |	Terms and conditions
EDL	00:01:23,968	00:01:24,480	| 99pi-0119-feetofengineering-1 |	Apply
EDL	00:01:25,504	00:01:27,552	| 99pi-0119-feetofengineering-1 |	This is 99% invisible
EDL	00:01:28,064	00:01:29,088	| 99pi-0119-feetofengineering-1 |	I'm Roman Mars
EDL	00:01:31,648	00:01:33,184	| 99pi-0119-feetofengineering-1 |	If you hear these footsteps
EDL	00:01:33,184	00:01:36,000	| 99pi-0119-feetofengineering-1 |	Can get some idea about who is walking towards you
EDL	00:01:36,768	00:01:38,560	| 99pi-0119-feetofengineering-1 |	Probably woman that does not to be
EDL	00:01:39,072	00:01:42,144	| 99pi-0119-feetofengineering-1 |	She can be a supermodel a CEO a drag queen
EDL	00:01:42,144	00:01:42,656	| 99pi-0119-feetofengineering-1 |	Bridesmaid
EDL	00:01:43,168	00:01:43,680	| 99pi-0119-feetofengineering-1 |	Destiny
EDL	00:01:44,704	00:01:49,312	| 99pi-0119-feetofengineering-1 |	As a fashion object and symbol the high heel is weighted with meaning
EDL	00:01:49,312	00:01:50,592	| 99pi-0119-feetofengineering-1 |	It is also weighted
EDL	00:01:50,592	00:01:52,896	| 99pi-0119-feetofengineering-1 |	With the where's entire body weight
EDL	00:01:53,664	00:01:55,200	| 99pi-0119-feetofengineering-1 |	The high-heeled shoe
EDL	00:01:55,200	00:01:57,248	| 99pi-0119-feetofengineering-1 |	Might be one of the only designs
EDL	00:01:57,248	00:01:59,040	| 99pi-0119-feetofengineering-1 |	That is physically painful
EDL	00:01:59,552	00:02:00,832	| 99pi-0119-feetofengineering-1 |	And yet somehow purses
EDL	00:02:01,344	00:02:05,440	| 99pi-0119-feetofengineering-1 |	Avery truffelman doesn't tend to wear heels I really like the way he look
EDL	00:02:05,952	00:02:07,232	| 99pi-0119-feetofengineering-1 |	And I've tried wearing them
EDL	00:02:07,232	00:02:08,256	| 99pi-0119-feetofengineering-1 |	But I just
EDL	00:02:08,256	00:02:08,768	| 99pi-0119-feetofengineering-1 |	Cannot do it
EDL	00:02:09,280	00:02:11,072	| 99pi-0119-feetofengineering-1 |	So I talked to someone who actually wears them
EDL	00:02:11,584	00:02:12,352	| 99pi-0119-feetofengineering-1 |	Every
EDL	00:02:12,352	00:02:14,144	| 99pi-0119-feetofengineering-1 |	Day and I have a standing desk
EDL	00:02:14,912	00:02:16,192	| 99pi-0119-feetofengineering-1 |	So I'm even a bigger dumb
EDL	00:02:16,192	00:02:16,960	| 99pi-0119-feetofengineering-1 |	Wright Lake
EDL	00:02:17,472	00:02:23,616	| 99pi-0119-feetofengineering-1 |	I am in these heels all day and standing when all these other job you can't even tell she's doing it in
EDL	00:02:24,384	00:02:25,152	| 99pi-0119-feetofengineering-1 |	This is all things
EDL	00:02:25,920	00:02:26,432	| 99pi-0119-feetofengineering-1 |	From NPR
EDL	00:02:28,480	00:02:31,552	| 99pi-0119-feetofengineering-1 |	Believe it or not we radio folk actually bothered to get dressed
EDL	00:02:34,880	00:02:35,648	| 99pi-0119-feetofengineering-1 |	Trolley corners
EDL	00:02:35,648	00:02:37,184	| 99pi-0119-feetofengineering-1 |	Like a lot of professionals
