EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0142-andthewinneris-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 99pi-0142-andthewinneris-1 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 99pi-0142-andthewinneris-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 99pi-0142-andthewinneris-1 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0142-andthewinneris-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0142-andthewinneris-1 |	Progressive.com
EDL	00:00:20,480	00:00:22,528	| 99pi-0142-andthewinneris-1 |	Price in coverage match limited by state
EDL	00:00:24,576	00:00:26,368	| 99pi-0142-andthewinneris-1 |	When it comes to marketing your business
EDL	00:00:26,368	00:00:29,184	| 99pi-0142-andthewinneris-1 |	It's all about reaching the Right audience at the right time
EDL	00:00:29,184	00:00:32,256	| 99pi-0142-andthewinneris-1 |	Connecting with that audience when your message will resonate the most
EDL	00:00:32,768	00:00:33,792	| 99pi-0142-andthewinneris-1 |	LinkedIn can help
EDL	00:00:34,304	00:00:40,704	| 99pi-0142-andthewinneris-1 |	LinkedIn is the world's largest Professional Network in LinkedIn marketing Solutions allow you to Target your customers were there
EDL	00:00:40,704	00:00:44,032	| 99pi-0142-andthewinneris-1 |	Engaging every day when they're ready to make a decision
EDL	00:00:44,544	00:00:49,664	| 99pi-0142-andthewinneris-1 |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their customers
EDL	00:00:49,664	00:00:52,480	| 99pi-0142-andthewinneris-1 |	Those relationships often turn into high-quality leads
EDL	00:00:52,480	00:00:54,784	| 99pi-0142-andthewinneris-1 |	Website traffic and higher brand awareness
EDL	00:00:55,296	00:00:59,904	| 99pi-0142-andthewinneris-1 |	And Linkedin have the marketing tools to help you target your customers with precision
EDL	00:00:59,904	00:01:02,720	| 99pi-0142-andthewinneris-1 |	Down to the job title company name and Industry
EDL	00:01:03,232	00:01:05,536	| 99pi-0142-andthewinneris-1 |	Because we can Target exactly who you want to reach
EDL	00:01:05,536	00:01:08,352	| 99pi-0142-andthewinneris-1 |	You can make sure your customers are getting a message that they care about
EDL	00:01:08,864	00:01:10,400	| 99pi-0142-andthewinneris-1 |	Which in turn builds Trust
EDL	00:01:10,912	00:01:17,056	| 99pi-0142-andthewinneris-1 |	To redeem a free $100 LinkedIn at credit and launch your first campaign go to linkedin.com
EDL	00:01:17,824	00:01:20,128	| 99pi-0142-andthewinneris-1 |	Linkedin.com invisible
EDL	00:01:20,128	00:01:22,176	| 99pi-0142-andthewinneris-1 |	A free $100 at credit
EDL	00:01:22,688	00:01:23,968	| 99pi-0142-andthewinneris-1 |	Terms and conditions
EDL	00:01:23,968	00:01:24,480	| 99pi-0142-andthewinneris-1 |	Apply
EDL	00:01:24,992	00:01:27,296	| 99pi-0142-andthewinneris-1 |	This is 99% invisible
EDL	00:01:27,296	00:01:28,320	| 99pi-0142-andthewinneris-1 |	I'm Roman Mars
EDL	00:01:30,112	00:01:36,512	| 99pi-0142-andthewinneris-1 |	Trophies are hard for people to throw away there's actually a service in Madison Wisconsin
EDL	00:01:36,512	00:01:42,912	| 99pi-0142-andthewinneris-1 |	Trophies and turn them into new ones
EDL	00:01:42,912	00:01:44,960	| 99pi-0142-andthewinneris-1 |	Boys & Girls Club for the Special Olympics
EDL	00:01:45,472	00:01:48,544	| 99pi-0142-andthewinneris-1 |	Some of the trophies they get come from people who have passed away
EDL	00:01:48,544	00:01:50,592	| 99pi-0142-andthewinneris-1 |	They're surviving relative Center
EDL	00:01:50,592	00:01:55,200	| 99pi-0142-andthewinneris-1 |	And sometimes they're from people who are just tired of their trophies taking up space and their homes
EDL	00:01:55,968	00:01:57,248	| 99pi-0142-andthewinneris-1 |	In both cases
EDL	00:01:57,248	00:02:02,368	| 99pi-0142-andthewinneris-1 |	People will actually pay the shipping to Madison to avoid putting their trophies in the trash
EDL	00:02:02,368	00:02:04,928	| 99pi-0142-andthewinneris-1 |	Donna Gregg who runs the service with her daughter Janet
EDL	00:02:05,440	00:02:10,560	| 99pi-0142-andthewinneris-1 |	Said that sometimes people request to be told where their old trophies and up
EDL	00:02:11,072	00:02:13,376	| 99pi-0142-andthewinneris-1 |	Almost like they're donating an organ
EDL	00:02:14,400	00:02:17,472	| 99pi-0142-andthewinneris-1 |	Most of the time the materials that make them are cheap
EDL	00:02:17,472	00:02:20,288	| 99pi-0142-andthewinneris-1 |	But that's not how you measure the value of a trophy
EDL	00:02:22,080	00:02:28,480	| 99pi-0142-andthewinneris-1 |	There's a little trophy shop down the street from our office in Oakland it's small but bust my windows are
EDL	00:02:28,480	00:02:32,064	| 99pi-0142-andthewinneris-1 |	Stuffed to the brim with the words made of all kind of material
EDL	00:02:32,064	00:02:34,624	| 99pi-0142-andthewinneris-1 |	And in any shape you can imagine
EDL	00:02:34,624	00:02:37,952	| 99pi-0142-andthewinneris-1 |	Chalices orbs golfers gavel
EDL	00:02:37,952	00:02:38,720	| 99pi-0142-andthewinneris-1 |	Apples
EDL	00:02:38,720	00:02:39,488	| 99pi-0142-andthewinneris-1 |	And plaques
EDL	00:02:40,000	00:02:41,536	| 99pi-0142-andthewinneris-1 |	Plenty of plaques
EDL	00:02:42,048	00:02:44,096	| 99pi-0142-andthewinneris-1 |	So of course producer Avery trufelman
EDL	00:02:44,096	00:02:44,608	| 99pi-0142-andthewinneris-1 |	Wrentham
EDL	00:02:45,376	00:02:51,776	| 99pi-0142-andthewinneris-1 |	We the membership of Mount Zion Lodge number for prevent this token of appreciation to Brother Willy adames we honor
EDL	00:02:51,776	00:02:52,288	| 99pi-0142-andthewinneris-1 |	And welcome you
EDL	00:02:53,568	00:02:54,336	| 99pi-0142-andthewinneris-1 |	Give me some
EDL	00:02:55,616	00:02:59,456	| 99pi-0142-andthewinneris-1 |	Are you allowed to reveal who that is Honor Roll Award of Excellence
EDL	00:02:59,456	00:03:02,016	| 99pi-0142-andthewinneris-1 |	Presented to Gavin Newsom mayor of San Francisco
EDL	00:03:02,016	00:03:08,416	| 99pi-0142-andthewinneris-1 |	Appreciation for your contributions to the Nigerian Community Club DJ of the year 1990
EDL	00:03:08,416	00:03:08,928	| 99pi-0142-andthewinneris-1 |	Does rifle
EDL	00:03:10,208	00:03:15,584	| 99pi-0142-andthewinneris-1 |	And there are plenty of touchingly heartfelt Engravings that you feel that maybe you shouldn't be reading
EDL	00:03:16,096	00:03:20,192	| 99pi-0142-andthewinneris-1 |	To my dear husband Gill on the occasion of our 35th wedding anniversary
EDL	00:03:20,704	00:03:27,104	| 99pi-0142-andthewinneris-1 |	Thank you sweetheart for 35 loving supportive challenging and exciting years together God has netted our hearts together
EDL	00:03:27,104	00:03:29,664	| 99pi-0142-andthewinneris-1 |	They're into a beautiful tapestry of love
EDL	00:03:29,664	00:03:32,224	| 99pi-0142-andthewinneris-1 |	Julia Riddell runs this job along with her husband
EDL	00:03:32,224	00:03:35,808	| 99pi-0142-andthewinneris-1 |	And she's always moved by what people want engraved on their trophies
EDL	00:03:36,320	00:03:37,344	| 99pi-0142-andthewinneris-1 |	People amaze me
EDL	00:03:37,856	00:03:38,880	| 99pi-0142-andthewinneris-1 |	With eloquence
EDL	00:03:39,392	00:03:42,976	| 99pi-0142-andthewinneris-1 |	And the sincerity and just the way that they can
EDL	00:03:43,744	00:03:44,768	| 99pi-0142-andthewinneris-1 |	Expressive
EDL	00:03:46,560	00:03:49,632	| 99pi-0142-andthewinneris-1 |	Cuz I am from the culture where people did not occur
EDL	00:03:49,632	00:03:50,400	| 99pi-0142-andthewinneris-1 |	Press the feeling
EDL	00:03:51,424	00:03:52,960	| 99pi-0142-andthewinneris-1 |	Julia is from Russia
EDL	00:03:52,960	00:03:57,056	| 99pi-0142-andthewinneris-1 |	And it was not always appreciated by the people would
EDL	00:03:57,056	00:03:57,824	| 99pi-0142-andthewinneris-1 |	Styx
EDL	00:03:57,824	00:03:59,104	| 99pi-0142-andthewinneris-1 |	Press sincerely
EDL	00:03:59,616	00:04:00,896	| 99pi-0142-andthewinneris-1 |	Their feelings
EDL	00:04:00,896	00:04:03,200	| 99pi-0142-andthewinneris-1 |	Let alone having
EDL	00:04:03,200	00:04:05,248	| 99pi-0142-andthewinneris-1 |	Engraved and be displayed public
EDL	00:04:05,760	00:04:08,320	| 99pi-0142-andthewinneris-1 |	Russians just don't give out Trophies the way that we
EDL	00:04:09,088	00:04:11,648	| 99pi-0142-andthewinneris-1 |	Americans freaking love trophies
EDL	00:04:11,648	00:04:18,047	| 99pi-0142-andthewinneris-1 |	And some of the fanciest trophies and Juliet shop actually in the fanciest trophies in the world come from RSO
EDL	00:04:18,047	00:04:20,095	| 99pi-0142-andthewinneris-1 |	Owens & Company in Chicago
EDL	00:04:20,095	00:04:21,887	| 99pi-0142-andthewinneris-1 |	My father built the company
EDL	00:04:23,423	00:04:24,191	| 99pi-0142-andthewinneris-1 |	Figure wizard
