EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,328	| 99pi-0150-underthemoonlight-1 |	99percentinvisible is brought to you by Progresso
EDL	00:00:03,840	00:00:06,144	| 99pi-0150-underthemoonlight-1 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 99pi-0150-underthemoonlight-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:12,544	| 99pi-0150-underthemoonlight-1 |	You can say what kind of coverage were looking for and how much you want to pay
EDL	00:00:12,544	00:00:15,104	| 99pi-0150-underthemoonlight-1 |	Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0150-underthemoonlight-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0150-underthemoonlight-1 |	Progressive.com
EDL	00:00:20,480	00:00:22,528	| 99pi-0150-underthemoonlight-1 |	Price in coverage match limited by state
EDL	00:00:24,832	00:00:25,600	| 99pi-0150-underthemoonlight-1 |	Family ghosts
EDL	00:00:25,600	00:00:31,232	| 99pi-0150-underthemoonlight-1 |	Is a podcast explores all the unexpected ways our family structure and shape our view of the world
EDL	00:00:31,744	00:00:33,280	| 99pi-0150-underthemoonlight-1 |	Each episode of Family ghost
EDL	00:00:33,280	00:00:37,376	| 99pi-0150-underthemoonlight-1 |	Takes a look at the story behind a different person's family lore
EDL	00:00:37,376	00:00:40,192	| 99pi-0150-underthemoonlight-1 |	Digging into unanswered questions about their history
EDL	00:00:40,192	00:00:42,752	| 99pi-0150-underthemoonlight-1 |	Season 2 Launches on May 15th
EDL	00:00:42,752	00:00:46,080	| 99pi-0150-underthemoonlight-1 |	Between episode where they take you inside the love Israel family called
EDL	00:00:46,080	00:00:50,688	| 99pi-0150-underthemoonlight-1 |	An episode about uncovering the secrets scrolled in a newly discovered stack of Love Letters
EDL	00:00:50,688	00:00:57,088	| 99pi-0150-underthemoonlight-1 |	Asuna episode that brings you along to the hunt for a container of missing Chinese food that's haunted a family
EDL	00:00:57,088	00:00:58,368	| 99pi-0150-underthemoonlight-1 |	For 25 years
EDL	00:00:58,368	00:00:58,880	| 99pi-0150-underthemoonlight-1 |	And more
EDL	00:00:59,392	00:01:03,488	| 99pi-0150-underthemoonlight-1 |	Subscribe to family goes wherever you get your podcast and find out why they say
EDL	00:01:03,488	00:01:04,768	| 99pi-0150-underthemoonlight-1 |	Every house is haunted
EDL	00:01:05,792	00:01:07,584	| 99pi-0150-underthemoonlight-1 |	This is 99% invisible
EDL	00:01:08,096	00:01:09,120	| 99pi-0150-underthemoonlight-1 |	I'm Roman Mars
EDL	00:01:11,680	00:01:13,728	| 99pi-0150-underthemoonlight-1 |	We begin with an unsolved murder mystery
EDL	00:01:14,496	00:01:16,288	| 99pi-0150-underthemoonlight-1 |	Actually a series of unsolved murders
EDL	00:01:17,312	00:01:19,360	| 99pi-0150-underthemoonlight-1 |	Perhaps the work of the United States
EDL	00:01:19,360	00:01:20,640	| 99pi-0150-underthemoonlight-1 |	Worst serial killer
EDL	00:01:21,408	00:01:24,224	| 99pi-0150-underthemoonlight-1 |	Before Jack the Ripper terrorize London
EDL	00:01:24,224	00:01:27,296	| 99pi-0150-underthemoonlight-1 |	Before HH Holmes stock the Chicago World's Fair
EDL	00:01:28,064	00:01:28,832	| 99pi-0150-underthemoonlight-1 |	Austin Texas
EDL	00:01:29,344	00:01:32,416	| 99pi-0150-underthemoonlight-1 |	Was haunted by the servant girl annihilator
EDL	00:01:32,928	00:01:37,024	| 99pi-0150-underthemoonlight-1 |	Producer Avery trufelman would like to reiterate that these murders are unsolved
EDL	00:01:37,536	00:01:41,632	| 99pi-0150-underthemoonlight-1 |	So it's possible that these were individual murders rather than the work of one man
EDL	00:01:42,144	00:01:43,168	| 99pi-0150-underthemoonlight-1 |	The hard fast
EDL	00:01:43,168	00:01:43,936	| 99pi-0150-underthemoonlight-1 |	Fact is this
EDL	00:01:44,448	00:01:45,728	| 99pi-0150-underthemoonlight-1 |	In 1885
EDL	00:01:46,240	00:01:47,008	| 99pi-0150-underthemoonlight-1 |	8 Women
EDL	00:01:47,008	00:01:48,544	| 99pi-0150-underthemoonlight-1 |	Mostly black servants
EDL	00:01:48,544	00:01:49,824	| 99pi-0150-underthemoonlight-1 |	Brutally murdered
EDL	00:01:49,824	00:01:51,616	| 99pi-0150-underthemoonlight-1 |	In the dark of night
EDL	00:01:51,616	00:01:53,408	| 99pi-0150-underthemoonlight-1 |	And the night was very dark
EDL	00:01:53,408	00:01:55,200	| 99pi-0150-underthemoonlight-1 |	In Austin in 1885
EDL	00:01:55,968	00:01:57,248	| 99pi-0150-underthemoonlight-1 |	There was essentially no Street
EDL	00:01:57,760	00:01:58,784	| 99pi-0150-underthemoonlight-1 |	The darkness
EDL	00:02:00,064	00:02:01,088	| 99pi-0150-underthemoonlight-1 |	Just life
EDL	00:02:01,088	00:02:02,112	| 99pi-0150-underthemoonlight-1 |	After sundown
EDL	00:02:02,624	00:02:05,440	| 99pi-0150-underthemoonlight-1 |	In the 19th century it's something that modern
EDL	00:02:05,440	00:02:06,208	| 99pi-0150-underthemoonlight-1 |	People are just completely
EDL	00:02:07,232	00:02:08,256	| 99pi-0150-underthemoonlight-1 |	This is Bruce hunt
EDL	00:02:08,256	00:02:13,888	| 99pi-0150-underthemoonlight-1 |	He's an associate professor of the history of physics and Technology at the University of Texas Austin
EDL	00:02:13,888	00:02:17,472	| 99pi-0150-underthemoonlight-1 |	Basically there was no outdoor lighting there was moonlight
EDL	00:02:17,472	00:02:19,008	| 99pi-0150-underthemoonlight-1 |	When the moon was out that was about
EDL	00:02:19,520	00:02:24,384	| 99pi-0150-underthemoonlight-1 |	And in 1894 the City of Austin decided to buy more moonlight
EDL	00:02:24,384	00:02:25,408	| 99pi-0150-underthemoonlight-1 |	In the form of towers
EDL	00:02:26,176	00:02:27,456	| 99pi-0150-underthemoonlight-1 |	They're called Moonlight Towers
EDL	00:02:27,456	00:02:27,968	| 99pi-0150-underthemoonlight-1 |	Because we were supposed to
EDL	00:02:29,248	00:02:29,760	| 99pi-0150-underthemoonlight-1 |	Full moon
EDL	00:02:30,272	00:02:32,576	| 99pi-0150-underthemoonlight-1 |	Austin adopted Moonlight Towers
EDL	00:02:32,576	00:02:35,904	| 99pi-0150-underthemoonlight-1 |	Was really work Powers there 15 stories high
EDL	00:02:36,416	00:02:42,816	| 99pi-0150-underthemoonlight-1 |	Very industrial-looking made of metal scaffolding and each was crowned with a circle of six lights
EDL	00:02:42,816	00:02:45,376	| 99pi-0150-underthemoonlight-1 |	Soaring way way high above the city
EDL	00:02:46,656	00:02:49,472	| 99pi-0150-underthemoonlight-1 |	Austin wasn't the first to implement Tower lighting
EDL	00:02:49,472	00:02:52,032	| 99pi-0150-underthemoonlight-1 |	In the eighteen-hundreds a lot of major cities had them
EDL	00:02:52,544	00:02:57,920	| 99pi-0150-underthemoonlight-1 |	ArcLight hours illuminated streets in New York Baltimore La San Jose and Detroit
EDL	00:02:57,920	00:02:59,200	| 99pi-0150-underthemoonlight-1 |	Detroit had a very huge
EDL	00:02:59,968	00:03:00,736	| 99pi-0150-underthemoonlight-1 |	Much larger than Austin
EDL	00:03:01,504	00:03:03,808	| 99pi-0150-underthemoonlight-1 |	And that's actually where Austin got their moonlight
EDL	00:03:03,808	00:03:04,576	| 99pi-0150-underthemoonlight-1 |	Towers
EDL	00:03:04,576	00:03:06,624	| 99pi-0150-underthemoonlight-1 |	In 1894 the city purchase
EDL	00:03:06,624	00:03:07,648	| 99pi-0150-underthemoonlight-1 |	Just 31 of them
EDL	00:03:07,648	00:03:09,184	| 99pi-0150-underthemoonlight-1 |	From the city of Detroit
EDL	00:03:09,184	00:03:10,976	| 99pi-0150-underthemoonlight-1 |	And despite their romantic name
EDL	00:03:10,976	00:03:17,120	| 99pi-0150-underthemoonlight-1 |	Be absurdly tall Moonlight Towers were actually a very practical design
EDL	00:03:17,632	00:03:20,448	| 99pi-0150-underthemoonlight-1 |	And their height was meant to accommodate the lighting they use
EDL	00:03:20,960	00:03:22,752	| 99pi-0150-underthemoonlight-1 |	There are clients there initially were ArcLight
EDL	00:03:22,752	00:03:24,288	| 99pi-0150-underthemoonlight-1 |	Carbon Arc lights
EDL	00:03:24,288	00:03:26,336	| 99pi-0150-underthemoonlight-1 |	The precursor to the incandescent bulb
EDL	00:03:26,848	00:03:29,408	| 99pi-0150-underthemoonlight-1 |	Park lights are basically a continued Spark
EDL	00:03:29,408	00:03:30,176	| 99pi-0150-underthemoonlight-1 |	Between two carbon
EDL	00:03:30,944	00:03:32,480	| 99pi-0150-underthemoonlight-1 |	They're extremely bright
EDL	00:03:33,248	00:03:33,760	| 99pi-0150-underthemoonlight-1 |	Lot of glitter
