EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,328	| 99pi-0196-thefresnodrop-1 |	99percentinvisible is brought to you by Progresso
EDL	00:00:03,840	00:00:06,144	| 99pi-0196-thefresnodrop-1 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 99pi-0196-thefresnodrop-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:12,544	| 99pi-0196-thefresnodrop-1 |	You can say what kind of coverage were looking for and how much you want to pay
EDL	00:00:12,544	00:00:15,104	| 99pi-0196-thefresnodrop-1 |	Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0196-thefresnodrop-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0196-thefresnodrop-1 |	Progressive.com
EDL	00:00:20,480	00:00:22,528	| 99pi-0196-thefresnodrop-1 |	Price in coverage match limited by state
EDL	00:00:24,832	00:00:25,600	| 99pi-0196-thefresnodrop-1 |	Family ghosts
EDL	00:00:25,600	00:00:31,232	| 99pi-0196-thefresnodrop-1 |	Is a podcast explores all the unexpected ways our family structure and shape our view of the world
EDL	00:00:31,744	00:00:33,280	| 99pi-0196-thefresnodrop-1 |	Each episode of Family ghost
EDL	00:00:33,280	00:00:37,376	| 99pi-0196-thefresnodrop-1 |	Takes a look at the story behind a different person's family lore
EDL	00:00:37,376	00:00:40,192	| 99pi-0196-thefresnodrop-1 |	Digging into unanswered questions about their history
EDL	00:00:40,192	00:00:42,752	| 99pi-0196-thefresnodrop-1 |	Season 2 Launches on May 15th
EDL	00:00:42,752	00:00:46,080	| 99pi-0196-thefresnodrop-1 |	Between episode where they take you inside the love Israel family called
EDL	00:00:46,080	00:00:50,688	| 99pi-0196-thefresnodrop-1 |	An episode about uncovering the secrets scrolled in a newly discovered stack of Love Letters
EDL	00:00:50,688	00:00:57,088	| 99pi-0196-thefresnodrop-1 |	Asuna episode that brings you along to the hunt for a container of missing Chinese food that's haunted a family
EDL	00:00:57,088	00:00:58,368	| 99pi-0196-thefresnodrop-1 |	For 25 years
EDL	00:00:58,368	00:00:58,880	| 99pi-0196-thefresnodrop-1 |	And more
EDL	00:00:59,392	00:01:03,488	| 99pi-0196-thefresnodrop-1 |	Subscribe to family goes wherever you get your podcast and find out why they say
EDL	00:01:03,488	00:01:04,768	| 99pi-0196-thefresnodrop-1 |	Every house is haunted
EDL	00:01:06,048	00:01:07,840	| 99pi-0196-thefresnodrop-1 |	This is 99% invisible
EDL	00:01:08,352	00:01:09,120	| 99pi-0196-thefresnodrop-1 |	I'm Roman Mars
EDL	00:01:10,912	00:01:14,496	| 99pi-0196-thefresnodrop-1 |	In September 1958 Bank of America decided to try and except
EDL	00:01:15,264	00:01:18,592	| 99pi-0196-thefresnodrop-1 |	One that would have far-reaching effects on our lives and on the account
EDL	00:01:19,360	00:01:23,968	| 99pi-0196-thefresnodrop-1 |	They decided after careful consideration to conduct this experiment in Fresno California
EDL	00:01:24,736	00:01:25,760	| 99pi-0196-thefresnodrop-1 |	The thinking was
EDL	00:01:25,760	00:01:27,808	| 99pi-0196-thefresnodrop-1 |	No one was paying much attention to Fresno
EDL	00:01:27,808	00:01:29,088	| 99pi-0196-thefresnodrop-1 |	The plan failed
EDL	00:01:29,088	00:01:30,624	| 99pi-0196-thefresnodrop-1 |	It wouldn't get a lot of media attention
EDL	00:01:31,392	00:01:33,440	| 99pi-0196-thefresnodrop-1 |	Dangerous low back down here
EDL	00:01:33,440	00:01:37,024	| 99pi-0196-thefresnodrop-1 |	Fresno was not the big metropolitan area is today
EDL	00:01:37,792	00:01:39,072	| 99pi-0196-thefresnodrop-1 |	That's Joseph Russo
EDL	00:01:39,072	00:01:41,120	| 99pi-0196-thefresnodrop-1 |	My name is Joseph Russo
EDL	00:01:41,120	00:01:44,704	| 99pi-0196-thefresnodrop-1 |	I work with Bank of America since 1956
EDL	00:01:45,216	00:01:48,032	| 99pi-0196-thefresnodrop-1 |	Henry tires 1985
EDL	00:01:48,032	00:01:50,848	| 99pi-0196-thefresnodrop-1 |	Started off as a teller and worked our way up
EDL	00:01:51,360	00:01:52,640	| 99pi-0196-thefresnodrop-1 |	As most of us
EDL	00:01:52,640	00:01:53,408	| 99pi-0196-thefresnodrop-1 |	Young
EDL	00:01:53,408	00:01:54,176	| 99pi-0196-thefresnodrop-1 |	Fellas did
EDL	00:01:55,456	00:01:56,992	| 99pi-0196-thefresnodrop-1 |	Joseph was there when all this went down
EDL	00:01:58,016	00:02:00,064	| 99pi-0196-thefresnodrop-1 |	And so in September of 1958
EDL	00:02:00,064	00:02:03,904	| 99pi-0196-thefresnodrop-1 |	Bank of America sent out 60000 pieces of mail to people in Fresno
EDL	00:02:04,416	00:02:06,720	| 99pi-0196-thefresnodrop-1 |	Inside with a little plastic
EDL	00:02:06,720	00:02:09,792	| 99pi-0196-thefresnodrop-1 |	Checked has become an equal parts emblematic of opportunity
EDL	00:02:09,792	00:02:10,816	| 99pi-0196-thefresnodrop-1 |	Convenience
EDL	00:02:10,816	00:02:11,328	| 99pi-0196-thefresnodrop-1 |	And that
EDL	00:02:12,352	00:02:16,448	| 99pi-0196-thefresnodrop-1 |	He's talking about the credit card that's reporter Nate Berg here to tell you when I'm talking
EDL	00:02:16,960	00:02:21,824	| 99pi-0196-thefresnodrop-1 |	Bank of America had recruited about 300 merchants in Fresno to accept this new payment
EDL	00:02:22,848	00:02:25,920	| 99pi-0196-thefresnodrop-1 |	And they asked employees like Joseph two-hand credit cards out
EDL	00:02:25,920	00:02:26,944	| 99pi-0196-thefresnodrop-1 |	The people they knew
EDL	00:02:26,944	00:02:31,296	| 99pi-0196-thefresnodrop-1 |	We did we pass around our friends and you know the neighbors that's about it
EDL	00:02:31,808	00:02:32,832	| 99pi-0196-thefresnodrop-1 |	But that's for Joseph
EDL	00:02:33,344	00:02:35,648	| 99pi-0196-thefresnodrop-1 |	He was skeptical about using a credit card himself
EDL	00:02:36,416	00:02:40,000	| 99pi-0196-thefresnodrop-1 |	Be honest with you I don't remember if I took your car drive better in order
EDL	00:02:40,000	00:02:42,560	| 99pi-0196-thefresnodrop-1 |	If I waited a couple years
EDL	00:02:42,560	00:02:44,096	| 99pi-0196-thefresnodrop-1 |	But dog
EDL	00:02:44,096	00:02:47,168	| 99pi-0196-thefresnodrop-1 |	As a bank riding reap leaving credit myself
EDL	00:02:48,960	00:02:49,728	| 99pi-0196-thefresnodrop-1 |	Minot
EDL	00:02:50,240	00:02:54,080	| 99pi-0196-thefresnodrop-1 |	Well you have to pay back interest and I don't like giving money away
EDL	00:02:55,104	00:02:56,128	| 99pi-0196-thefresnodrop-1 |	Joseph wasn't alone
EDL	00:02:56,640	00:02:59,968	| 99pi-0196-thefresnodrop-1 |	The whole town of Fresno was a bit nervous about this new credit
EDL	00:02:59,968	00:03:00,480	| 99pi-0196-thefresnodrop-1 |	Card system
EDL	00:03:00,992	00:03:03,040	| 99pi-0196-thefresnodrop-1 |	The concept of credit wasn't new
