EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0225-PHOTOCREDIT-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 99pi-0225-PHOTOCREDIT-1 |	One of the country's leading providers of Auto insurer
EDL	00:00:06,912	00:00:08,960	| 99pi-0225-PHOTOCREDIT-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:12,544	| 99pi-0225-PHOTOCREDIT-1 |	You can say what kind of coverage were looking for and how much you want to pay
EDL	00:00:12,544	00:00:14,336	| 99pi-0225-PHOTOCREDIT-1 |	Progressive will show you options.
EDL	00:00:14,336	00:00:15,104	| 99pi-0225-PHOTOCREDIT-1 |	Fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0225-PHOTOCREDIT-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0225-PHOTOCREDIT-1 |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 99pi-0225-PHOTOCREDIT-1 |	Price in coverage match limited by state law
EDL	00:00:24,576	00:00:26,368	| 99pi-0225-PHOTOCREDIT-1 |	When it comes to marketing your business
EDL	00:00:26,368	00:00:29,184	| 99pi-0225-PHOTOCREDIT-1 |	It's all about reaching the Right audience at the right time
EDL	00:00:29,184	00:00:32,256	| 99pi-0225-PHOTOCREDIT-1 |	Connecting with that audience when your message will resonate the most
EDL	00:00:32,768	00:00:33,792	| 99pi-0225-PHOTOCREDIT-1 |	LinkedIn can help
EDL	00:00:34,304	00:00:40,704	| 99pi-0225-PHOTOCREDIT-1 |	LinkedIn is the world's largest Professional Network in LinkedIn marketing Solutions allow you to Target your customers were there
EDL	00:00:40,704	00:00:44,032	| 99pi-0225-PHOTOCREDIT-1 |	Engaging every day when they're ready to make a decision
EDL	00:00:44,544	00:00:49,152	| 99pi-0225-PHOTOCREDIT-1 |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with your cousin
EDL	00:00:49,664	00:00:53,760	| 99pi-0225-PHOTOCREDIT-1 |	Those relationships often turn into high quality leads website traffic
EDL	00:00:53,760	00:00:54,784	| 99pi-0225-PHOTOCREDIT-1 |	And higher brand awareness
EDL	00:00:55,296	00:00:59,136	| 99pi-0225-PHOTOCREDIT-1 |	Tools to help you target your customers with
EDL	00:00:59,136	00:00:59,904	| 99pi-0225-PHOTOCREDIT-1 |	Precision
EDL	00:00:59,904	00:01:01,440	| 99pi-0225-PHOTOCREDIT-1 |	Down to the job title
EDL	00:01:01,440	00:01:02,720	| 99pi-0225-PHOTOCREDIT-1 |	Company name and Industry
EDL	00:01:03,232	00:01:05,536	| 99pi-0225-PHOTOCREDIT-1 |	Because we can Target exactly who you want to reach
EDL	00:01:05,536	00:01:08,352	| 99pi-0225-PHOTOCREDIT-1 |	You can make sure your customers are getting a message that they care about
EDL	00:01:08,864	00:01:10,400	| 99pi-0225-PHOTOCREDIT-1 |	Which in turn builds Trust
EDL	00:01:10,912	00:01:17,056	| 99pi-0225-PHOTOCREDIT-1 |	To redeem a free $100 LinkedIn at credit and launch your first campaign go to linkedin.com
EDL	00:01:17,824	00:01:19,104	| 99pi-0225-PHOTOCREDIT-1 |	Linkedin.com
EDL	00:01:20,128	00:01:22,176	| 99pi-0225-PHOTOCREDIT-1 |	Fear free $100 at credit
EDL	00:01:22,688	00:01:23,968	| 99pi-0225-PHOTOCREDIT-1 |	Terms and conditions
EDL	00:01:23,968	00:01:24,480	| 99pi-0225-PHOTOCREDIT-1 |	Reply
EDL	00:01:24,992	00:01:26,784	| 99pi-0225-PHOTOCREDIT-1 |	This is 99% invisible
EDL	00:01:27,808	00:01:28,576	| 99pi-0225-PHOTOCREDIT-1 |	I'm Roman Mars
EDL	00:01:31,136	00:01:32,416	| 99pi-0225-PHOTOCREDIT-1 |	You can picture there
EDL	00:01:33,184	00:01:34,720	| 99pi-0225-PHOTOCREDIT-1 |	Line under stomach in the dirt
EDL	00:01:35,744	00:01:37,792	| 99pi-0225-PHOTOCREDIT-1 |	Arcing her camera up towards the building
EDL	00:01:38,816	00:01:39,584	| 99pi-0225-PHOTOCREDIT-1 |	Tilting the frames
EDL	00:01:40,096	00:01:44,704	| 99pi-0225-PHOTOCREDIT-1 |	Stark rectilinear building transforms into a striking asymmetric
EDL	00:01:44,704	00:01:45,472	| 99pi-0225-PHOTOCREDIT-1 |	Composition
EDL	00:01:46,496	00:01:48,288	| 99pi-0225-PHOTOCREDIT-1 |	You can see her taking her time
EDL	00:01:48,288	00:01:49,056	| 99pi-0225-PHOTOCREDIT-1 |	This photo
EDL	00:01:49,056	00:01:50,080	| 99pi-0225-PHOTOCREDIT-1 |	Adjusting the focus
EDL	00:01:50,080	00:01:50,848	| 99pi-0225-PHOTOCREDIT-1 |	Exposure
EDL	00:01:51,360	00:01:52,384	| 99pi-0225-PHOTOCREDIT-1 |	She releases the shutter
EDL	00:01:52,896	00:01:55,712	| 99pi-0225-PHOTOCREDIT-1 |	Impressing the negative image onto a glass plate
EDL	00:01:56,992	00:01:59,808	| 99pi-0225-PHOTOCREDIT-1 |	90 years later this Photograph by Lucia moholy
EDL	00:02:00,320	00:02:04,416	| 99pi-0225-PHOTOCREDIT-1 |	Is one of the most famous images of the German article known as the Bauhaus
EDL	00:02:04,928	00:02:06,208	| 99pi-0225-PHOTOCREDIT-1 |	Meaning the word
EDL	00:02:06,208	00:02:06,976	| 99pi-0225-PHOTOCREDIT-1 |	Build in German
EDL	00:02:07,744	00:02:09,024	| 99pi-0225-PHOTOCREDIT-1 |	And house meaning
EDL	00:02:09,792	00:02:12,096	| 99pi-0225-PHOTOCREDIT-1 |	Mediocre German speakers Sam Greenspan
EDL	00:02:12,096	00:02:15,936	| 99pi-0225-PHOTOCREDIT-1 |	The Bell House was founded by architect Walter gropius in 1990
EDL	00:02:16,960	00:02:19,776	| 99pi-0225-PHOTOCREDIT-1 |	The school start diffuse art with industrialization
EDL	00:02:20,288	00:02:22,592	| 99pi-0225-PHOTOCREDIT-1 |	Do use new ideals of modernism
EDL	00:02:22,592	00:02:23,872	| 99pi-0225-PHOTOCREDIT-1 |	To create beautiful
EDL	00:02:23,872	00:02:24,896	| 99pi-0225-PHOTOCREDIT-1 |	Functional things
EDL	00:02:24,896	00:02:26,432	| 99pi-0225-PHOTOCREDIT-1 |	Which could be mass-produced
EDL	00:02:26,432	00:02:27,968	| 99pi-0225-PHOTOCREDIT-1 |	The betterment of society
EDL	00:02:27,968	00:02:32,320	| 99pi-0225-PHOTOCREDIT-1 |	In the beginning of the Bauhaus Rose From the Ashes of World War 1 end
EDL	00:02:32,320	00:02:33,600	| 99pi-0225-PHOTOCREDIT-1 |	There was a
EDL	00:02:33,600	00:02:34,880	| 99pi-0225-PHOTOCREDIT-1 |	Very hopeful
EDL	00:02:34,880	00:02:36,928	| 99pi-0225-PHOTOCREDIT-1 |	Bear utopian. Of
EDL	00:02:36,928	00:02:41,792	| 99pi-0225-PHOTOCREDIT-1 |	Craftsman and artist all creating together
EDL	00:02:41,792	00:02:43,840	| 99pi-0225-PHOTOCREDIT-1 |	Teach architectural design history at
EDL	00:02:43,840	00:02:45,120	| 99pi-0225-PHOTOCREDIT-1 |	At The courtauld Institute
EDL	00:02:45,120	00:02:46,144	| 99pi-0225-PHOTOCREDIT-1 |	Art in London
EDL	00:02:46,656	00:02:47,168	| 99pi-0225-PHOTOCREDIT-1 |	But I'm America
EDL	00:02:48,192	00:02:54,336	| 99pi-0225-PHOTOCREDIT-1 |	The Bauhaus was a magnet for European designers Architects and artists of all kinds in the early 20th century
EDL	00:02:54,848	00:02:57,664	| 99pi-0225-PHOTOCREDIT-1 |	Many of whom would go on to achieve International acclaim
EDL	00:02:58,432	00:03:02,272	| 99pi-0225-PHOTOCREDIT-1 |	The photographer Lucia moholy did not become one of those famous
