EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0230-projectcybersyn-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 99pi-0230-projectcybersyn-1 |	One of the country's leading providers of Auto insurer
EDL	00:00:06,912	00:00:08,960	| 99pi-0230-projectcybersyn-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:12,544	| 99pi-0230-projectcybersyn-1 |	You can say what kind of coverage were looking for and how much you want to pay
EDL	00:00:12,544	00:00:15,616	| 99pi-0230-projectcybersyn-1 |	Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0230-projectcybersyn-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0230-projectcybersyn-1 |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 99pi-0230-projectcybersyn-1 |	Price in coverage match limited by state law
EDL	00:00:24,832	00:00:25,600	| 99pi-0230-projectcybersyn-1 |	Family ghosts
EDL	00:00:25,600	00:00:31,744	| 99pi-0230-projectcybersyn-1 |	Is a podcast explores all the unexpected ways our family structure and shape our view of the world
EDL	00:00:31,744	00:00:33,536	| 99pi-0230-projectcybersyn-1 |	Each episode of Family ghosts
EDL	00:00:33,536	00:00:37,376	| 99pi-0230-projectcybersyn-1 |	Takes a look at the story behind a different person's family lore
EDL	00:00:37,376	00:00:39,936	| 99pi-0230-projectcybersyn-1 |	Digging into unanswered questions about their history
EDL	00:00:40,448	00:00:42,752	| 99pi-0230-projectcybersyn-1 |	Season 2 Launches on May 15th
EDL	00:00:42,752	00:00:49,152	| 99pi-0230-projectcybersyn-1 |	Between episode where they take you inside the love Israel family called an episode about uncovering the secrets scrolled an annuity
EDL	00:00:49,152	00:00:50,432	| 99pi-0230-projectcybersyn-1 |	Who discovered stack of Love Letters
EDL	00:00:50,944	00:00:57,344	| 99pi-0230-projectcybersyn-1 |	Moon episode that brings you along to the hunt for a container of missing Chinese food that's haunted a family Ford
EDL	00:00:57,344	00:00:58,368	| 99pi-0230-projectcybersyn-1 |	25 years
EDL	00:00:58,368	00:00:58,880	| 99pi-0230-projectcybersyn-1 |	And more
EDL	00:00:59,392	00:01:03,232	| 99pi-0230-projectcybersyn-1 |	The proud family goes to wherever you get your podcast and find out why they say
EDL	00:01:03,744	00:01:04,768	| 99pi-0230-projectcybersyn-1 |	Every house is haunted
EDL	00:01:06,048	00:01:07,584	| 99pi-0230-projectcybersyn-1 |	This is 99% invisible
EDL	00:01:08,096	00:01:09,120	| 99pi-0230-projectcybersyn-1 |	I'm Roman Mars
EDL	00:01:11,424	00:01:16,032	| 99pi-0230-projectcybersyn-1 |	The date September 11th is of course very significant for people in the US
EDL	00:01:16,544	00:01:20,384	| 99pi-0230-projectcybersyn-1 |	The country of Chile also has an important September 11
EDL	00:01:20,384	00:01:20,896	| 99pi-0230-projectcybersyn-1 |	And their history
EDL	00:01:21,408	00:01:25,504	| 99pi-0230-projectcybersyn-1 |	On 9/11 1973 using both airstrikes
EDL	00:01:25,504	00:01:31,904	| 99pi-0230-projectcybersyn-1 |	I'm grounded a military Junta violently took control of Chile
EDL	00:01:31,904	00:01:35,744	| 99pi-0230-projectcybersyn-1 |	At the time I president Salvador Allende
EDL	00:01:35,744	00:01:36,768	| 99pi-0230-projectcybersyn-1 |	Producer Katie Mingle
EDL	00:01:37,536	00:01:42,144	| 99pi-0230-projectcybersyn-1 |	Zendaya become president of Chile in a free and democratic election
