EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0250-state-sanctuarypart2--1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 99pi-0250-state-sanctuarypart2--1 |	One of the country's leading providers of Auto insurer
EDL	00:00:06,656	00:00:08,960	| 99pi-0250-state-sanctuarypart2--1 |	With progressives name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 99pi-0250-state-sanctuarypart2--1 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0250-state-sanctuarypart2--1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0250-state-sanctuarypart2--1 |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 99pi-0250-state-sanctuarypart2--1 |	Price in coverage match limited by state law
EDL	00:00:24,832	00:00:25,600	| 99pi-0250-state-sanctuarypart2--1 |	Family ghosts
EDL	00:00:25,600	00:00:31,744	| 99pi-0250-state-sanctuarypart2--1 |	Is a podcast explores all the unexpected ways our family structure and shape our view of the world
EDL	00:00:31,744	00:00:33,536	| 99pi-0250-state-sanctuarypart2--1 |	Each episode of Family ghosts
EDL	00:00:33,536	00:00:37,376	| 99pi-0250-state-sanctuarypart2--1 |	Takes a look at the story behind a different person's family lore
EDL	00:00:37,376	00:00:39,936	| 99pi-0250-state-sanctuarypart2--1 |	Digging into unanswered questions about their history
EDL	00:00:40,448	00:00:42,752	| 99pi-0250-state-sanctuarypart2--1 |	Season 2 Launches on May 15th
EDL	00:00:42,752	00:00:49,152	| 99pi-0250-state-sanctuarypart2--1 |	Between episode where they take you inside the love Israel family called an episode about uncovering the secrets scrolled an annuity
EDL	00:00:49,152	00:00:50,688	| 99pi-0250-state-sanctuarypart2--1 |	Who discovered stack of Love Letters
EDL	00:00:50,688	00:00:57,088	| 99pi-0250-state-sanctuarypart2--1 |	Episode that brings you along to the hunt for a container of missing Chinese food that's haunted a family
EDL	00:00:57,088	00:00:58,368	| 99pi-0250-state-sanctuarypart2--1 |	For 25 years
EDL	00:00:58,368	00:00:58,880	| 99pi-0250-state-sanctuarypart2--1 |	And more
EDL	00:00:59,392	00:01:03,232	| 99pi-0250-state-sanctuarypart2--1 |	The proud family goes to wherever you get your podcast and find out why they say
EDL	00:01:03,744	00:01:04,768	| 99pi-0250-state-sanctuarypart2--1 |	Every house is haunted
EDL	00:01:05,792	00:01:07,328	| 99pi-0250-state-sanctuarypart2--1 |	This is 99% invisible
EDL	00:01:07,840	00:01:08,608	| 99pi-0250-state-sanctuarypart2--1 |	I'm Roman Mars
EDL	00:01:11,936	00:01:15,264	| 99pi-0250-state-sanctuarypart2--1 |	In the 1980's the United States experienced a refugee crisis
EDL	00:01:16,288	00:01:21,664	| 99pi-0250-state-sanctuarypart2--1 |	Thousands of central Americans were fleeing brutal civil wars in El Salvador and Guatemala
EDL	00:01:22,176	00:01:25,760	| 99pi-0250-state-sanctuarypart2--1 |	They were traveling north through Mexico and crossing the border into the US
EDL	00:01:26,272	00:01:30,880	| 99pi-0250-state-sanctuarypart2--1 |	We covered this history in the show last week if you haven't heard that episode yet go within now
EDL	00:01:30,880	00:01:31,648	| 99pi-0250-state-sanctuarypart2--1 |	This is part
EDL	00:01:31,648	00:01:32,416	| 99pi-0250-state-sanctuarypart2--1 |	2
EDL	00:01:32,416	00:01:33,952	| 99pi-0250-state-sanctuarypart2--1 |	In response to this Mass migration
EDL	00:01:34,464	00:01:38,304	| 99pi-0250-state-sanctuarypart2--1 |	A network of churches across the country declared themselves sanctuary
EDL	00:01:38,816	00:01:40,608	| 99pi-0250-state-sanctuarypart2--1 |	That's producer Delaney Hall
EDL	00:01:40,608	00:01:42,400	| 99pi-0250-state-sanctuarypart2--1 |	In defiance of federal policy
EDL	00:01:42,400	00:01:45,984	| 99pi-0250-state-sanctuarypart2--1 |	Some of these churches help smuggle Central Americans across the border
EDL	00:01:46,496	00:01:49,312	| 99pi-0250-state-sanctuarypart2--1 |	And offered shelter to people who were threatened with deportation
EDL	00:01:50,080	00:01:52,128	| 99pi-0250-state-sanctuarypart2--1 |	And most of the churches did this publicly
EDL	00:01:52,640	00:01:54,432	| 99pi-0250-state-sanctuarypart2--1 |	Without trying to hide what they were doing
EDL	00:01:55,200	00:01:59,040	| 99pi-0250-state-sanctuarypart2--1 |	By the mid-1980s the sanctuary movement had become very visible
EDL	00:01:59,552	00:02:01,088	| 99pi-0250-state-sanctuarypart2--1 |	And also very controversial
EDL	00:02:01,856	00:02:04,160	| 99pi-0250-state-sanctuarypart2--1 |	Here's a report that aired on NBC around that
EDL	00:02:04,928	00:02:08,512	| 99pi-0250-state-sanctuarypart2--1 |	Size of the congregation at St Mary's Church they are hero
