EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 99pi-0256-soundsnatural-1 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 99pi-0256-soundsnatural-1 |	One of the country's leading providers of Auto insurer
EDL	00:00:06,912	00:00:08,960	| 99pi-0256-soundsnatural-1 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:12,544	| 99pi-0256-soundsnatural-1 |	You can say what kind of coverage were looking for and how much you want to pay
EDL	00:00:12,544	00:00:14,336	| 99pi-0256-soundsnatural-1 |	Progressive will show you options.
EDL	00:00:14,336	00:00:15,616	| 99pi-0256-soundsnatural-1 |	Fit within your budget
EDL	00:00:15,616	00:00:18,944	| 99pi-0256-soundsnatural-1 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 99pi-0256-soundsnatural-1 |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 99pi-0256-soundsnatural-1 |	Price in coverage match limited by state law
EDL	00:00:24,576	00:00:26,368	| 99pi-0256-soundsnatural-1 |	When it comes to marketing your business
EDL	00:00:26,368	00:00:29,184	| 99pi-0256-soundsnatural-1 |	It's all about reaching the Right audience at the right time
EDL	00:00:29,184	00:00:32,256	| 99pi-0256-soundsnatural-1 |	Connecting with that audience when your message will resonate the most
EDL	00:00:32,768	00:00:33,792	| 99pi-0256-soundsnatural-1 |	LinkedIn can help
EDL	00:00:34,304	00:00:40,704	| 99pi-0256-soundsnatural-1 |	LinkedIn is the world's largest Professional Network in LinkedIn marketing Solutions allow you to Target your customers were there
EDL	00:00:40,704	00:00:44,032	| 99pi-0256-soundsnatural-1 |	Engaging every day when they're ready to make a decision
EDL	00:00:44,544	00:00:49,664	| 99pi-0256-soundsnatural-1 |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with your customers
EDL	00:00:49,664	00:00:53,760	| 99pi-0256-soundsnatural-1 |	Those relationships often turn into high quality leads website traffic
EDL	00:00:53,760	00:00:55,296	| 99pi-0256-soundsnatural-1 |	And higher brand awareness
EDL	00:00:55,296	00:00:59,904	| 99pi-0256-soundsnatural-1 |	Tools to help you target your customers with precision
EDL	00:00:59,904	00:01:01,440	| 99pi-0256-soundsnatural-1 |	Down to the job title
EDL	00:01:01,440	00:01:02,720	| 99pi-0256-soundsnatural-1 |	Company name and Industry
EDL	00:01:03,232	00:01:05,536	| 99pi-0256-soundsnatural-1 |	Because we can Target exactly who you want to reach
EDL	00:01:05,536	00:01:08,352	| 99pi-0256-soundsnatural-1 |	You can make sure your customers are getting a message that they care about
EDL	00:01:08,864	00:01:10,400	| 99pi-0256-soundsnatural-1 |	Which in turn builds Trust
EDL	00:01:10,912	00:01:17,056	| 99pi-0256-soundsnatural-1 |	To redeem a free $100 LinkedIn at credit and launch your first campaign go to linkedin.com
EDL	00:01:17,824	00:01:22,176	| 99pi-0256-soundsnatural-1 |	Linkedin.com invisible Pier free $100 at credit
EDL	00:01:22,688	00:01:23,968	| 99pi-0256-soundsnatural-1 |	Terms and conditions
EDL	00:01:23,968	00:01:24,480	| 99pi-0256-soundsnatural-1 |	Reply
EDL	00:01:24,992	00:01:27,040	| 99pi-0256-soundsnatural-1 |	This is 99% invisible
EDL	00:01:27,040	00:01:28,064	| 99pi-0256-soundsnatural-1 |	I'm Roman Mars
EDL	00:01:31,136	00:01:34,208	| 99pi-0256-soundsnatural-1 |	In 1999 a nature documentary about wolves
EDL	00:01:34,720	00:01:35,488	| 99pi-0256-soundsnatural-1 |	Call
EDL	00:01:35,488	00:01:36,256	| 99pi-0256-soundsnatural-1 |	Wolves
EDL	00:01:36,256	00:01:37,536	| 99pi-0256-soundsnatural-1 |	Came out in IMAX theater
EDL	00:01:38,304	00:01:40,864	| 99pi-0256-soundsnatural-1 |	Miss alpha female is searching for a damn sight
