EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,512	00:00:05,632	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Hi everyone we're excited to announce that ggv Capital recently launched a new podcast in Chinese
EDL	00:00:06,144	00:00:09,472	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Called startup Insider or trillion Nemo in Chinese
EDL	00:00:09,472	00:00:12,288	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Which is produced by my colleague Willie base in Beijing
EDL	00:00:12,800	00:00:14,080	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Just like 96
EDL	00:00:14,080	00:00:17,920	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Start Insider features interviews with top Founders in executives
EDL	00:00:17,920	00:00:18,944	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	I'm tired of Technology
EDL	00:00:19,456	00:00:22,016	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Imagine a 96 Park house but in Chinese
EDL	00:00:22,784	00:00:25,600	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	The first episode with with little to do with the acid
EDL	00:00:25,600	00:00:27,648	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	CPS xiaomi and head of the xiaomi cost
EDL	00:00:28,672	00:00:29,952	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	If you are Chinese
EDL	00:00:29,952	00:00:33,024	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Speaker I highly recommend checking out this show on Himalaya
EDL	00:00:33,536	00:00:36,352	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	You can find it by searching toy name or startup Insider
EDL	00:00:37,632	00:00:43,776	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Recent arrest Monroe County Probation
EDL	00:00:50,432	00:00:54,784	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Hi there
EDL	00:00:54,784	00:01:01,184	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Welcome to the nine at six podcast brought to you by ggv capital on the show we interview movers and shakers
EDL	00:01:01,184	00:01:05,280	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	China's tech industry as well as Tech leaders who have a US
EDL	00:01:05,280	00:01:10,912	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	China cross-border perspective and the managing partner at GTV capital
EDL	00:01:10,912	00:01:14,752	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	And I've been working at startup investing in them in both in US
EDL	00:01:14,752	00:01:17,056	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	A China for past 20 years
EDL	00:01:17,056	00:01:22,176	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	My name is Sarah Jeong an investment Analyst at ggv Capital and a former journalist
EDL	00:01:22,688	00:01:24,992	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Why is the show called 96
EDL	00:01:24,992	00:01:31,392	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	6 is the work schedule than any Chinese Founders have organically adopted that is 9 a.m.
EDL	00:01:31,392	00:01:33,184	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	KTM 6 days a week
EDL	00:01:33,184	00:01:33,952	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	To us
EDL	00:01:33,952	00:01:40,352	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	996 captures intensity Drive in speed of Chinese internet companies many which
EDL	00:01:40,352	00:01:43,680	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Are moving faster they even their American counterparts
EDL	00:01:45,472	00:01:50,848	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Hi everyone on this episode we're going to continue our new series where Hans and I will talk about
EDL	00:01:50,848	00:01:52,384	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	A topic of Interest currently
EDL	00:01:52,896	00:01:54,944	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	So today we wanted to cover
EDL	00:01:54,944	00:01:57,504	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	A phenomenon cultural High which literally means
EDL	00:01:58,016	00:01:59,040	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Going overseas
EDL	00:01:59,552	00:02:03,648	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Ides phenomena of Chinese on printers targeting emerging markets around the world
EDL	00:02:04,416	00:02:07,488	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Soe hunts and I and I didn't igbt
EDL	00:02:07,488	00:02:09,536	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	A team has a paying attention to this
EDL	00:02:09,536	00:02:10,304	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Trend
EDL	00:02:10,304	00:02:11,840	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	For a long time now
EDL	00:02:11,840	00:02:13,376	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	I recently relocated
EDL	00:02:13,376	00:02:17,728	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	To the Beijing investment team and I've seen it with my own eyes how
EDL	00:02:17,728	00:02:22,848	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	So many of the Stardust we're seeing these days are in this category we're Chinese entrepreneurs
EDL	00:02:22,848	00:02:24,384	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Are going outside of China
EDL	00:02:24,384	00:02:25,408	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Target
EDL	00:02:25,408	00:02:29,504	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Consumers and users in Emerging Markets like southeast Asia India
EDL	00:02:29,504	00:02:31,040	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Russian America in even app
EDL	00:02:31,808	00:02:35,136	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	And if you look heavy App Store ranking is Humana Emerging Markets
EDL	00:02:35,648	00:02:36,928	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Many of the top ranking
EDL	00:02:36,928	00:02:39,488	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	E-commerce and social apps are actually developed by Chinese
EDL	00:02:40,512	00:02:42,304	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	So Hans when did you start
EDL	00:02:42,304	00:02:42,816	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	To realize
EDL	00:02:43,328	00:02:45,632	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	That's what high or Chinese companies
EDL	00:02:45,632	00:02:47,424	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Going overseas could be a big arch
EDL	00:02:48,192	00:02:51,776	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	I'm probably the first DC in the world that coined the phrase
EDL	00:02:51,776	00:02:52,544	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Is too high
EDL	00:02:52,544	00:02:53,312	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	That was back in
EDL	00:02:53,312	00:02:53,824	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	2013
EDL	00:02:54,336	00:02:56,128	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	I think I saw a few things
EDL	00:02:56,640	00:02:57,152	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	That happened
EDL	00:02:57,664	00:02:58,688	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	It 2012
EDL	00:02:58,688	00:03:00,224	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	That made me decide that
EDL	00:03:00,736	00:03:01,760	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	This area
EDL	00:03:01,760	00:03:02,784	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Chinese company
EDL	00:03:02,784	00:03:03,808	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Expanding overseas
EDL	00:03:03,808	00:03:04,576	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	WSU jobs
EDL	00:03:04,576	00:03:05,088	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Opportunity for next
EDL	00:03:06,624	00:03:07,648	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Three things happen
EDL	00:03:07,648	00:03:09,696	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	That get me to send 3 data point
EDL	00:03:09,696	00:03:10,720	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Give me the sunset
EDL	00:03:10,720	00:03:11,488	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	This could be a
EDL	00:03:11,488	00:03:12,000	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Emergency
EDL	00:03:12,768	00:03:14,816	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	One WeChat came out in 2011
EDL	00:03:15,328	00:03:16,352	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	The product is so wealthy
EDL	00:03:17,376	00:03:18,656	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	You feel that
EDL	00:03:19,168	00:03:20,960	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Product. At least canx
EDL	00:03:20,960	00:03:21,728	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Respond to rest
EDL	00:03:21,728	00:03:22,496	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Malaysia
EDL	00:03:22,496	00:03:23,264	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Awesome China
EDL	00:03:23,776	00:03:25,056	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	And over the next
EDL	00:03:25,056	00:03:25,568	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	18 months
EDL	00:03:26,080	00:03:26,592	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	You start to hop
EDL	00:03:27,360	00:03:27,872	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Which I was willing
EDL	00:03:28,384	00:03:28,896	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Make a push
EDL	00:03:29,408	00:03:31,712	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Into Taiwan and Southeast Asia
EDL	00:03:31,712	00:03:32,480	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	In India what
EDL	00:03:33,248	00:03:34,784	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Your today is doing well in some of these
EDL	00:03:35,552	00:03:36,064	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Including India
EDL	00:03:37,344	00:03:38,112	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	70 and a half
EDL	00:03:38,624	00:03:39,648	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	That caught my attention
EDL	00:03:39,648	00:03:40,416	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	Was a xiaomi
EDL	00:03:40,928	00:03:43,232	| Chuhai_Why_Chinese_Entrepreneurs_are_Targeting_Emerging_Markets_Across_the_World |	I was part of the xiaomi team that try to
