EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:19,456	00:00:21,504	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	Welcome to the nine at six podcast
EDL	00:00:21,504	00:00:23,040	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	Brought to you by GDP capita
EDL	00:00:23,552	00:00:24,576	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	Echo produced
EDL	00:00:24,576	00:00:25,344	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	What is citic
EDL	00:00:26,112	00:00:28,672	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	On the show we interview movers and shakers
EDL	00:00:28,672	00:00:29,696	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	China's tech industry
EDL	00:00:30,464	00:00:31,488	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	As was Tech leaders
EDL	00:00:31,488	00:00:32,512	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	Weather us
EDL	00:00:32,512	00:00:33,280	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	China
EDL	00:00:33,280	00:00:34,304	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	Cross-border perspective
EDL	00:00:34,816	00:00:37,632	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	My name is sun stone, managing partner at GTB
EDL	00:00:37,632	00:00:39,936	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	Capital it has been working at startup
EDL	00:00:39,936	00:00:41,216	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	Investing in them
EDL	00:00:41,216	00:00:42,752	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	In both in us and China
EDL	00:00:42,752	00:00:43,520	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	Forecast 20
EDL	00:00:44,288	00:00:45,824	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	My name is Sarah Jeong
EDL	00:00:45,824	00:00:48,384	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	I meant investment analyst igb capital
EDL	00:00:48,384	00:00:49,408	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	Jennifer Moore journalist
EDL	00:00:50,176	00:00:52,224	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	Why is the show called 96
EDL	00:00:52,224	00:00:56,832	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	96 is the work schedule that many Chinese Founders have organically adopted
EDL	00:00:56,832	00:00:57,600	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	That is
EDL	00:00:57,600	00:00:59,136	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	9 a.m. to 9 p.m.
EDL	00:00:59,136	00:00:59,904	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	6 days a week
EDL	00:01:00,672	00:01:01,440	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	To us
EDL	00:01:01,440	00:01:02,208	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	996
EDL	00:01:02,208	00:01:03,488	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	Captures intensity
EDL	00:01:03,488	00:01:04,000	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	Drive
EDL	00:01:04,512	00:01:05,280	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	10 speed
EDL	00:01:05,280	00:01:06,304	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	Of Chinese internet
EDL	00:01:06,816	00:01:07,840	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	Many of which
EDL	00:01:07,840	00:01:08,608	| Kai-Fu_Lee_s_Journey_From_Google_China_to_Sinovation_Ventures |	I'm moving faster
