EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:03,584	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Hey 986 listeners this is Zara from ggv capital
EDL	00:00:04,096	00:00:06,144	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	I have a special announcement this week
EDL	00:00:06,144	00:00:09,984	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Hans and I will be doing a live show in San Francisco on March 21st
EDL	00:00:10,496	00:00:15,616	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	We'll be interviewing Airbnb co-founder Chief strategy officer and chairman of China
EDL	00:00:15,616	00:00:16,640	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Natal chart
EDL	00:00:16,640	00:00:18,944	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Airbnb's headquarters in San Francisco
EDL	00:00:19,456	00:00:23,040	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Will be discussing how Airbnb has expanded into China
EDL	00:00:23,040	00:00:25,088	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	One of its most important International Market
EDL	00:00:25,600	00:00:28,160	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	And the company's China strategy going forward
EDL	00:00:28,672	00:00:33,792	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	The show will be at 7 p.m. on Wednesday March 21st at airbnb's headquarters
EDL	00:00:33,792	00:00:36,352	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	8999 Brannan Street San Francisco
EDL	00:00:37,120	00:00:38,656	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	If you're in the Bay Area
EDL	00:00:38,656	00:00:39,680	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	We love to see you there
EDL	00:00:40,192	00:00:43,264	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Tickets are required for attending and they're selling fast
EDL	00:00:43,264	00:00:47,360	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Grab yours today at 96.2 gbc.com
EDL	00:00:47,360	00:00:48,384	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Slash live
EDL	00:00:48,384	00:00:49,408	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Again that
EDL	00:00:49,408	00:00:52,992	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	996. Ggvc cam live
EDL	00:01:06,304	00:01:12,448	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Hi there
EDL	00:01:12,960	00:01:15,008	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Welcome to the nine at six podcast
EDL	00:01:15,008	00:01:17,056	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Brought to you by ggv capital
EDL	00:01:17,056	00:01:18,848	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Echo produced by the Seneca podcast
EDL	00:01:19,616	00:01:22,176	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	On the show interview movers and shakers
EDL	00:01:22,176	00:01:23,712	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	China's tech industry
EDL	00:01:23,712	00:01:24,992	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	That's was Tech leaders
EDL	00:01:24,992	00:01:26,016	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Weather us
EDL	00:01:26,016	00:01:26,784	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	China
EDL	00:01:26,784	00:01:27,808	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Cross-border perspective
EDL	00:01:28,320	00:01:31,648	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	My name is sandstone, managing partner at GTV capital
EDL	00:01:31,648	00:01:36,256	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	And I've been working at startup investment in them in both in us and China
EDL	00:01:36,256	00:01:37,280	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Quarter past 20 years
EDL	00:01:37,792	00:01:39,328	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	My name is Sarah Jeong
EDL	00:01:39,328	00:01:41,888	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	I need investment analyst igb capital
EDL	00:01:41,888	00:01:42,912	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Jennifer Moore journalist
EDL	00:01:43,680	00:01:45,728	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Why is the show called 96
EDL	00:01:45,728	00:01:50,336	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	96 is the work schedule than any Chinese Founders have organically adopted
EDL	00:01:50,336	00:01:53,408	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	That is 9 a.m. to 9 p.m. 6 days a week
EDL	00:01:53,920	00:01:54,432	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	To us
EDL	00:01:54,944	00:01:56,992	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	996 captures intensity
EDL	00:01:56,992	00:01:57,760	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Drive
EDL	00:01:57,760	00:01:58,784	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	In speed
EDL	00:01:58,784	00:02:00,320	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Of Chinese internet companies
EDL	00:02:00,320	00:02:01,344	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Many of which
EDL	00:02:01,344	00:02:02,112	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	I'm moving faster
EDL	00:02:02,624	00:02:03,904	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	But even the American consul
EDL	00:02:06,976	00:02:10,560	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	On today's show we have the co-founder of shell home shoe
EDL	00:02:10,560	00:02:11,328	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Orenda Chu
EDL	00:02:12,096	00:02:15,680	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	So sure which literally means Little Red Book in Chinese
EDL	00:02:15,680	00:02:20,288	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Is the world's largest lifestyle platform that integrates community and content with e-commerce
EDL	00:02:21,056	00:02:25,152	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Over 75 million users use the app to follow influencers
EDL	00:02:25,152	00:02:26,176	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Create and consume in
EDL	00:02:26,688	00:02:27,456	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	Accountant
EDL	00:02:27,456	00:02:31,296	| Miranda_Qu_of_Xiaohongshu_on_Powering_Ecommerce_With_Community |	And buy everything from Fashion to Cosmetics to Lifestyle products
