EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,280	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	Hey everyone
EDL	00:00:01,280	00:00:03,328	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	For those of you who are in Silicon Valley
EDL	00:00:03,328	00:00:08,192	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	You're invited to join our next 96 Community meet up on September 27th
EDL	00:00:08,192	00:00:09,472	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	Which is a Thursday
EDL	00:00:09,472	00:00:11,776	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	At 7 to 9 p.m. on Stanford campus
EDL	00:00:12,288	00:00:18,688	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	You will be able to meet handsome me in person and also mingle with other like-minded people who care about tech and China
EDL	00:00:18,688	00:00:21,504	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	We have held these meetups in for City so far
EDL	00:00:21,504	00:00:25,088	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	And always impressed by how global-minded and talented or audiences
EDL	00:00:25,600	00:00:30,720	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	Repeat the event will be on September 27th at 7 to 9 p.m. at Stanford
EDL	00:00:30,720	00:00:36,096	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	And the specific location will be included in a confirmation email that you receive upon registration
EDL	00:00:36,608	00:00:42,496	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	You can register for the events at night 6. Gigi vici.com Stanford
EDL	00:00:42,496	00:00:47,872	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	Once again that's 96. GG vici.com Stanford
EDL	00:00:47,872	00:00:54,272	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	And as a reminder that 96 Community is open to all and you can join the committee via WeChat or Slack
EDL	00:00:54,272	00:00:58,624	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	At 96. GG vici.com community
EDL	00:00:59,648	00:01:06,048	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	Recent arrest Monroe County
EDL	00:01:06,048	00:01:12,448	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	Airport
EDL	00:01:12,448	00:01:16,800	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	Hi dear
EDL	00:01:16,800	00:01:20,896	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	Welcome to the nine at six podcast brought to you by ggv capital
EDL	00:01:20,896	00:01:23,456	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	On the show interview movers and shakers
EDL	00:01:23,456	00:01:28,064	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	China's tech industry as well as Tech leaders who have a us China
EDL	00:01:28,064	00:01:34,464	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	Cross-border perspective on Stone and the managing partner at ggv Capital it had been working at startup
EDL	00:01:34,464	00:01:39,072	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	Investing in them in both the US and China for the past 20 years
EDL	00:01:39,072	00:01:44,704	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	My name is Zara Jones I'm an investment analyst ggv capital and a former journalist
EDL	00:01:44,704	00:01:51,104	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	Why is the show called 96 schedule that many Chinese Founders have organically it
EDL	00:01:51,104	00:01:52,384	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	Adopted that is
EDL	00:01:52,384	00:01:55,200	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	9 a.m. to 9 p.m. 6 days a week
EDL	00:01:55,200	00:01:55,968	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	To us
EDL	00:01:55,968	00:01:59,040	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	996 captures intensity Drive
EDL	00:01:59,040	00:02:00,064	| Toby_Sun_of_Lime_on_Scooters_and_the_Future_of_Transportation |	In speed
