EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:06,656	| Wang_Yu_of_Tantan_on_Scaling_Chinas_Top_Dating_App |	Hi everyone will be doing a special Ama or ask me anything episode where are managing partner Hons telling Michael
EDL	00:00:06,656	00:00:07,936	| Wang_Yu_of_Tantan_on_Scaling_Chinas_Top_Dating_App |	Co host on 96
EDL	00:00:07,936	00:00:11,520	| Wang_Yu_of_Tantan_on_Scaling_Chinas_Top_Dating_App |	What answer any questions from you I want a future episode of the show
EDL	00:00:11,520	00:00:17,920	| Wang_Yu_of_Tantan_on_Scaling_Chinas_Top_Dating_App |	You can submit questions to him beforehand by filling out the form at 9:06. Ggvc. Com
EDL	00:00:17,920	00:00:18,944	| Wang_Yu_of_Tantan_on_Scaling_Chinas_Top_Dating_App |	Slash Ama
EDL	00:00:19,456	00:00:25,856	| Wang_Yu_of_Tantan_on_Scaling_Chinas_Top_Dating_App |	You can ask about anything such as investing philosophy China's internet ecosystem career choices tips for
EDL	00:00:25,856	00:00:29,952	| Wang_Yu_of_Tantan_on_Scaling_Chinas_Top_Dating_App |	Founders questions about specific companies with invested in and so on
EDL	00:00:29,952	00:00:36,352	| Wang_Yu_of_Tantan_on_Scaling_Chinas_Top_Dating_App |	Once again you can submit your question at 96.2 gvtc.com Ama
EDL	00:00:36,352	00:00:38,144	| Wang_Yu_of_Tantan_on_Scaling_Chinas_Top_Dating_App |	The link is also in the show notes
EDL	00:00:38,144	00:00:44,288	| Wang_Yu_of_Tantan_on_Scaling_Chinas_Top_Dating_App |	Recent arrest Monroe County Probation
EDL	00:00:50,944	00:00:55,040	| Wang_Yu_of_Tantan_on_Scaling_Chinas_Top_Dating_App |	Hi there
EDL	00:00:55,040	00:00:56,576	| Wang_Yu_of_Tantan_on_Scaling_Chinas_Top_Dating_App |	Welcome to the 96 podcast
EDL	00:00:57,088	00:00:58,624	| Wang_Yu_of_Tantan_on_Scaling_Chinas_Top_Dating_App |	Brought to you by GE Capital
