EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:11,520	00:00:17,920	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Sound the alarm at 6 in the evening
EDL	00:00:17,920	00:00:19,200	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Hi there
EDL	00:00:19,200	00:00:21,504	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Welcome to the 96 podcast
EDL	00:00:21,504	00:00:25,344	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Brought to you by ggv capital and co-produced by the Seneca podcast
EDL	00:00:26,112	00:00:28,672	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	On the show interview movers and shakers
EDL	00:00:28,672	00:00:30,208	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	China's tech industry
EDL	00:00:30,208	00:00:31,488	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	As was Tech leaders
EDL	00:00:31,488	00:00:32,512	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Weather us
EDL	00:00:32,512	00:00:33,280	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	China
EDL	00:00:33,280	00:00:34,304	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Cross-border perspective
EDL	00:00:34,816	00:00:38,144	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	My name is Khan song I'm a managing partner at ggv Capital
EDL	00:00:38,144	00:00:43,776	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	And I've been working at startup investment in them in both in us and China for the past 20 years
EDL	00:00:44,288	00:00:45,824	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	My name is Sarah Jeong
EDL	00:00:45,824	00:00:48,384	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	I meant investment analyst igb capital
EDL	00:00:48,384	00:00:49,408	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Jennifer Moore journalist
EDL	00:00:50,176	00:00:52,224	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Why is the show called 96
EDL	00:00:52,224	00:00:56,832	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	96 is the work schedule that many Chinese Founders have organically adopted
EDL	00:00:56,832	00:00:59,904	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	That is 9 a.m. to 9 p.m. 6 days a week
EDL	00:01:00,416	00:01:01,184	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	To us
EDL	00:01:01,184	00:01:03,488	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	996 captures intensity
EDL	00:01:03,488	00:01:04,256	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Drive
EDL	00:01:04,256	00:01:05,280	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	In speed
EDL	00:01:05,280	00:01:06,816	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Of Chinese internet companies
EDL	00:01:06,816	00:01:08,608	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Many of which are moving faster
EDL	00:01:09,120	00:01:10,400	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	But even the American counterpart
EDL	00:01:12,960	00:01:14,496	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Where does Tina come from
EDL	00:01:15,520	00:01:16,800	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	His name is Dan
EDL	00:01:17,312	00:01:18,848	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Her name is Tina
EDL	00:01:19,360	00:01:20,640	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	She comes from China
EDL	00:01:21,408	00:01:24,480	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Hi everyone this is Zara from gdb Castle
EDL	00:01:24,480	00:01:30,880	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	What you just heard is an app called also known as lingojam that's changing how millions of
EDL	00:01:30,880	00:01:32,672	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Chinese people learn English today
EDL	00:01:32,672	00:01:36,000	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Using speech recognition and artificial intelligence technology
EDL	00:01:36,512	00:01:39,328	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	I first heard of a Daily Show from my mom actually
EDL	00:01:39,328	00:01:43,168	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Like many Chinese people she learn English in school when she was young
EDL	00:01:43,168	00:01:47,264	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	But when she was preparing for her first trip to the US to attend my graduation
EDL	00:01:47,264	00:01:50,848	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	She still panicked about her ability to communicate with actual Americans
EDL	00:01:52,128	00:01:55,712	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	So she told me she now uses an app called Duty short everyday
EDL	00:01:55,712	00:01:59,808	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Where she speaks English sentences into her phone and is scored on her pronunciation
EDL	00:02:00,320	00:02:02,624	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	The app works like a game where you must
EDL	00:02:02,624	00:02:06,464	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Pass a certain score before proceeding to the next level just like Angry Birds
EDL	00:02:07,232	00:02:12,608	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Glitter addicted to the app now and sometimes even with my help was just stuck at a certain level
EDL	00:02:12,608	00:02:18,752	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	And her spoken English actually improved a lot and she was able to make some conversations with Americans when she came to visit
EDL	00:02:20,288	00:02:24,128	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Is LG TV is actually one of the earliest investors in goalie schwa
EDL	00:02:24,640	00:02:29,760	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Hudson are super excited to be interviewing founder and CEO of Lily Shaw
EDL	00:02:29,760	00:02:36,160	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Here in Beijing hgtv's evolving lifestyle events a huge conference that gather as many of Chinese chop Hunter
EDL	00:02:36,160	00:02:38,464	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Printers in a Buster's where he was a speaker
EDL	00:02:38,976	00:02:42,560	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	You might hear cars honking as we're close to the street and this is Beijing
EDL	00:02:43,584	00:02:46,144	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	We're super excited to have you join us today
EDL	00:02:46,144	00:02:49,216	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Well thank you so much for having me in Santa Clara
EDL	00:02:49,728	00:02:52,288	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	So let's start with your products
EDL	00:02:52,288	00:02:57,152	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	If I'm someone who's trying to learn English as a Chinese person how would you describe Julie Shaw in
EDL	00:02:57,664	00:02:58,432	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Three sentences
EDL	00:02:58,944	00:02:59,968	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	It's a
EDL	00:02:59,968	00:03:03,552	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	It's an AI English teacher on a mobile phone that can't have
EDL	00:03:03,552	00:03:04,064	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	You
EDL	00:03:04,832	00:03:08,416	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Learn English more effectively than the conventional methods
EDL	00:03:09,440	00:03:12,256	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	How many users do you have
EDL	00:03:12,256	00:03:17,376	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	So far we've got over 50 million registered users across the
EDL	00:03:17,376	00:03:19,680	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Quote mostly in China with also
EDL	00:03:20,192	00:03:21,728	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	Over under 75
EDL	00:03:22,496	00:03:24,032	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	About 50 million
EDL	00:03:24,032	00:03:30,432	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	A lot of them are paying right as of this July we've got over
EDL	00:03:30,432	00:03:31,712	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	600000
EDL	00:03:31,712	00:03:32,224	| Yi_Wang_of_Liulishuo_on_Teaching_English_with_AI |	A paying customer
