EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:20,224	00:00:21,248	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Virus
EDL	00:00:21,760	00:00:22,784	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Eagle One
EDL	00:00:22,784	00:00:29,184	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Package being delivered imagine
EDL	00:00:29,184	00:00:30,464	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Update your computer
EDL	00:00:33,280	00:00:33,792	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Channel
EDL	00:00:34,304	00:00:38,400	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Well that's exactly what happened last year just thousands of people
EDL	00:00:38,912	00:00:43,264	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Cybersecurity pros of The Perils of so-called supply chain attacks
EDL	00:00:44,032	00:00:48,384	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Any types of attacks hackers compromise a computer's Hardware at the fact
EDL	00:00:49,152	00:00:51,968	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	War poison a software update from a manufacturer
EDL	00:00:51,968	00:00:54,272	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Tricking victims into installing malware
EDL	00:00:55,040	00:01:00,160	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Last week motherboard contributor Kim zetter revealed one of the largest and scariest
EDL	00:01:00,160	00:01:01,952	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Supply chain hacks in recent memory
EDL	00:01:02,720	00:01:04,256	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Hackers broke into the servers
EDL	00:01:04,256	00:01:05,792	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Taiwanese computer maker
EDL	00:01:05,792	00:01:06,304	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Asus
EDL	00:01:07,072	00:01:08,864	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Didn't push an update
EDL	00:01:08,864	00:01:10,144	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Thousand people
EDL	00:01:10,656	00:01:12,704	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Kaspersky lab researchers
EDL	00:01:12,704	00:01:16,032	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Attack around half-a-million Windows computers
EDL	00:01:16,032	00:01:17,056	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Received the update
EDL	00:01:17,568	00:01:19,104	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	The hackers only targeted
EDL	00:01:19,104	00:01:20,640	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	About 600 so sister
EDL	00:01:21,408	00:01:23,968	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	It's not the first and won't be the last pack of this
EDL	00:01:23,968	00:01:24,736	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Time
EDL	00:01:24,736	00:01:26,016	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Can I ask you today
EDL	00:01:26,016	00:01:28,576	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	With us to talk about this Brazen supply chain attack
EDL	00:01:29,088	00:01:30,112	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Attack
EDL	00:01:30,624	00:01:31,392	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Have a ball
EDL	00:01:31,392	00:01:32,416	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	In the last few years
EDL	00:01:33,184	00:01:38,048	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	I've been McCoo and this is cyber
EDL	00:01:39,840	00:01:41,376	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Very important question
EDL	00:01:41,376	00:01:42,400	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Aces to Aces
EDL	00:01:43,936	00:01:44,448	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	I don't know
EDL	00:01:47,776	00:01:49,056	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Beautiful scenery will go with a C
EDL	00:01:52,384	00:01:54,176	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	Let's talk about this cuz it's you know
EDL	00:01:54,176	00:01:55,200	| 119262a1-a9df-4941-aaab-c86148e52fe8_8066f1008039425e1f308639a71c3254 |	A supply chain attack
