EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:20,224	00:00:20,992	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	Decoding a virus
EDL	00:00:21,760	00:00:22,784	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	Eagle One
EDL	00:00:22,784	00:00:23,808	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	Packaged beans
EDL	00:00:23,808	00:00:29,440	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	Did you know you can make money watching Netflix trailers on your phone
EDL	00:00:29,440	00:00:34,816	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	Did you know that people have Earth thousands of dollars a month programming hundreds of phones
EDL	00:00:34,816	00:00:36,608	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	To watch Netflix trailers
EDL	00:00:36,608	00:00:39,168	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	Video game trailers celebrity gossip shows
EDL	00:00:39,168	00:00:40,448	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	And sports
EDL	00:00:40,448	00:00:41,472	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	No one
EDL	00:00:41,472	00:00:42,496	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	Is really watching
EDL	00:00:42,496	00:00:45,312	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	Well in 2019
EDL	00:00:45,312	00:00:46,336	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	This was called
EDL	00:00:46,336	00:00:47,616	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	Phone farming
EDL	00:00:47,616	00:00:52,736	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	Just imagine rows and rows of phone scrolling through social media apps
EDL	00:00:52,736	00:00:55,808	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	Simulate the engagement of a real human
EDL	00:00:55,808	00:00:59,648	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	All the while making money for their human overlords
EDL	00:00:59,648	00:01:04,512	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	Motherboard Joseph Cox dope into this world by making his own mini phone Farm
EDL	00:01:04,512	00:01:05,536	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	He's going to tell us
EDL	00:01:05,536	00:01:06,816	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	Inside Story
EDL	00:01:06,816	00:01:09,376	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	Thomas bizarre phenomenon actually works
EDL	00:01:09,376	00:01:11,168	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	I've been a coup
EDL	00:01:11,168	00:01:12,448	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	This is cyber
EDL	00:01:14,496	00:01:15,264	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	So Joseph
EDL	00:01:15,776	00:01:17,824	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	Let's talk about this because I
EDL	00:01:17,824	00:01:19,616	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	It's kind of sounds absurd to me
EDL	00:01:20,384	00:01:22,432	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	People are using multiple phones
EDL	00:01:23,200	00:01:24,480	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	Creating phone Farms
EDL	00:01:24,480	00:01:26,272	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	To get paid to watch Netflix
EDL	00:01:26,272	00:01:26,784	| 3077542a-caaa-4d74-89ae-cd9ec6f9d263_7e4e28e58d991c7827d9c5bcc3d43fb5 |	Look Trailers
