EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:20,224	00:00:20,992	| 47a5bb6a-a4b7-46d8-8994-122d7c49f2b2_cc62943ef39c8c5da5c9b3a880966f3d |	Virus
EDL	00:00:21,760	00:00:22,784	| 47a5bb6a-a4b7-46d8-8994-122d7c49f2b2_cc62943ef39c8c5da5c9b3a880966f3d |	Eagle One
EDL	00:00:22,784	00:00:23,808	| 47a5bb6a-a4b7-46d8-8994-122d7c49f2b2_cc62943ef39c8c5da5c9b3a880966f3d |	Package deal
EDL	00:00:23,808	00:00:29,184	| 47a5bb6a-a4b7-46d8-8994-122d7c49f2b2_cc62943ef39c8c5da5c9b3a880966f3d |	Used to be the Presidents had to be like war heroes or at least serve
EDL	00:00:29,696	00:00:34,304	| 47a5bb6a-a4b7-46d8-8994-122d7c49f2b2_cc62943ef39c8c5da5c9b3a880966f3d |	Gone to an Ivy League school and been in some weird sanctimonious Noble family of New England
EDL	00:00:35,072	00:00:36,608	| 47a5bb6a-a4b7-46d8-8994-122d7c49f2b2_cc62943ef39c8c5da5c9b3a880966f3d |	Open 2020
EDL	00:00:36,608	00:00:38,912	| 47a5bb6a-a4b7-46d8-8994-122d7c49f2b2_cc62943ef39c8c5da5c9b3a880966f3d |	We could be facing a much different type of pedigree
EDL	00:00:39,680	00:00:40,704	| 47a5bb6a-a4b7-46d8-8994-122d7c49f2b2_cc62943ef39c8c5da5c9b3a880966f3d |	Hacker in Chief
EDL	00:00:41,728	00:00:44,032	| 47a5bb6a-a4b7-46d8-8994-122d7c49f2b2_cc62943ef39c8c5da5c9b3a880966f3d |	Former Texas Congressman Beto O'Rourke
EDL	00:00:44,032	00:00:45,568	| 47a5bb6a-a4b7-46d8-8994-122d7c49f2b2_cc62943ef39c8c5da5c9b3a880966f3d |	The latest candidate
EDL	00:00:45,568	00:00:47,360	| 47a5bb6a-a4b7-46d8-8994-122d7c49f2b2_cc62943ef39c8c5da5c9b3a880966f3d |	Enter the race for president
EDL	00:00:47,360	00:00:48,384	| 47a5bb6a-a4b7-46d8-8994-122d7c49f2b2_cc62943ef39c8c5da5c9b3a880966f3d |	Of the United States
EDL	00:00:49,152	00:00:51,200	| 47a5bb6a-a4b7-46d8-8994-122d7c49f2b2_cc62943ef39c8c5da5c9b3a880966f3d |	He's already one of the top contenders
EDL	00:00:51,712	00:00:52,992	| 47a5bb6a-a4b7-46d8-8994-122d7c49f2b2_cc62943ef39c8c5da5c9b3a880966f3d |	The Democratic ticket
EDL	00:00:52,992	00:00:55,296	| 47a5bb6a-a4b7-46d8-8994-122d7c49f2b2_cc62943ef39c8c5da5c9b3a880966f3d |	It will face off against Donald Trump
EDL	00:00:56,064	00:00:59,392	| 47a5bb6a-a4b7-46d8-8994-122d7c49f2b2_cc62943ef39c8c5da5c9b3a880966f3d |	He also happens to be a member of one of the most OG
EDL	00:00:59,392	00:01:01,184	| 47a5bb6a-a4b7-46d8-8994-122d7c49f2b2_cc62943ef39c8c5da5c9b3a880966f3d |	And most radical hacking groups
