EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:04,096	| a09315c1-f01a-4e45-86a8-9d447f70347c_2974d214730827e837560f15069a6fda |	This episode of cyber is brought to you by ADT Home Security
EDL	00:00:04,096	00:00:09,472	| a09315c1-f01a-4e45-86a8-9d447f70347c_2974d214730827e837560f15069a6fda |	Service motherboard editor-in-chief Jason Caballero ATT wants to help you design your next Smart Home
EDL	00:00:09,472	00:00:15,360	| a09315c1-f01a-4e45-86a8-9d447f70347c_2974d214730827e837560f15069a6fda |	They'll help you install everything from video doorbell to indoor and outdoor cameras smart locks and lights
EDL	00:00:15,360	00:00:17,408	| a09315c1-f01a-4e45-86a8-9d447f70347c_2974d214730827e837560f15069a6fda |	And it's all controlled from the 80s
EDL	00:00:17,408	00:00:18,944	| a09315c1-f01a-4e45-86a8-9d447f70347c_2974d214730827e837560f15069a6fda |	The app or the sound of your voice
EDL	00:00:18,944	00:00:25,344	| a09315c1-f01a-4e45-86a8-9d447f70347c_2974d214730827e837560f15069a6fda |	They've also got like eighteen thousand employees safeguarding these homes with connection to First Responders at all times
EDL	00:00:25,344	00:00:30,720	| a09315c1-f01a-4e45-86a8-9d447f70347c_2974d214730827e837560f15069a6fda |	And you're going to get the latest Innovation and smart home security from ATT combined with 24/7 monitoring
EDL	00:00:31,744	00:00:33,280	| a09315c1-f01a-4e45-86a8-9d447f70347c_2974d214730827e837560f15069a6fda |	Trusted name in Home Security
EDL	00:00:33,280	00:00:36,864	| a09315c1-f01a-4e45-86a8-9d447f70347c_2974d214730827e837560f15069a6fda |	Yeah it sounds like the smart home gadgets and cameras that were designed with
EDL	00:00:36,864	00:00:40,960	| a09315c1-f01a-4e45-86a8-9d447f70347c_2974d214730827e837560f15069a6fda |	Security in mind which is much different from hey I'm going to go by
EDL	00:00:40,960	00:00:43,264	| a09315c1-f01a-4e45-86a8-9d447f70347c_2974d214730827e837560f15069a6fda |	Doorbell camera from eBay and put it
EDL	00:00:43,264	00:00:45,824	| a09315c1-f01a-4e45-86a8-9d447f70347c_2974d214730827e837560f15069a6fda |	On my front door and help that no one hacks it
EDL	00:00:45,824	00:00:49,920	| a09315c1-f01a-4e45-86a8-9d447f70347c_2974d214730827e837560f15069a6fda |	It also sounds like that really creepy hack that happened in mr. robot
EDL	00:00:50,688	00:00:55,552	| a09315c1-f01a-4e45-86a8-9d447f70347c_2974d214730827e837560f15069a6fda |	Where Lego house is like taking over see that wouldn't happen if you have ADT Home Security
