EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:02,560	| dchha59_BLITZ_The_Destroyer_of_Worlds |	Been a long time since we've done a blitz Edition
EDL	00:00:02,560	00:00:04,352	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 1.8 secs ]
EDL	00:00:04,352	00:00:10,752	| dchha59_BLITZ_The_Destroyer_of_Worlds |	And as a friend pointed out to me when I explain that this latest program of ours is going to be a 6 hour long show
EDL	00:00:10,752	00:00:13,056	| dchha59_BLITZ_The_Destroyer_of_Worlds |	That we were going to classify as a blitz Edition
EDL	00:00:13,056	00:00:13,568	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 0.5 secs ]
EDL	00:00:13,568	00:00:16,640	| dchha59_BLITZ_The_Destroyer_of_Worlds |	Is it don't take this the wrong way but I'm not sure you know the meaning of the word
EDL	00:00:16,640	00:00:18,432	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 1.8 secs ]
EDL	00:00:18,432	00:00:19,968	| dchha59_BLITZ_The_Destroyer_of_Worlds |	And I laughed because he's right
EDL	00:00:19,968	00:00:20,480	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 0.5 secs ]
EDL	00:00:20,480	00:00:25,856	| dchha59_BLITZ_The_Destroyer_of_Worlds |	These started off this idea of a blitz show was going to be something to help us get more shows out
EDL	00:00:25,856	00:00:30,208	| dchha59_BLITZ_The_Destroyer_of_Worlds |	And some nice quick ones right another words in addition to these great epics it took forever and
EDL	00:00:30,208	00:00:32,768	| dchha59_BLITZ_The_Destroyer_of_Worlds |	You have killed us and have killed you listen to them
EDL	00:00:32,768	00:00:36,096	| dchha59_BLITZ_The_Destroyer_of_Worlds |	We have things in between and they grew too cuz I'm obviously
EDL	00:00:36,096	00:00:36,608	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 0.5 secs ]
EDL	00:00:36,608	00:00:39,168	| dchha59_BLITZ_The_Destroyer_of_Worlds |	I have a problem I'm addicted to contact
EDL	00:00:39,168	00:00:39,936	| dchha59_BLITZ_The_Destroyer_of_Worlds |	Is one of you sad
EDL	00:00:39,936	00:00:41,216	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 1.3 secs ]
EDL	00:00:41,216	00:00:43,776	| dchha59_BLITZ_The_Destroyer_of_Worlds |	A firm believer in the past is prologue
EDL	00:00:43,776	00:00:44,288	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 0.5 secs ]
EDL	00:00:44,288	00:00:50,432	| dchha59_BLITZ_The_Destroyer_of_Worlds |	And there's no good natural place to start any story right everything's connected it's arbitrary where you decide to begin thing
EDL	00:00:50,432	00:00:51,712	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 1.3 secs ]
EDL	00:00:51,712	00:00:52,480	| dchha59_BLITZ_The_Destroyer_of_Worlds |	That's how I
EDL	00:00:52,480	00:00:52,992	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 0.5 secs ]
EDL	00:00:52,992	00:00:57,856	| dchha59_BLITZ_The_Destroyer_of_Worlds |	And I show I wanted to do about Cleopatra that stretched into a six-part series on Rome
EDL	00:00:57,856	00:00:59,648	| dchha59_BLITZ_The_Destroyer_of_Worlds |	Because where do you start the Cleopatra story
EDL	00:00:59,648	00:01:01,696	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 2.0 secs ]
EDL	00:01:01,696	00:01:03,488	| dchha59_BLITZ_The_Destroyer_of_Worlds |	The reason I chose the topic
EDL	00:01:03,488	00:01:04,000	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 0.5 secs ]
EDL	00:01:04,000	00:01:09,888	| dchha59_BLITZ_The_Destroyer_of_Worlds |	The originally chose for today's program has cuz I thought it artificially constrained me it's 2 weeks long
EDL	00:01:09,888	00:01:11,168	| dchha59_BLITZ_The_Destroyer_of_Worlds |	Possibly
EDL	00:01:11,168	00:01:12,448	| dchha59_BLITZ_The_Destroyer_of_Worlds |	Do a really long show
EDL	00:01:12,448	00:01:13,216	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 0.8 secs ]
EDL	00:01:13,216	00:01:15,008	| dchha59_BLITZ_The_Destroyer_of_Worlds |	On a two week long event well
EDL	00:01:15,008	00:01:16,032	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 1.0 secs ]
EDL	00:01:16,032	00:01:17,824	| dchha59_BLITZ_The_Destroyer_of_Worlds |	6 hours later here we are
EDL	00:01:17,824	00:01:18,848	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 1.0 secs ]
EDL	00:01:18,848	00:01:25,248	| dchha59_BLITZ_The_Destroyer_of_Worlds |	And it's also a blitz Edition which now doesn't have anything to do with the length of the show it's turned out through Evolution to be a different kind of show that
EDL	00:01:25,248	00:01:26,016	| dchha59_BLITZ_The_Destroyer_of_Worlds |	Focuses
EDL	00:01:26,016	00:01:27,296	| dchha59_BLITZ_The_Destroyer_of_Worlds |	A different things
EDL	00:01:27,296	00:01:28,064	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 0.8 secs ]
EDL	00:01:28,064	00:01:28,832	| dchha59_BLITZ_The_Destroyer_of_Worlds |	Instead of being about
EDL	00:01:28,832	00:01:29,600	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 0.8 secs ]
EDL	00:01:29,600	00:01:30,112	| dchha59_BLITZ_The_Destroyer_of_Worlds |	People
EDL	00:01:30,112	00:01:30,880	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 0.8 secs ]
EDL	00:01:30,880	00:01:31,648	| dchha59_BLITZ_The_Destroyer_of_Worlds |	Or events
EDL	00:01:31,648	00:01:32,416	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 0.8 secs ]
EDL	00:01:32,416	00:01:34,464	| dchha59_BLITZ_The_Destroyer_of_Worlds |	Or error has specifically
EDL	00:01:34,464	00:01:34,976	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 0.5 secs ]
EDL	00:01:34,976	00:01:37,792	| dchha59_BLITZ_The_Destroyer_of_Worlds |	Usually they focus on an idea or question
EDL	00:01:37,792	00:01:38,304	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 0.5 secs ]
EDL	00:01:38,304	00:01:39,072	| dchha59_BLITZ_The_Destroyer_of_Worlds |	And then
EDL	00:01:39,072	00:01:41,888	| dchha59_BLITZ_The_Destroyer_of_Worlds |	In a weave history around the question somehow
EDL	00:01:41,888	00:01:43,424	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 1.5 secs ]
EDL	00:01:43,424	00:01:44,704	| dchha59_BLITZ_The_Destroyer_of_Worlds |	Usually the recipe
EDL	00:01:44,704	00:01:45,216	| dchha59_BLITZ_The_Destroyer_of_Worlds |	[ SPACE 0.5 secs ]
