EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,512	00:00:02,560	| dchha63_Supernova_in_the_East_II |	Today Show is sponsored by Audible
EDL	00:00:02,560	00:00:03,072	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.5 secs ]
EDL	00:00:03,072	00:00:08,960	| dchha63_Supernova_in_the_East_II |	Get your first audiobook free when you start a 30-day trial just visit audible.com Carlin
EDL	00:00:08,960	00:00:12,032	| dchha63_Supernova_in_the_East_II |	Or text Carlin to 500 500 to get started
EDL	00:00:12,032	00:00:13,056	| dchha63_Supernova_in_the_East_II |	And listen for a change
EDL	00:00:13,056	00:00:17,664	| dchha63_Supernova_in_the_East_II |	[ SPACE 4.6 secs ]
EDL	00:00:17,664	00:00:24,064	| dchha63_Supernova_in_the_East_II |	What you're about to hear is part 2 of a multi-part series on the wars in Asia and the Pacific involve
EDL	00:00:24,064	00:00:25,856	| dchha63_Supernova_in_the_East_II |	The Imperial Japanese empire
EDL	00:00:25,856	00:00:28,416	| dchha63_Supernova_in_the_East_II |	And many other countries and Powers
EDL	00:00:28,416	00:00:30,208	| dchha63_Supernova_in_the_East_II |	If you enjoy contacts
EDL	00:00:30,208	00:00:34,816	| dchha63_Supernova_in_the_East_II |	And don't want to get too frustrated with me referring back to things we talked about earlier
EDL	00:00:34,816	00:00:37,376	| dchha63_Supernova_in_the_East_II |	Please feel free to listen to part 1 and catch up
EDL	00:00:37,376	00:00:40,448	| dchha63_Supernova_in_the_East_II |	You don't care about those things of course or if you've already heard
EDL	00:00:40,448	00:00:41,216	| dchha63_Supernova_in_the_East_II |	Part 1
EDL	00:00:41,216	00:00:43,264	| dchha63_Supernova_in_the_East_II |	Well please feel free to continue
EDL	00:00:43,264	00:00:45,056	| dchha63_Supernova_in_the_East_II |	And hopefully enjoy part 2
EDL	00:00:45,056	00:00:45,568	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.5 secs ]
EDL	00:00:45,568	00:00:46,848	| dchha63_Supernova_in_the_East_II |	A supernova in the east
EDL	00:00:46,848	00:00:47,360	| dchha63_Supernova_in_the_East_II |	East
EDL	00:00:47,360	00:00:51,968	| dchha63_Supernova_in_the_East_II |	[ SPACE 4.6 secs ]
EDL	00:00:51,968	00:00:53,248	| dchha63_Supernova_in_the_East_II |	Its history
EDL	00:00:53,248	00:00:56,320	| dchha63_Supernova_in_the_East_II |	[ SPACE 3.1 secs ]
EDL	00:00:56,320	00:00:58,368	| dchha63_Supernova_in_the_East_II |	It's hardcore history
EDL	00:00:58,368	00:01:04,256	| dchha63_Supernova_in_the_East_II |	[ SPACE 5.9 secs ]
EDL	00:01:04,256	00:01:06,048	| dchha63_Supernova_in_the_East_II |	Why is Adolf Hitler and the Nazi
EDL	00:01:06,048	00:01:08,096	| dchha63_Supernova_in_the_East_II |	[ SPACE 2.0 secs ]
EDL	00:01:08,096	00:01:09,376	| dchha63_Supernova_in_the_East_II |	Broadcast
EDL	00:01:09,376	00:01:09,888	| dchha63_Supernova_in_the_East_II |	News
EDL	00:01:09,888	00:01:10,656	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.8 secs ]
EDL	00:01:10,656	00:01:11,168	| dchha63_Supernova_in_the_East_II |	And updates
EDL	00:01:11,168	00:01:12,448	| dchha63_Supernova_in_the_East_II |	[ SPACE 1.3 secs ]
EDL	00:01:12,448	00:01:14,240	| dchha63_Supernova_in_the_East_II |	Of what they were doing
EDL	00:01:14,240	00:01:14,752	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.5 secs ]
EDL	00:01:14,752	00:01:17,568	| dchha63_Supernova_in_the_East_II |	As part of the final solution while it was going on
EDL	00:01:17,568	00:01:19,104	| dchha63_Supernova_in_the_East_II |	Why didn't they announce to the world
EDL	00:01:19,104	00:01:21,152	| dchha63_Supernova_in_the_East_II |	Go to the Joseph Goebbels propaganda Ministry
EDL	00:01:21,152	00:01:21,920	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.8 secs ]
EDL	00:01:21,920	00:01:25,760	| dchha63_Supernova_in_the_East_II |	We set up these industrial killing facilities but we'll work people to death first
EDL	00:01:25,760	00:01:26,528	| dchha63_Supernova_in_the_East_II |	If they're strong
EDL	00:01:26,528	00:01:30,624	| dchha63_Supernova_in_the_East_II |	Unexplained listen last month we killed a hundred thousand more these people and we won't stop till they're all gone
EDL	00:01:30,624	00:01:32,416	| dchha63_Supernova_in_the_East_II |	[ SPACE 1.8 secs ]
EDL	00:01:32,416	00:01:33,184	| dchha63_Supernova_in_the_East_II |	Why did they do that
EDL	00:01:33,184	00:01:35,744	| dchha63_Supernova_in_the_East_II |	[ SPACE 2.6 secs ]
EDL	00:01:35,744	00:01:36,512	| dchha63_Supernova_in_the_East_II |	Why didn't
EDL	00:01:36,512	00:01:37,536	| dchha63_Supernova_in_the_East_II |	Stalin
EDL	00:01:37,536	00:01:38,048	| dchha63_Supernova_in_the_East_II |	Get up there
EDL	00:01:38,048	00:01:38,816	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.8 secs ]
EDL	00:01:38,816	00:01:41,120	| dchha63_Supernova_in_the_East_II |	Yelling shake his finger and threatened
EDL	00:01:41,120	00:01:41,632	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.5 secs ]
EDL	00:01:41,632	00:01:45,984	| dchha63_Supernova_in_the_East_II |	The gulags and then explain what the gulag archipelago the whole system was
EDL	00:01:45,984	00:01:47,264	| dchha63_Supernova_in_the_East_II |	[ SPACE 1.3 secs ]
EDL	00:01:47,264	00:01:48,800	| dchha63_Supernova_in_the_East_II |	Starving to death working to death
EDL	00:01:48,800	00:01:49,568	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.8 secs ]
EDL	00:01:49,568	00:01:50,848	| dchha63_Supernova_in_the_East_II |	Are they really education campaign
EDL	00:01:50,848	00:01:51,616	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.8 secs ]
EDL	00:01:51,616	00:01:58,016	| dchha63_Supernova_in_the_East_II |	All you have to do is leave the country and come back for us to be suspicious enough that you've been corrupted to send you away I mean why did he get
EDL	00:01:58,016	00:02:00,320	| dchha63_Supernova_in_the_East_II |	Thursday this is what's going to happen to you if you don't stay in line
EDL	00:02:00,320	00:02:01,856	| dchha63_Supernova_in_the_East_II |	[ SPACE 1.5 secs ]
EDL	00:02:01,856	00:02:02,880	| dchha63_Supernova_in_the_East_II |	No one admitted it right
EDL	00:02:02,880	00:02:04,672	| dchha63_Supernova_in_the_East_II |	[ SPACE 1.8 secs ]
EDL	00:02:04,672	00:02:05,696	| dchha63_Supernova_in_the_East_II |	Why didn't the
EDL	00:02:05,696	00:02:06,464	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.8 secs ]
EDL	00:02:06,464	00:02:12,864	| dchha63_Supernova_in_the_East_II |	Khmer Rouge take photographs as they wiped out the intellectual class of Cambodia
EDL	00:02:12,864	00:02:14,656	| dchha63_Supernova_in_the_East_II |	Because they thought people with glasses
EDL	00:02:14,656	00:02:15,168	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.5 secs ]
EDL	00:02:15,168	00:02:17,472	| dchha63_Supernova_in_the_East_II |	Were intellectuals in the intellectuals were
EDL	00:02:17,472	00:02:17,984	| dchha63_Supernova_in_the_East_II |	Threat to their
EDL	00:02:17,984	00:02:18,752	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.8 secs ]
EDL	00:02:18,752	00:02:20,288	| dchha63_Supernova_in_the_East_II |	New world that they were
EDL	00:02:20,288	00:02:22,848	| dchha63_Supernova_in_the_East_II |	We're creating where he was going to go live back on the landing
EDL	00:02:22,848	00:02:24,896	| dchha63_Supernova_in_the_East_II |	Why are there photos of that go check out
EDL	00:02:24,896	00:02:26,432	| dchha63_Supernova_in_the_East_II |	Killing Fields you know what you'll find
EDL	00:02:26,432	00:02:26,944	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.5 secs ]
EDL	00:02:26,944	00:02:27,456	| dchha63_Supernova_in_the_East_II |	Artwork
EDL	00:02:27,456	00:02:28,992	| dchha63_Supernova_in_the_East_II |	[ SPACE 1.5 secs ]
EDL	00:02:28,992	00:02:30,016	| dchha63_Supernova_in_the_East_II |	Why didn't they
EDL	00:02:30,016	00:02:35,136	| dchha63_Supernova_in_the_East_II |	Take photos full color block them up and put them all around the town and send some to the foreign media out
EDL	00:02:35,136	00:02:35,648	| dchha63_Supernova_in_the_East_II |	What's 2
EDL	00:02:35,648	00:02:38,464	| dchha63_Supernova_in_the_East_II |	[ SPACE 2.8 secs ]
EDL	00:02:38,464	00:02:42,048	| dchha63_Supernova_in_the_East_II |	That's what an Assyrian king would have done back in the Iron Age
EDL	00:02:42,048	00:02:43,584	| dchha63_Supernova_in_the_East_II |	[ SPACE 1.5 secs ]
EDL	00:02:43,584	00:02:45,376	| dchha63_Supernova_in_the_East_II |	A guy likes inaka rib
EDL	00:02:45,376	00:02:46,400	| dchha63_Supernova_in_the_East_II |	[ SPACE 1.0 secs ]
EDL	00:02:46,400	00:02:52,544	| dchha63_Supernova_in_the_East_II |	Going to level a place like Babylon and then he's going to make sure everyone knows about it in detail
EDL	00:02:52,544	00:02:54,336	| dchha63_Supernova_in_the_East_II |	[ SPACE 1.8 secs ]
EDL	00:02:54,336	00:02:58,688	| dchha63_Supernova_in_the_East_II |	A good historian of that era will point out that a lot of what the Assyrians card
EDL	00:02:58,688	00:02:59,968	| dchha63_Supernova_in_the_East_II |	Into stone
EDL	00:02:59,968	00:03:00,736	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.8 secs ]
EDL	00:03:00,736	00:03:03,808	| dchha63_Supernova_in_the_East_II |	Including another version of photos right artwork with comment
EDL	00:03:03,808	00:03:05,344	| dchha63_Supernova_in_the_East_II |	Terry and statement by the king
EDL	00:03:05,344	00:03:05,856	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.5 secs ]
EDL	00:03:05,856	00:03:06,880	| dchha63_Supernova_in_the_East_II |	A lot of that stuff was
EDL	00:03:06,880	00:03:07,392	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.5 secs ]
EDL	00:03:07,392	00:03:08,160	| dchha63_Supernova_in_the_East_II |	A quart
EDL	00:03:08,160	00:03:09,184	| dchha63_Supernova_in_the_East_II |	Style after
EDL	00:03:09,184	00:03:10,720	| dchha63_Supernova_in_the_East_II |	Another words it was
EDL	00:03:10,720	00:03:12,256	| dchha63_Supernova_in_the_East_II |	Whatever one would expect
EDL	00:03:12,256	00:03:15,072	| dchha63_Supernova_in_the_East_II |	Why you still see Egyptian fashions in the New Kingdom that look
EDL	00:03:15,072	00:03:15,840	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.8 secs ]
EDL	00:03:15,840	00:03:17,120	| dchha63_Supernova_in_the_East_II |	You really familiar like
EDL	00:03:17,120	00:03:18,912	| dchha63_Supernova_in_the_East_II |	Egyptian fashion from the Old Kingdom
EDL	00:03:18,912	00:03:19,936	| dchha63_Supernova_in_the_East_II |	[ SPACE 1.0 secs ]
EDL	00:03:19,936	00:03:23,264	| dchha63_Supernova_in_the_East_II |	There's a style that becomes the style you use
EDL	00:03:23,264	00:03:23,776	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.5 secs ]
EDL	00:03:23,776	00:03:27,360	| dchha63_Supernova_in_the_East_II |	But what does it say about you if V style you use
EDL	00:03:27,360	00:03:29,920	| dchha63_Supernova_in_the_East_II |	Is to announce the atrocities that you commit
EDL	00:03:29,920	00:03:30,432	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.5 secs ]
EDL	00:03:30,432	00:03:31,200	| dchha63_Supernova_in_the_East_II |	And
EDL	00:03:31,200	00:03:36,064	| dchha63_Supernova_in_the_East_II |	As close as possible replicate them on the walls of your waiting room
EDL	00:03:36,064	00:03:36,576	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.5 secs ]
EDL	00:03:36,576	00:03:38,368	| dchha63_Supernova_in_the_East_II |	In the embassies
EDL	00:03:38,368	00:03:39,136	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.8 secs ]
EDL	00:03:39,136	00:03:45,280	| dchha63_Supernova_in_the_East_II |	While people wait to talk to the Assyrian ruler having senaka rib destroyed Babylon and wrote about it here is
EDL	00:03:45,280	00:03:46,048	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.8 secs ]
EDL	00:03:46,048	00:03:47,584	| dchha63_Supernova_in_the_East_II |	The scribes record
EDL	00:03:47,584	00:03:48,864	| dchha63_Supernova_in_the_East_II |	[ SPACE 1.3 secs ]
EDL	00:03:48,864	00:03:50,912	| dchha63_Supernova_in_the_East_II |	The words of Sinatra being
EDL	00:03:50,912	00:03:51,680	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.8 secs ]
EDL	00:03:51,680	00:03:54,240	| dchha63_Supernova_in_the_East_II |	Again this is a court style also
EDL	00:03:54,240	00:03:55,264	| dchha63_Supernova_in_the_East_II |	[ SPACE 1.0 secs ]
EDL	00:03:55,264	00:03:56,544	| dchha63_Supernova_in_the_East_II |	What a style
EDL	00:03:56,544	00:03:57,056	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.5 secs ]
EDL	00:03:57,056	00:04:03,200	| dchha63_Supernova_in_the_East_II |	Sennacherib said of his leveling of one of the great cities maybe the greatest city of all time
EDL	00:04:03,200	00:04:04,992	| dchha63_Supernova_in_the_East_II |	If you started a top 100 list
EDL	00:04:04,992	00:04:06,016	| dchha63_Supernova_in_the_East_II |	Babylon
EDL	00:04:06,016	00:04:06,528	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.5 secs ]
EDL	00:04:06,528	00:04:08,320	| dchha63_Supernova_in_the_East_II |	And he leveled Babylon
EDL	00:04:08,320	00:04:09,088	| dchha63_Supernova_in_the_East_II |	Pain in the six
EDL	00:04:09,088	00:04:09,856	| dchha63_Supernova_in_the_East_II |	Hundred
EDL	00:04:09,856	00:04:11,392	| dchha63_Supernova_in_the_East_II |	BCE by the way
EDL	00:04:11,392	00:04:11,904	| dchha63_Supernova_in_the_East_II |	Quote
EDL	00:04:11,904	00:04:13,184	| dchha63_Supernova_in_the_East_II |	[ SPACE 1.3 secs ]
EDL	00:04:13,184	00:04:17,280	| dchha63_Supernova_in_the_East_II |	Like the oncoming of a storm I broke loose and overwhelmed Like a Hurricane
EDL	00:04:17,280	00:04:18,047	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.8 secs ]
EDL	00:04:18,047	00:04:20,607	| dchha63_Supernova_in_the_East_II |	With their corpses I filled the city Square
EDL	00:04:20,607	00:04:21,119	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.5 secs ]
EDL	00:04:21,119	00:04:24,447	| dchha63_Supernova_in_the_East_II |	The city and its houses from its foundations to it stop
EDL	00:04:24,447	00:04:25,471	| dchha63_Supernova_in_the_East_II |	I destroyed
EDL	00:04:25,471	00:04:27,519	| dchha63_Supernova_in_the_East_II |	I devastated I burned with fire
EDL	00:04:27,519	00:04:28,031	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.5 secs ]
EDL	00:04:28,031	00:04:30,847	| dchha63_Supernova_in_the_East_II |	The wall and outer wall temples and gods
EDL	00:04:30,847	00:04:33,663	| dchha63_Supernova_in_the_East_II |	Temple towers of brick in earth as many as there were
EDL	00:04:33,663	00:04:36,223	| dchha63_Supernova_in_the_East_II |	I raised and dump them into the garage shoe canal
EDL	00:04:36,223	00:04:36,735	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.5 secs ]
EDL	00:04:36,735	00:04:39,295	| dchha63_Supernova_in_the_East_II |	Through the midst of that City I dug canals
EDL	00:04:39,295	00:04:43,135	| dchha63_Supernova_in_the_East_II |	I flooded it site with water and the Very foundations thereof I destroy
EDL	00:04:43,135	00:04:43,647	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.5 secs ]
EDL	00:04:43,647	00:04:46,719	| dchha63_Supernova_in_the_East_II |	I made its destruction more complete than that by a flood
EDL	00:04:46,719	00:04:47,231	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.5 secs ]
EDL	00:04:47,231	00:04:53,631	| dchha63_Supernova_in_the_East_II |	But in days to come on the side of that City and its temples in its Gods might not be remembered I completely blotted
EDL	00:04:53,631	00:04:56,447	| dchha63_Supernova_in_the_East_II |	Send it out with floods of water and made it like a meadow
EDL	00:04:56,447	00:04:56,959	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.5 secs ]
EDL	00:04:56,959	00:04:57,471	| dchha63_Supernova_in_the_East_II |	And quote
EDL	00:04:57,471	00:05:00,543	| dchha63_Supernova_in_the_East_II |	[ SPACE 3.1 secs ]
EDL	00:05:00,543	00:05:02,079	| dchha63_Supernova_in_the_East_II |	All those later Kings
EDL	00:05:02,079	00:05:03,359	| dchha63_Supernova_in_the_East_II |	Probably trying to emulate
EDL	00:05:03,359	00:05:03,871	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.5 secs ]
EDL	00:05:03,871	00:05:07,455	| dchha63_Supernova_in_the_East_II |	Badass of the mall I should Nasser Paul II
EDL	00:05:07,455	00:05:10,271	| dchha63_Supernova_in_the_East_II |	From Del couple centuries before that time
EDL	00:05:10,271	00:05:11,551	| dchha63_Supernova_in_the_East_II |	[ SPACE 1.3 secs ]
EDL	00:05:11,551	00:05:15,135	| dchha63_Supernova_in_the_East_II |	Turn the Lights you got to appreciate the Assyrians for owning it
EDL	00:05:15,135	00:05:18,719	| dchha63_Supernova_in_the_East_II |	And using it their foreign policy was based on scaring the hell out of
EDL	00:05:18,719	00:05:19,231	| dchha63_Supernova_in_the_East_II |	People
EDL	00:05:19,231	00:05:19,743	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.5 secs ]
EDL	00:05:19,743	00:05:23,583	| dchha63_Supernova_in_the_East_II |	They want you to rebellon the best way to do that was to punish anyone who did Ravel
EDL	00:05:23,583	00:05:24,095	| dchha63_Supernova_in_the_East_II |	Horrible
EDL	00:05:24,095	00:05:26,655	| dchha63_Supernova_in_the_East_II |	[ SPACE 2.6 secs ]
EDL	00:05:26,655	00:05:33,055	| dchha63_Supernova_in_the_East_II |	Now that was more the style of the times in the Iron Age though one could see that not play
EDL	00:05:33,055	00:05:36,895	| dchha63_Supernova_in_the_East_II |	Find particularly well in the twentieth century but then let's ask why
EDL	00:05:36,895	00:05:38,943	| dchha63_Supernova_in_the_East_II |	[ SPACE 2.0 secs ]
EDL	00:05:38,943	00:05:40,735	| dchha63_Supernova_in_the_East_II |	If you were to make a list of all the
EDL	00:05:40,735	00:05:41,503	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.8 secs ]
EDL	00:05:41,503	00:05:46,879	| dchha63_Supernova_in_the_East_II |	Genocides in attempted genocides atrocities war crimes and all these things
EDL	00:05:46,879	00:05:49,695	| dchha63_Supernova_in_the_East_II |	Fall broadly under that heading and involve enough people
EDL	00:05:49,695	00:05:50,463	| dchha63_Supernova_in_the_East_II |	How to make a list
EDL	00:05:50,463	00:05:51,231	| dchha63_Supernova_in_the_East_II |	[ SPACE 0.8 secs ]
EDL	00:05:51,231	00:05:53,023	| dchha63_Supernova_in_the_East_II |	Of the 20th and 21st centuries
EDL	00:05:53,023	00:05:54,303	| dchha63_Supernova_in_the_East_II |	[ SPACE 1.3 secs ]
