EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:03,584	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	Support for this podcast and the following message come from Madewell
EDL	00:00:03,584	00:00:06,400	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	Where the motto is good days start with great jeans
EDL	00:00:06,912	00:00:10,496	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	Madewell offers premium denim styles for seriously everyone
EDL	00:00:11,008	00:00:15,872	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	Stop by a Madewell store or go to madewell.com to find your perfect pair
EDL	00:00:17,920	00:00:24,320	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	My favorite quotes is if you want to understand and study the juvenile delinquent
EDL	00:00:24,320	00:00:30,720	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	Cuz it's cuz they're saying you know this sucks I'm going to do it my own way and that's what they all say
EDL	00:00:30,720	00:00:37,120	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	They just say this is wrong I'm going to do it this other way and that's the fun part of business actually
EDL	00:00:37,120	00:00:39,680	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	I love breaking the rules
EDL	00:00:40,192	00:00:46,592	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	Ramen PR
EDL	00:00:46,592	00:00:52,992	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	How I built this show about innovators entrepreneurs idealists the stories behind the movements
EDL	00:00:52,992	00:00:59,392	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	Lego
EDL	00:00:59,392	00:01:05,792	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	How far from pounding hot metal in a converted Chicken Coop to sounding the outdoor
EDL	00:01:05,792	00:01:09,632	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	He says he does not want
EDL	00:01:09,632	00:01:10,144	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	Got your money
EDL	00:01:16,800	00:01:22,176	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	If it isn't that kind of entrepreneur who's going to wow you with a PowerPoint presentation or a
EDL	00:01:22,176	00:01:23,456	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	Snappy elevator pitch
EDL	00:01:23,968	00:01:29,856	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	He's basically a surfer a kayaker in a mountain climber who sort of stumbled into the role of businessman
EDL	00:01:30,368	00:01:31,136	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	So pretty
EDL	00:01:32,160	00:01:32,928	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	How can I say this
EDL	00:01:33,696	00:01:34,976	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	Eccentric
EDL	00:01:34,976	00:01:36,768	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	In the best possible way
EDL	00:01:36,768	00:01:39,072	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	If I never had any interest
EDL	00:01:39,072	00:01:40,608	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	Becoming rich
EDL	00:01:40,608	00:01:44,192	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	Actively work to slow down patagonia's growth in
EDL	00:01:44,192	00:01:45,216	| 20161209_hibt_patagonia.mp3_58745799c217a25939510babfb09a058_26680987 |	Profit margin
