EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:02,560	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	Support for NPR in the following message
EDL	00:00:02,560	00:00:03,584	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	Did come from Pushkin and dust
EDL	00:00:04,096	00:00:05,376	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	Resetting the podcast
EDL	00:00:05,376	00:00:06,144	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	Broken record
EDL	00:00:06,144	00:00:08,704	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	Rick Rubin Malcolm Gladwell and Bruce Hedley
EDL	00:00:09,216	00:00:11,264	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	Sit down with the musicians you love
EDL	00:00:11,264	00:00:13,568	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	To talk about their lives work and the music
EDL	00:00:13,568	00:00:14,848	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	Listen to season 2
EDL	00:00:14,848	00:00:16,640	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	Wherever you get your podcasts
EDL	00:00:17,664	00:00:24,064	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	Just sitting on my doorstep
EDL	00:00:24,064	00:00:30,464	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	Stupid I invited him into the house and he tells me that he's going to close the
EDL	00:00:30,464	00:00:36,864	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	Legend group down on the Monday and I definitely get angry but I just lit relates to
EDL	00:00:36,864	00:00:43,264	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	Pushed him out of my house and told me wasn't never welcome theracane which is the best thing to
EDL	00:00:43,264	00:00:44,800	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	Dto Bank
EDL	00:00:46,336	00:00:52,736	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	Ramen
EDL	00:00:52,736	00:00:53,504	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	NPR
EDL	00:00:53,504	00:00:54,528	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	How I built this
EDL	00:00:54,528	00:00:57,600	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	A show about innovators entrepreneurs idealists
EDL	00:00:57,600	00:00:59,904	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	Stories behind the movements
EDL	00:00:59,904	00:01:06,304	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	They built the story of how
EDL	00:01:06,304	00:01:08,352	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	Richard Branson took a record shop
EDL	00:01:08,864	00:01:10,656	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	And built it into an airline a bank
EDL	00:01:11,168	00:01:12,960	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	Space tourism a cola
EDL	00:01:12,960	00:01:15,264	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	And more than 200 other businesses
EDL	00:01:15,264	00:01:16,544	| 20170126_hibt_virgin.mp3_c8e51ec25a1ee6e6bdea714fa62c0928_33974146 |	All under the name virgin
