EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,280	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Support for how I built
EDL	00:00:01,280	00:00:05,120	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Best and the following message come from Michigan Economic Development Corporation
EDL	00:00:05,120	00:00:06,144	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Seewhy michigan
EDL	00:00:06,144	00:00:11,008	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Is attracting top talent and top businesses by searching Michigan pure opportunity
EDL	00:00:11,776	00:00:13,824	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Hey it's guy here and so begins
EDL	00:00:14,336	00:00:17,408	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	I'm super excited to tell you about a project
EDL	00:00:17,408	00:00:21,504	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	I've been working on it's a new kids podcast about science
EDL	00:00:21,504	00:00:22,528	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	And discovery
EDL	00:00:22,528	00:00:27,904	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	It's called wow in the world and it marks the first time in NPR's 47-year history
EDL	00:00:28,416	00:00:30,976	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	That we're launching a program especially for kids
EDL	00:00:31,488	00:00:34,816	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	So if you know a kid between the ages of 5 and
EDL	00:00:34,816	00:00:35,584	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	10 who is
EDL	00:00:35,584	00:00:36,864	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Curious about the world
EDL	00:00:37,376	00:00:39,168	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Check out wow in the world UK
EDL	00:00:39,168	00:00:39,936	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Search for it
EDL	00:00:40,448	00:00:41,216	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Subscribe app
EDL	00:00:41,216	00:00:44,800	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Podcasts or by visiting npr.org
EDL	00:00:44,800	00:00:45,312	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Wow
EDL	00:00:48,896	00:00:52,992	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Just a quick note to tell you that this episode of How I built this is about
EDL	00:00:52,992	00:00:53,504	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Whole Foods
EDL	00:00:54,016	00:00:55,552	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	They are a financial
EDL	00:00:55,552	00:00:57,088	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Supporter of NPR
EDL	00:00:57,088	00:00:59,904	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	We have the story of how the company came to be was so interesting that
EDL	00:01:00,672	00:01:02,720	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	We wanted to tell it to you anyway so
EDL	00:01:03,232	00:01:04,000	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Curious
EDL	00:01:04,000	00:01:10,400	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Apple Store like with credit cards and Islam
EDL	00:01:10,400	00:01:16,800	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Long as you take them to where they want to go they will help you pay for the gas but if you don't take them
EDL	00:01:16,800	00:01:23,200	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	The more they want to go they will try to hijack the car and throw you out on the side of the road so I
EDL	00:01:23,200	00:01:29,600	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	I did not trust Avicii's I liked him I didn't trust him I did not want him to take control of the company so I thought no going to go public
EDL	00:01:29,600	00:01:31,904	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	And then we're going to get The Hitchhikers out of the car
EDL	00:01:37,536	00:01:43,936	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	From NPR how I built this show about innovators entrepreneurs idealists and the story
EDL	00:01:43,936	00:01:50,336	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Behind the movement
EDL	00:01:50,336	00:01:56,736	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	How lights in a vegetarian communist fire John Mackey to start
EDL	00:01:56,736	00:01:59,552	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Was it an organic food Revolution
EDL	00:01:59,552	00:02:01,088	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Change the way Americans
EDL	00:02:01,088	00:02:01,856	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Shop for grocery
EDL	00:02:06,464	00:02:10,816	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	If you happen to step into an organic food Co-Op in the 60s
EDL	00:02:10,816	00:02:11,584	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	70s
EDL	00:02:12,096	00:02:14,144	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	You would probably walk past
EDL	00:02:14,144	00:02:14,912	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Isles
EDL	00:02:14,912	00:02:15,680	| 20170512_hibt_hibtpod-1f261310-5f75-41c6-a829-27921f6571ef.mp3_e44f24434044b17967617d39874b704c_45476780 |	Isles
