EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:05,120	| 20170623_hibt_hibttrx-6505dd6d-d461-4128-bb10-0a59e7aaf2cf.mp3_3a8022d7a0fbbc8ade41d9d9038b9904_43483935 |	Support comes from our 2019 lead sponsor of how I built this campaign monitor
EDL	00:00:05,120	00:00:09,472	| 20170623_hibt_hibttrx-6505dd6d-d461-4128-bb10-0a59e7aaf2cf.mp3_3a8022d7a0fbbc8ade41d9d9038b9904_43483935 |	An email marketing platform used by more than 250 thousand
EDL	00:00:10,240	00:00:11,776	| 20170623_hibt_hibttrx-6505dd6d-d461-4128-bb10-0a59e7aaf2cf.mp3_3a8022d7a0fbbc8ade41d9d9038b9904_43483935 |	With mobile-friendly email temp
EDL	00:00:12,288	00:00:14,080	| 20170623_hibt_hibttrx-6505dd6d-d461-4128-bb10-0a59e7aaf2cf.mp3_3a8022d7a0fbbc8ade41d9d9038b9904_43483935 |	A drag-and-drop email Builder
EDL	00:00:14,080	00:00:16,128	| 20170623_hibt_hibttrx-6505dd6d-d461-4128-bb10-0a59e7aaf2cf.mp3_3a8022d7a0fbbc8ade41d9d9038b9904_43483935 |	And customer support 7 days a week
EDL	00:00:16,640	00:00:18,176	| 20170623_hibt_hibttrx-6505dd6d-d461-4128-bb10-0a59e7aaf2cf.mp3_3a8022d7a0fbbc8ade41d9d9038b9904_43483935 |	Campaignmonitor.com
EDL	00:00:18,944	00:00:21,760	| 20170623_hibt_hibttrx-6505dd6d-d461-4128-bb10-0a59e7aaf2cf.mp3_3a8022d7a0fbbc8ade41d9d9038b9904_43483935 |	Paper wanted sky here and before the show
EDL	00:00:21,760	00:00:23,296	| 20170623_hibt_hibttrx-6505dd6d-d461-4128-bb10-0a59e7aaf2cf.mp3_3a8022d7a0fbbc8ade41d9d9038b9904_43483935 |	I want to hear some really
EDL	00:00:23,296	00:00:28,928	| 20170623_hibt_hibttrx-6505dd6d-d461-4128-bb10-0a59e7aaf2cf.mp3_3a8022d7a0fbbc8ade41d9d9038b9904_43483935 |	Exciting news because how I built this is going live we're going to be doing three interviews
EDL	00:00:28,928	00:00:30,464	| 20170623_hibt_hibttrx-6505dd6d-d461-4128-bb10-0a59e7aaf2cf.mp3_3a8022d7a0fbbc8ade41d9d9038b9904_43483935 |	In front of live audiences in
EDL	00:00:30,464	00:00:32,512	| 20170623_hibt_hibttrx-6505dd6d-d461-4128-bb10-0a59e7aaf2cf.mp3_3a8022d7a0fbbc8ade41d9d9038b9904_43483935 |	Three different cities in the first one
EDL	00:00:32,512	00:00:34,048	| 20170623_hibt_hibttrx-6505dd6d-d461-4128-bb10-0a59e7aaf2cf.mp3_3a8022d7a0fbbc8ade41d9d9038b9904_43483935 |	Is New York City
EDL	00:00:34,048	00:00:36,864	| 20170623_hibt_hibttrx-6505dd6d-d461-4128-bb10-0a59e7aaf2cf.mp3_3a8022d7a0fbbc8ade41d9d9038b9904_43483935 |	On July 12th I'll be talking with Jonah Peretti
EDL	00:00:37,376	00:00:40,448	| 20170623_hibt_hibttrx-6505dd6d-d461-4128-bb10-0a59e7aaf2cf.mp3_3a8022d7a0fbbc8ade41d9d9038b9904_43483935 |	The guy who founded BuzzFeed and The Huffington Post
