EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:03,584	| 20170720_hibt_samadams-a834d848-a429-4242-b9a0-994fff650433.mp3_7f30545f588186b4c66477ae83a08484_36419710 |	Support for this podcast and the following message come from Madewell
EDL	00:00:03,584	00:00:06,400	| 20170720_hibt_samadams-a834d848-a429-4242-b9a0-994fff650433.mp3_7f30545f588186b4c66477ae83a08484_36419710 |	Where the motto is good days start with great jeans
EDL	00:00:06,912	00:00:10,496	| 20170720_hibt_samadams-a834d848-a429-4242-b9a0-994fff650433.mp3_7f30545f588186b4c66477ae83a08484_36419710 |	Madewell offers premium denim styles for seriously everyone
EDL	00:00:11,008	00:00:12,544	| 20170720_hibt_samadams-a834d848-a429-4242-b9a0-994fff650433.mp3_7f30545f588186b4c66477ae83a08484_36419710 |	Stop by a Madewell store
EDL	00:00:12,544	00:00:15,872	| 20170720_hibt_samadams-a834d848-a429-4242-b9a0-994fff650433.mp3_7f30545f588186b4c66477ae83a08484_36419710 |	Or go to madewell.com to find your perfect pair
EDL	00:00:16,640	00:00:20,992	| 20170720_hibt_samadams-a834d848-a429-4242-b9a0-994fff650433.mp3_7f30545f588186b4c66477ae83a08484_36419710 |	Hey everyone just before we begin the show when I let you know about the live shows
EDL	00:00:20,992	00:00:25,088	| 20170720_hibt_samadams-a834d848-a429-4242-b9a0-994fff650433.mp3_7f30545f588186b4c66477ae83a08484_36419710 |	We're doing this summer we recorded our first one to three weeks ago in New York
EDL	00:00:25,088	00:00:26,880	| 20170720_hibt_samadams-a834d848-a429-4242-b9a0-994fff650433.mp3_7f30545f588186b4c66477ae83a08484_36419710 |	With Jonah Peretti of BuzzFeed
EDL	00:00:26,880	00:00:27,904	| 20170720_hibt_samadams-a834d848-a429-4242-b9a0-994fff650433.mp3_7f30545f588186b4c66477ae83a08484_36419710 |	Superfund
EDL	00:00:27,904	00:00:29,952	| 20170720_hibt_samadams-a834d848-a429-4242-b9a0-994fff650433.mp3_7f30545f588186b4c66477ae83a08484_36419710 |	The crowd loved him we loved it was great
