EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:04,096	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	This message comes from our 2019 lead sponsor of how I built this
EDL	00:00:04,096	00:00:04,864	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Hiscox
EDL	00:00:04,864	00:00:08,448	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Who tailors its policies to fit every business is very specific needs
EDL	00:00:08,960	00:00:12,288	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Which may explain its 97% customer service
EDL	00:00:12,800	00:00:14,080	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Get a quote or buy
EDL	00:00:14,080	00:00:16,640	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Diane hiscox. Com
EDL	00:00:16,640	00:00:17,152	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Hiscox
EDL	00:00:17,664	00:00:18,944	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Business insurance
EDL	00:00:19,968	00:00:23,296	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Support for this podcast comes from American Express open
EDL	00:00:23,808	00:00:26,624	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	If you listen to how I built this you're curious about
EDL	00:00:26,624	00:00:29,184	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Ideas and you probably have some ideas
EDL	00:00:29,184	00:00:29,696	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Of your own
EDL	00:00:30,208	00:00:33,024	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	American Express open can help you with money and
EDL	00:00:33,024	00:00:33,792	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Know how
EDL	00:00:33,792	00:00:35,584	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	So you can turn those ideas
EDL	00:00:35,584	00:00:36,096	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Into action
EDL	00:00:36,608	00:00:37,888	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Is it open. Com
EDL	00:00:38,400	00:00:38,912	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Get business done
EDL	00:00:40,448	00:00:46,848	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Nike come out in Ariana's having breakfast so that we have our meeting she's talking about you know
EDL	00:00:46,848	00:00:53,248	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	What you want what you want I don't even really remember I just was kind of a Gino's like juice charming and smart and you know
EDL	00:00:53,248	00:00:59,648	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Find a talk to you and then a little while later she's like you have to meet feel angelini's who's running for governor of California
EDL	00:00:59,648	00:01:06,048	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	And then like Ariana's introducing me to fill angelini's but a terracotta is like
EDL	00:01:06,048	00:01:12,448	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	It's like introducing me to feel like he should be our head of digital
EDL	00:01:12,448	00:01:18,848	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Digital genius I live in New York City
EDL	00:01:18,848	00:01:25,248	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Even know that feeling Julie needs was you know a person until
EDL	00:01:25,248	00:01:31,392	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	This morning and now I'm going to be a head of digital
EDL	00:01:34,976	00:01:41,376	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	NPR how I built this a show about innovators entrepreneurs idealists story
EDL	00:01:41,376	00:01:47,776	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Lego
EDL	00:01:47,776	00:01:54,176	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	On the show today at Auntie Corporate email inspired Jonah Peretti
EDL	00:01:54,176	00:01:57,504	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	I need to build two of the most powerful news organizations
EDL	00:01:57,504	00:01:58,528	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Internet age
EDL	00:02:04,928	00:02:06,976	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	So if you want to walk into an office building
EDL	00:02:07,488	00:02:10,304	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	And get to an elevator with whole bunch of other people
EDL	00:02:10,816	00:02:13,888	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	You wouldn't necessarily pick out Jonah Peretti
EDL	00:02:13,888	00:02:16,704	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Is the media Mogul in the elevator
EDL	00:02:17,216	00:02:18,752	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Looks more like a graduate
EDL	00:02:19,264	00:02:21,056	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Pretty young pretty casual end
EDL	00:02:21,568	00:02:25,664	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	When I met him a few weeks ago for a conversation in front of a live audience in New York
EDL	00:02:26,176	00:02:27,456	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	He was a course
EDL	00:02:27,968	00:02:28,992	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Pairing a hoodie
EDL	00:02:30,016	00:02:32,576	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	I want to I want to start by asking you the question about
EDL	00:02:32,576	00:02:35,136	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	This were the tech uniform cuz everybody wears hoodies
EDL	00:02:35,648	00:02:36,160	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	What
EDL	00:02:36,928	00:02:40,000	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	What is the story what is it I mean the country wife hoodies
EDL	00:02:40,512	00:02:42,048	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	People get mad if you don't wear them
EDL	00:02:42,560	00:02:45,376	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	You know
EDL	00:02:46,400	00:02:51,776	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	You know if I like wear a nice button-down and go to a meeting or disappointed
EDL	00:02:52,800	00:02:57,408	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Kind of wanted it's like a startup hers right
EDL	00:02:57,408	00:03:00,992	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	So even though he might
EDL	00:03:00,992	00:03:02,528	| 20171003_hibt_buzzfeed.mp3_d2967df86eaaf48c0b93883dc9fba7eb_48060375 |	Traditional media mogul
