EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,792	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	Support for this podcast
EDL	00:00:01,792	00:00:03,584	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	And the following message come from Madewell
EDL	00:00:03,584	00:00:05,888	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	Where the motto is good day start
EDL	00:00:05,888	00:00:06,400	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	With great jeans
EDL	00:00:06,912	00:00:07,936	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	Madewell offer
EDL	00:00:07,936	00:00:10,496	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	Premium denim styles for seriously everyone
EDL	00:00:11,008	00:00:12,032	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	Stop by a Madewell
EDL	00:00:12,544	00:00:14,080	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	Or go to madewell.com
EDL	00:00:14,592	00:00:15,360	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	Define your
EDL	00:00:15,360	00:00:15,872	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	Perfect pear
EDL	00:00:16,896	00:00:19,456	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	Hey it's guy here and I got a random bit of trivia for you
EDL	00:00:19,968	00:00:23,552	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	A year after Jack Kerouac wrote on the road
EDL	00:00:23,552	00:00:24,832	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	Came out with the second book
EDL	00:00:24,832	00:00:26,112	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	Just called the Dharma bums
EDL	00:00:26,112	00:00:28,160	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	Intruders characters actually
EDL	00:00:28,160	00:00:30,976	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	Inspire the name of a real-life company
EDL	00:00:31,488	00:00:34,048	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	One character was Warby and the other was Parker
EDL	00:00:34,560	00:00:35,584	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	And the company is well
EDL	00:00:36,096	00:00:36,864	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	Yes
EDL	00:00:36,864	00:00:42,240	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	You're all about that and a lot more on this episode which originally ran back
EDL	00:00:42,752	00:00:43,264	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	2006
EDL	00:00:45,312	00:00:51,712	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	We haven't told anyone that the site was lying if you didn't want to drive any traffic to it because we weren't sure
EDL	00:00:51,712	00:00:58,112	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	I get an order and then 10 minutes later we get another order
EDL	00:00:58,112	00:01:04,512	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	And then another order and another order and kind of go from there
EDL	00:01:04,512	00:01:10,912	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	Feeling of elatement to a crap
EDL	00:01:10,912	00:01:17,312	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	From NPR it's how I built this
EDL	00:01:17,312	00:01:23,712	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	Shellback innovators entrepreneurs idealists and the stories behind the movement since they built
EDL	00:01:23,712	00:01:29,856	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	Gyros and
EDL	00:01:30,368	00:01:36,768	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	Founders of Warby Parker tell the story of how they first and idea idea that disrupted the
EDL	00:01:36,768	00:01:39,072	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	The entire eyeglass industry in America
EDL	00:01:39,584	00:01:41,376	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	Andrew into a billion dollar company
EDL	00:01:43,424	00:01:49,824	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	So back in 2008 and Eagle Blumenthal and Dave gilboa arrived on the campus
EDL	00:01:49,824	00:01:52,896	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	Best of the Wharton School at the University of Pennsylvania
EDL	00:01:52,896	00:01:59,296	| 20180216_hibt_warby-a3cfd69e-6690-4ae7-85cc-8f4699502d48.mp3_8dbca4e0cdccb9387213b9f1c8d86e6a_32089011 |	They were there to start business school and they met each other and two other students Andy Hunt and Jeff Raider the for them
