EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,792	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	Support for this podcast
EDL	00:00:01,792	00:00:03,584	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	And the following message come from Madewell
EDL	00:00:03,584	00:00:06,400	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	Where the motto is good days start with great jeans
EDL	00:00:06,912	00:00:07,936	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	Madewell offer
EDL	00:00:07,936	00:00:10,496	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	Premium denim styles for seriously everyone
EDL	00:00:11,008	00:00:12,544	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	Stop by a Madewell store
EDL	00:00:12,544	00:00:14,336	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	Or go to madewell.com
EDL	00:00:14,336	00:00:15,360	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	Define Dior
EDL	00:00:15,360	00:00:15,872	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	Perfect pear
EDL	00:00:16,896	00:00:19,968	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	Support for this podcast comes from American Express open
EDL	00:00:20,480	00:00:23,296	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	If you listen to how I built this you're curious about
EDL	00:00:23,296	00:00:25,856	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	Ideas and you probably have some ideas
EDL	00:00:25,856	00:00:26,880	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	Of your own
EDL	00:00:26,880	00:00:28,416	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	American Express open
EDL	00:00:28,416	00:00:29,696	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	Help you with money
EDL	00:00:29,696	00:00:30,208	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	Know how
EDL	00:00:30,720	00:00:32,000	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	You can turn those ideas
EDL	00:00:32,512	00:00:33,280	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	Action
EDL	00:00:33,280	00:00:34,560	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	Is it open. Com
EDL	00:00:35,328	00:00:35,840	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	Business done
EDL	00:00:43,776	00:00:50,176	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	It was the call that none of us could imagine ever wanted to get a pint of ice cream in Lincoln Nebraska
EDL	00:00:50,176	00:00:56,576	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	Is it positive for Listeria so we decided that we're going to recall everything
EDL	00:00:56,576	00:01:02,976	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	That 265 tons of ice cream in the world came back to us
EDL	00:01:02,976	00:01:09,376	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	And there we were did you think there's a possibility that you would shut down that your business could basic
EDL	00:01:09,376	00:01:15,776	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	I think at that point we realize that that was it and it was weird because
EDL	00:01:15,776	00:01:20,640	| 20180227_hibt_icecream.mp3_5aa8344f7344fe9bbd128fac6ecbb5f9_46620850 |	All the time just like I don't even have any ideas
