EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:04,608	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	This message comes from our 2019 lead sponsor of how I built this kiss
EDL	00:00:04,608	00:00:07,424	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Who understands every small business is uni
EDL	00:00:07,424	00:00:11,008	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	And tailors its policies to your business is very specific need
EDL	00:00:11,520	00:00:13,312	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Get a quote or purchase a policy
EDL	00:00:13,312	00:00:15,872	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	At h i s c o x.com
EDL	00:00:15,872	00:00:16,640	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Hiscox
EDL	00:00:16,640	00:00:18,688	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Business insurance experts
EDL	00:00:19,200	00:00:20,480	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Hey it's guy here
EDL	00:00:20,480	00:00:23,296	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	So we've been hearing from a lot of you
EDL	00:00:23,296	00:00:25,600	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Until we all found out the tragic news
EDL	00:00:25,600	00:00:26,368	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	About
EDL	00:00:26,368	00:00:26,880	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Kate Spade
EDL	00:00:27,392	00:00:29,440	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	And her husband Andy
EDL	00:00:29,440	00:00:33,792	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Kantar New York Studios last year and they sat down for what would become one of my
EDL	00:00:33,792	00:00:36,096	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Favorite all-time episodes of How I built this
EDL	00:00:36,864	00:00:37,888	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	They were
EDL	00:00:37,888	00:00:43,520	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Both so likeable and in every way they were self-effacing and also self-deprecating
EDL	00:00:44,032	00:00:46,336	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	The bird kind
EDL	00:00:46,336	00:00:47,104	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Smart
EDL	00:00:47,104	00:00:49,152	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	And most importantly they were generous they were
EDL	00:00:49,664	00:00:50,432	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Generous with
EDL	00:00:50,432	00:00:53,504	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	The reflections and generous with the lessons they learned
EDL	00:00:53,504	00:00:54,272	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	All along the way
EDL	00:00:55,040	00:00:55,808	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	So
EDL	00:00:55,808	00:00:59,648	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Is a small tribute to Kate we decided to repost this interview
EDL	00:01:01,184	00:01:04,000	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	To her voice and her laughter and her warm
EDL	00:01:04,512	00:01:06,048	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	And get a sense
EDL	00:01:06,048	00:01:07,328	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	The kind of person
EDL	00:01:07,328	00:01:07,840	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	She was
EDL	00:01:10,912	00:01:17,312	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	We were still not making any money nobody was making a salary we were Andy was funding everything
EDL	00:01:17,312	00:01:23,712	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	I didn't leave you to shut it down I said it's
EDL	00:01:23,712	00:01:30,112	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	And in all of our savings at that point we still weren't seeing you know progression that was good
EDL	00:01:30,112	00:01:36,512	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Next year in the near future so we thought we had a good run at it we think we've had it
EDL	00:01:36,512	00:01:42,912	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	From NPR how I built this
EDL	00:01:42,912	00:01:49,056	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Show the innovators entrepreneurs idealists and the stories behind the movements they go
EDL	00:02:11,584	00:02:14,400	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	The person behind the brand is Kate Spade
EDL	00:02:14,912	00:02:16,448	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Grew up as Kate Brosnahan
EDL	00:02:16,960	00:02:17,984	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	In Kansas City Missouri
EDL	00:02:18,752	00:02:20,288	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Then she always loved fashion but
EDL	00:02:20,800	00:02:22,336	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Never plan to work inside
EDL	00:02:23,616	00:02:24,640	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	She wanted to be a journalist
EDL	00:02:25,408	00:02:26,944	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	So in the early 1980s
EDL	00:02:27,456	00:02:29,760	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	She went off to study journalism
EDL	00:02:29,760	00:02:31,296	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	At Arizona State University
EDL	00:02:31,808	00:02:32,832	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	And that
EDL	00:02:32,832	00:02:34,624	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Kate met her future husband
EDL	00:02:35,136	00:02:35,648	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Andy Spade
EDL	00:02:36,416	00:02:42,816	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	We work together at a clothing store and I was on when inside he was on the men's side and
EDL	00:02:42,816	00:02:49,216	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	One day his car broke down and he asked me for a ride home then we really started off
EDL	00:02:49,216	00:02:55,616	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Really great friends the car continue to break down so relationship along
EDL	00:02:55,616	00:03:02,016	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	And the rest of the story well 30 plus years later they're still together
EDL	00:03:02,016	00:03:08,416	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Kate graduated from college first Andy was a few credits short so she decided to backpack around
EDL	00:03:08,416	00:03:14,816	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Europe by yourself traveled around and came back to New York and
EDL	00:03:14,816	00:03:18,400	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Brentwood temp agency because I desperately needed
EDL	00:03:18,400	00:03:24,800	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Some some money
EDL	00:03:24,800	00:03:25,568	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Arizona
EDL	00:03:25,568	00:03:28,128	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	To be with Andy but that's where my ticket
EDL	00:03:28,128	00:03:30,176	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	It started and ended in New York
EDL	00:03:31,968	00:03:38,368	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Got enough money to get back so I needed a job in order to do that so I started at a temp
EDL	00:03:38,368	00:03:41,952	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Place I was typing and I said I'm I don't think this is going to work out
EDL	00:03:41,952	00:03:43,744	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	And then she called the next day and said
EDL	00:03:43,744	00:03:48,608	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	Can you get ready right now caught in a skulls and they have a job in fashion Department
EDL	00:03:49,120	00:03:53,472	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	So they ended up hiring me they didn't want to because I couldn't type
EDL	00:03:53,984	00:03:55,264	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	My boss
EDL	00:03:55,776	00:03:58,592	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	That wasn't she's great and I don't need her striped lot
EDL	00:03:59,104	00:04:01,408	| 20180605_hibt_katespade.mp3_bdc0728fa96a6836cb851bf4e7861343_35412398 |	If we were doing fashion shoots and styling so
