EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,024	| 20180914_hibt_hibtpod-d8665681-511d-4104-bcbf-1a95fc797cb3.mp3_675915bc4968aa0bea4bb2ae48649566_50988770 |	Thanks
EDL	00:00:01,024	00:00:03,840	| 20180914_hibt_hibtpod-d8665681-511d-4104-bcbf-1a95fc797cb3.mp3_675915bc4968aa0bea4bb2ae48649566_50988770 |	Who are 2019 lead sponsor of how I built
EDL	00:00:04,352	00:00:04,864	| 20180914_hibt_hibtpod-d8665681-511d-4104-bcbf-1a95fc797cb3.mp3_675915bc4968aa0bea4bb2ae48649566_50988770 |	Campaign
EDL	00:00:05,376	00:00:06,400	| 20180914_hibt_hibtpod-d8665681-511d-4104-bcbf-1a95fc797cb3.mp3_675915bc4968aa0bea4bb2ae48649566_50988770 |	An email marketing
EDL	00:00:07,168	00:00:08,192	| 20180914_hibt_hibtpod-d8665681-511d-4104-bcbf-1a95fc797cb3.mp3_675915bc4968aa0bea4bb2ae48649566_50988770 |	Used by more than
EDL	00:00:08,192	00:00:09,984	| 20180914_hibt_hibtpod-d8665681-511d-4104-bcbf-1a95fc797cb3.mp3_675915bc4968aa0bea4bb2ae48649566_50988770 |	In 250000 cost
EDL	00:00:10,496	00:00:12,032	| 20180914_hibt_hibtpod-d8665681-511d-4104-bcbf-1a95fc797cb3.mp3_675915bc4968aa0bea4bb2ae48649566_50988770 |	With mobile-friendly email Tim
EDL	00:00:12,544	00:00:13,824	| 20180914_hibt_hibtpod-d8665681-511d-4104-bcbf-1a95fc797cb3.mp3_675915bc4968aa0bea4bb2ae48649566_50988770 |	A drag-and-drop email
EDL	00:00:14,592	00:00:15,104	| 20180914_hibt_hibtpod-d8665681-511d-4104-bcbf-1a95fc797cb3.mp3_675915bc4968aa0bea4bb2ae48649566_50988770 |	And customers
EDL	00:00:15,616	00:00:16,384	| 20180914_hibt_hibtpod-d8665681-511d-4104-bcbf-1a95fc797cb3.mp3_675915bc4968aa0bea4bb2ae48649566_50988770 |	7 days away
EDL	00:00:16,896	00:00:17,408	| 20180914_hibt_hibtpod-d8665681-511d-4104-bcbf-1a95fc797cb3.mp3_675915bc4968aa0bea4bb2ae48649566_50988770 |	Campaign
EDL	00:00:17,920	00:00:18,432	| 20180914_hibt_hibtpod-d8665681-511d-4104-bcbf-1a95fc797cb3.mp3_675915bc4968aa0bea4bb2ae48649566_50988770 |	Weather.com
EDL	00:00:19,968	00:00:22,272	| 20180914_hibt_hibtpod-d8665681-511d-4104-bcbf-1a95fc797cb3.mp3_675915bc4968aa0bea4bb2ae48649566_50988770 |	It just a quick thing before we start the show
EDL	00:00:22,272	00:00:25,600	| 20180914_hibt_hibtpod-d8665681-511d-4104-bcbf-1a95fc797cb3.mp3_675915bc4968aa0bea4bb2ae48649566_50988770 |	Tickets for R2 upcoming live shows in New York
EDL	00:00:25,600	00:00:26,368	| 20180914_hibt_hibtpod-d8665681-511d-4104-bcbf-1a95fc797cb3.mp3_675915bc4968aa0bea4bb2ae48649566_50988770 |	And LA
EDL	00:00:26,368	00:00:27,136	| 20180914_hibt_hibtpod-d8665681-511d-4104-bcbf-1a95fc797cb3.mp3_675915bc4968aa0bea4bb2ae48649566_50988770 |	Went on
