EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,024	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Support for how I built
EDL	00:00:01,536	00:00:02,560	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Send the following message
EDL	00:00:02,560	00:00:04,352	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Come from Michigan Economic Development
EDL	00:00:05,376	00:00:07,168	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	If you want to start or grow your bed
EDL	00:00:07,680	00:00:09,728	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Michigan is the place to make it happen
EDL	00:00:09,728	00:00:10,496	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Learn
EDL	00:00:10,496	00:00:12,288	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Why by searching Michigan pure Roberts
EDL	00:00:13,312	00:00:16,896	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Support for the how I built this Summit comes from American Express
EDL	00:00:16,896	00:00:19,968	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Offering eligible cardmembers flexible funding
EDL	00:00:20,992	00:00:23,296	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Smart Savvy way to fund your business
EDL	00:00:24,064	00:00:26,112	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Powerful backing of American Express
EDL	00:00:26,112	00:00:27,392	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Don't do business without it
EDL	00:00:27,904	00:00:28,672	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Terms apply
EDL	00:00:29,184	00:00:30,720	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Americanexpress.com
EDL	00:00:30,720	00:00:31,488	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Slash business
EDL	00:00:35,072	00:00:41,472	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Hey it's guy here and today I bring you our second
EDL	00:00:41,472	00:00:43,520	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	That was held in San Francisco in
EDL	00:00:43,520	00:00:44,544	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	In October
EDL	00:00:44,544	00:00:47,104	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Episode is for my live interview with
EDL	00:00:47,104	00:00:50,944	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Eric Ryan and Adam Lowry there that co-founders of methadone
EDL	00:00:50,944	00:00:54,784	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	If you haven't heard that episode we did on methadone the podcast
EDL	00:00:54,784	00:00:57,088	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	You should definitely go back and give it a listen
EDL	00:00:57,600	00:00:59,392	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	It's the story of two guys in
EDL	00:00:59,392	00:01:02,976	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Mid-twenties who took on Unilever and Procter & Gamble
EDL	00:01:03,488	00:01:05,280	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Starting a company that makes
EDL	00:01:05,280	00:01:06,816	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Green cleaning products
EDL	00:01:06,816	00:01:08,352	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Adam and Eric Spencer
EDL	00:01:08,352	00:01:09,376	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	15 years
EDL	00:01:09,376	00:01:10,400	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Building method
EDL	00:01:10,400	00:01:11,168	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Together
EDL	00:01:11,168	00:01:14,240	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Before they each moved on to found do companies so
EDL	00:01:16,288	00:01:18,080	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	I really wanted to dig into
EDL	00:01:18,080	00:01:21,664	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Just how they made their partnership work so successfully
EDL	00:01:22,176	00:01:23,712	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	How they manage their relationship
EDL	00:01:24,992	00:01:25,760	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Elf Rudolph
EDL	00:01:26,272	00:01:27,808	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	How they managed to stay friends
EDL	00:01:29,856	00:01:31,136	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Thank you for for coming
EDL	00:01:32,416	00:01:35,232	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	I am imagining a lot of pee
EDL	00:01:35,232	00:01:38,816	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	People in this room maybe even in the bathrooms of the Yerba Buena Center for the Arts
EDL	00:01:39,584	00:01:42,144	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	They will find that iconic bottle
EDL	00:01:42,656	00:01:44,448	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Of method hand soap
EDL	00:01:45,984	00:01:49,056	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Tell me how you got the idea can you tell us how the idea
EDL	00:01:49,056	00:01:49,568	| 20181114_hibt_summit-method.mp3_abdc95efa3b5e8157c9edffa97223d21_16385725 |	Can't you guys
