EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,792	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Support for this podcast
EDL	00:00:01,792	00:00:03,584	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	In the following message come from Madewell
EDL	00:00:03,584	00:00:05,888	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Where the motto is good day start
EDL	00:00:05,888	00:00:06,400	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	With great jeans
EDL	00:00:06,912	00:00:07,936	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Madewell offer
EDL	00:00:07,936	00:00:10,496	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Premium denim styles for seriously everyone
EDL	00:00:11,008	00:00:12,032	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Stop by a Madewell
EDL	00:00:12,544	00:00:14,080	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Or go to madewell.com
EDL	00:00:14,592	00:00:15,360	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Define your
EDL	00:00:15,360	00:00:15,872	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Perfect pear
EDL	00:00:16,896	00:00:23,296	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Before Christmas got a lot of press cell
EDL	00:00:23,296	00:00:29,696	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	But we found out when we placed our order that there was no way that our bag would be ready be
EDL	00:00:29,696	00:00:36,096	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	I don't know why it was so surprising to us we're like what do you mean like we have this time
EDL	00:00:36,096	00:00:42,496	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	And it said that if we ordered the bags by August would have them for the holidays
EDL	00:00:42,496	00:00:43,776	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Someone had said that we had to stop doing that
EDL	00:00:49,920	00:00:53,760	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	NPR how I built this
EDL	00:00:53,760	00:01:00,160	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Show about innovators entrepreneurs idealists and the stories behind the movement they built
EDL	00:01:00,160	00:01:06,560	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	I got a broken suitcase inspired
EDL	00:01:06,560	00:01:12,960	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Rubio to design a better one disrupt the multibillion-dollar luggage
EDL	00:01:12,960	00:01:14,496	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Instagrammable suitcase
EDL	00:01:15,008	00:01:15,520	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Away
EDL	00:01:20,384	00:01:23,200	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Standing at the baggage carousel at
EDL	00:01:23,200	00:01:23,712	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	At the airport
EDL	00:01:24,224	00:01:26,272	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Waiting for your bag to come around
EDL	00:01:26,272	00:01:29,600	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	The never-ending parade of black suitcases going by
EDL	00:01:30,368	00:01:35,488	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	And every now and then the person next to you rushes to grab one of those bags only to realize
EDL	00:01:36,000	00:01:37,280	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	It's not actually hers
EDL	00:01:38,304	00:01:39,840	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Who's a pretty common scenario
EDL	00:01:39,840	00:01:41,632	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Because a lot of people
EDL	00:01:41,632	00:01:42,656	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Suitcases
EDL	00:01:42,656	00:01:45,472	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Just the thing you shovel your stuff into when you go on a trip
EDL	00:01:46,240	00:01:49,568	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	450 bucks at TJ Maxx or on Amazon
EDL	00:01:50,080	00:01:51,616	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	And most of the time
EDL	00:01:51,616	00:01:54,176	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	You shove into a closet or under your bed
EDL	00:01:54,176	00:01:54,688	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Between trips
EDL	00:01:55,456	00:01:57,248	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Probably only last
EDL	00:01:57,248	00:01:59,296	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	A few years before the zipper breaks
EDL	00:01:59,296	00:02:00,576	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	The handle falls off
EDL	00:02:00,576	00:02:02,880	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	And most of us have always accepted that that's
EDL	00:02:02,880	00:02:04,160	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Just the way it is right
EDL	00:02:04,928	00:02:06,208	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Well Jen Rubio
EDL	00:02:08,000	00:02:11,584	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	And back in 2015 she had a hunch that other people might
EDL	00:02:12,608	00:02:16,192	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Needed help mid-range suitcases were designed they
EDL	00:02:16,192	00:02:17,984	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Boring and uninspired
EDL	00:02:18,496	00:02:20,288	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	She wanted something that would last
EDL	00:02:20,288	00:02:21,312	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	A long time and
EDL	00:02:21,312	00:02:23,104	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Create a bag
EDL	00:02:23,104	00:02:24,896	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	That would be I catching something
EDL	00:02:24,896	00:02:26,432	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	You want to show off at the airport
EDL	00:02:27,200	00:02:30,016	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Approached a friend named Steph Curry
EDL	00:02:30,016	00:02:31,552	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Who worked with her at Warby Parker
EDL	00:02:32,320	00:02:35,136	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	And the result of that partnership is away
EDL	00:02:35,136	00:02:41,536	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	It's a line of sleek suitcases that come in tons of colors like rose gold or violet or
EDL	00:02:41,536	00:02:42,048	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Sky blue
EDL	00:02:43,072	00:02:44,608	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Perks like a built-in phone charger
EDL	00:02:45,120	00:02:49,472	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Kind of bag you want to Instagram poll you travel the world
EDL	00:02:49,472	00:02:55,104	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Indians own story of traveling the world it started when she was a kid in the Philippines
EDL	00:02:55,104	00:02:58,688	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Your mom was a dentist and her dad was a business professor there
EDL	00:02:59,200	00:03:02,272	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Until one day when Jen found out that their lives
EDL	00:03:02,272	00:03:03,296	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	We're about to change
EDL	00:03:03,808	00:03:06,112	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	Remember when I was 7 years old
EDL	00:03:06,112	00:03:10,464	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	My parents told me that me and my brother and my mom were moving to
EDL	00:03:10,976	00:03:12,000	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	To the US
EDL	00:03:12,000	00:03:14,560	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	And we've never been and we are so excited
EDL	00:03:15,072	00:03:19,424	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	And they told us stories about how in the US it's
EDL	00:03:19,424	00:03:21,472	| 20190314_hibt_away-9e3a5587-74be-4a74-a4bc-93188f56d69f.mp3_1c4851d75d44e15b54c205ddd40f40b4_65909644 |	And we went to
