EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,792	| 20190503_hibt_framebridge.mp3_d0bae5a3d3e2d17f9c7d592b9802fee7_58639878 |	Support for this podcast
EDL	00:00:01,792	00:00:03,584	| 20190503_hibt_framebridge.mp3_d0bae5a3d3e2d17f9c7d592b9802fee7_58639878 |	In the following message come from Madewell
EDL	00:00:03,584	00:00:05,888	| 20190503_hibt_framebridge.mp3_d0bae5a3d3e2d17f9c7d592b9802fee7_58639878 |	Where the motto is good day start
EDL	00:00:05,888	00:00:06,400	| 20190503_hibt_framebridge.mp3_d0bae5a3d3e2d17f9c7d592b9802fee7_58639878 |	With great jeans
EDL	00:00:06,912	00:00:07,936	| 20190503_hibt_framebridge.mp3_d0bae5a3d3e2d17f9c7d592b9802fee7_58639878 |	Madewell offer
EDL	00:00:07,936	00:00:10,496	| 20190503_hibt_framebridge.mp3_d0bae5a3d3e2d17f9c7d592b9802fee7_58639878 |	Premium denim styles for seriously everyone
EDL	00:00:11,008	00:00:12,544	| 20190503_hibt_framebridge.mp3_d0bae5a3d3e2d17f9c7d592b9802fee7_58639878 |	Stop by a Madewell store
EDL	00:00:12,544	00:00:14,336	| 20190503_hibt_framebridge.mp3_d0bae5a3d3e2d17f9c7d592b9802fee7_58639878 |	Or go to madewell.com
EDL	00:00:14,336	00:00:15,360	| 20190503_hibt_framebridge.mp3_d0bae5a3d3e2d17f9c7d592b9802fee7_58639878 |	Define your
EDL	00:00:15,360	00:00:15,872	| 20190503_hibt_framebridge.mp3_d0bae5a3d3e2d17f9c7d592b9802fee7_58639878 |	Perfect pear
EDL	00:00:17,408	00:00:18,688	| 20190503_hibt_framebridge.mp3_d0bae5a3d3e2d17f9c7d592b9802fee7_58639878 |	Hey there we messed up
EDL	00:00:19,200	00:00:21,760	| 20190503_hibt_framebridge.mp3_d0bae5a3d3e2d17f9c7d592b9802fee7_58639878 |	We made a change to our web servers that we didn't expect
EDL	00:00:21,760	00:00:23,040	| 20190503_hibt_framebridge.mp3_d0bae5a3d3e2d17f9c7d592b9802fee7_58639878 |	To have any effect on podcast
EDL	00:00:24,064	00:00:25,088	| 20190503_hibt_framebridge.mp3_d0bae5a3d3e2d17f9c7d592b9802fee7_58639878 |	Clearly we were wrong
EDL	00:00:25,600	00:00:28,672	| 20190503_hibt_framebridge.mp3_d0bae5a3d3e2d17f9c7d592b9802fee7_58639878 |	And it forced a bunch of episodes in to NPR Podcast feed
