EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,536	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	Hey everyone it's got here so
EDL	00:00:02,048	00:00:02,816	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	2 years ago
EDL	00:00:04,096	00:00:05,888	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	Edible Aspen or her name is Macy
EDL	00:00:06,400	00:00:07,680	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	And may arrive
EDL	00:00:07,680	00:00:08,192	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	In the US
EDL	00:00:08,704	00:00:09,728	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	Basically not
EDL	00:00:09,728	00:00:11,008	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	Knowing a soul
EDL	00:00:11,008	00:00:12,288	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	20 years later
EDL	00:00:12,800	00:00:15,872	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	She wound up sitting next to President Barack Obama at the White House
EDL	00:00:16,384	00:00:19,200	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	Advising him on how to create jobs in America
EDL	00:00:19,712	00:00:20,992	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	Because creating jobs
EDL	00:00:21,504	00:00:23,296	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	Was exactly what nation was doing
EDL	00:00:23,808	00:00:24,576	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	With the
EDL	00:00:24,576	00:00:25,088	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	Candle Company
EDL	00:00:25,600	00:00:26,368	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	She don't
EDL	00:00:26,368	00:00:27,136	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	From the ground up
EDL	00:00:27,648	00:00:30,720	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	This episode first aired in March of 2017 it's a
EDL	00:00:30,720	00:00:32,256	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	Super amazing story and
EDL	00:00:32,768	00:00:33,280	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	Hope you enjoy it
EDL	00:00:35,072	00:00:41,472	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	We registered for the New York gift show which is the Holy Grail
EDL	00:00:41,472	00:00:47,872	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	I'll trade shows and we thought that this is going to be the ticket to Our Success
EDL	00:00:47,872	00:00:52,480	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	But you were wrong it was a complete disaster
EDL	00:00:58,112	00:01:04,512	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	Ron NPR how I built this a show about innovators entrepreneurs idealists
EDL	00:01:04,512	00:01:10,912	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	Stories behind the movements they built
EDL	00:01:10,912	00:01:15,776	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	Gyros in the story of how he left China for America
EDL	00:01:15,776	00:01:18,592	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	Use Campbell's Soup cans to make candles
EDL	00:01:18,592	00:01:21,408	| 20190614_hibt_chesapeakecandels.mp3_65a9f77664b926077e1f3c94b94dc574_43072368 |	Turn that into a multibillion-dollar company
