EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,512	00:00:01,792	| 20160824_pmoney_podcast082416.mp3_5b729b95d53b4cf14be9b181fe4ce140_25371135 |	Where are we again
EDL	00:00:02,304	00:00:04,608	| 20160824_pmoney_podcast082416.mp3_5b729b95d53b4cf14be9b181fe4ce140_25371135 |	We're between Waterville and
EDL	00:00:04,608	00:00:05,632	| 20160824_pmoney_podcast082416.mp3_5b729b95d53b4cf14be9b181fe4ce140_25371135 |	Blue Rapids
EDL	00:00:06,400	00:00:08,704	| 20160824_pmoney_podcast082416.mp3_5b729b95d53b4cf14be9b181fe4ce140_25371135 |	And just to recap the folks at home
EDL	00:00:09,216	00:00:11,520	| 20160824_pmoney_podcast082416.mp3_5b729b95d53b4cf14be9b181fe4ce140_25371135 |	What happened previous episode of Planet Money go
EDL	00:00:12,032	00:00:16,128	| 20160824_pmoney_podcast082416.mp3_5b729b95d53b4cf14be9b181fe4ce140_25371135 |	Okay we purchased oil from json Brian's in cans
EDL	00:00:16,128	00:00:19,200	| 20160824_pmoney_podcast082416.mp3_5b729b95d53b4cf14be9b181fe4ce140_25371135 |	We bought a hundred barrels we transported it
EDL	00:00:19,200	00:00:23,296	| 20160824_pmoney_podcast082416.mp3_5b729b95d53b4cf14be9b181fe4ce140_25371135 |	To a pipeline the pipeline with the refinery the refinery turned it into diesel
EDL	00:00:24,064	00:00:26,624	| 20160824_pmoney_podcast082416.mp3_5b729b95d53b4cf14be9b181fe4ce140_25371135 |	And then it sent it across Kansas and so
EDL	00:00:26,624	00:00:28,928	| 20160824_pmoney_podcast082416.mp3_5b729b95d53b4cf14be9b181fe4ce140_25371135 |	What we are is in the middle of Kansas
EDL	00:00:28,928	00:00:29,952	| 20160824_pmoney_podcast082416.mp3_5b729b95d53b4cf14be9b181fe4ce140_25371135 |	In the middle of cornfield
EDL	00:00:30,464	00:00:30,976	| 20160824_pmoney_podcast082416.mp3_5b729b95d53b4cf14be9b181fe4ce140_25371135 |	Looking for a
EDL	00:00:31,744	00:00:32,768	| 20160824_pmoney_podcast082416.mp3_5b729b95d53b4cf14be9b181fe4ce140_25371135 |	Hi this is Stacy Bennett
EDL	00:00:33,536	00:00:37,120	| 20160824_pmoney_podcast082416.mp3_5b729b95d53b4cf14be9b181fe4ce140_25371135 |	And I am Robert Smith this is it this is the last
EDL	00:00:37,120	00:00:37,888	| 20160824_pmoney_podcast082416.mp3_5b729b95d53b4cf14be9b181fe4ce140_25371135 |	Episode
EDL	00:00:37,888	00:00:40,960	| 20160824_pmoney_podcast082416.mp3_5b729b95d53b4cf14be9b181fe4ce140_25371135 |	About our oils Journey which is now Planet Money
EDL	00:00:40,960	00:00:43,008	| 20160824_pmoney_podcast082416.mp3_5b729b95d53b4cf14be9b181fe4ce140_25371135 |	Diesel and we're going to follow it all the way
EDL	00:00:43,776	00:00:44,800	| 20160824_pmoney_podcast082416.mp3_5b729b95d53b4cf14be9b181fe4ce140_25371135 |	The Council Bluffs Iowa
