EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:02,560	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Every once in awhile I
EDL	00:00:02,560	00:00:03,072	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Take
EDL	00:00:03,584	00:00:05,120	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Track train from New York to Washington
EDL	00:00:06,400	00:00:09,728	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	And the train goes through a couple cities that are doing really well they
EDL	00:00:10,240	00:00:12,032	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Your fancy new buildings along with Skyline
EDL	00:00:12,544	00:00:14,336	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	But Amtrak also goes through bolts
EDL	00:00:14,848	00:00:15,616	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	In Baltimore so different
EDL	00:00:16,384	00:00:19,456	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	It is a city that is shrinking it's lost about 30
EDL	00:00:19,456	00:00:21,248	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Percent of its population since 90
EDL	00:00:21,248	00:00:22,272	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	70
EDL	00:00:22,272	00:00:26,368	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	And what that means when the train goes through you see that Baltimore has all of these abandon
EDL	00:00:26,368	00:00:26,880	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Buildings
EDL	00:00:27,392	00:00:33,536	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	So there's one block in particular that you can actually see from the train window it is the 900 block
EDL	00:00:33,536	00:00:34,048	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	North Bradford
EDL	00:00:35,072	00:00:37,120	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	And it's he's 17
EDL	00:00:37,120	00:00:43,264	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Skinny two storey row houses that are all boarded up and they look basically like ruin
EDL	00:00:44,032	00:00:45,568	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	But every time I see them I wonder
EDL	00:00:45,568	00:00:47,360	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Why doesn't Baltimore just
EDL	00:00:47,360	00:00:48,128	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Tear those house
EDL	00:00:49,664	00:00:52,736	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	So couple of months ago I started going to Baltimore to ask about that
EDL	00:00:53,760	00:00:59,136	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	And I found out that there are a bunch of people including like everyone in the neighborhood
EDL	00:00:59,136	00:01:01,440	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Really want this block to be tomorrow
EDL	00:01:02,208	00:01:03,488	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Their leader
EDL	00:01:03,488	00:01:04,768	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Is a woman named Janice
EDL	00:01:04,768	00:01:05,792	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Jacob's Hudson
EDL	00:01:05,792	00:01:06,816	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	She has been around in this neighbor
EDL	00:01:06,816	00:01:07,328	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Brotherhood forever
EDL	00:01:07,840	00:01:10,144	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	And talking to her you realize
EDL	00:01:10,144	00:01:11,936	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	She just knows everyone
EDL	00:01:11,936	00:01:13,216	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Miss Savannah
EDL	00:01:13,216	00:01:15,776	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Who was the older lady she would come outside
EDL	00:01:15,776	00:01:17,312	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	And it won't heal or apron
EDL	00:01:17,312	00:01:23,456	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Woke up on a drug dealer in my neighborhood over you know yeah she did yes she did
EDL	00:01:25,504	00:01:26,784	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Janice has been on a mission
EDL	00:01:27,296	00:01:28,064	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Years
EDL	00:01:28,064	00:01:29,088	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	To get the city to tear this
EDL	00:01:30,368	00:01:31,136	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Calling
EDL	00:01:31,648	00:01:32,928	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Going downtown
EDL	00:01:33,440	00:01:37,280	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Being a thorn in their side I was a nuisance and I know I was
EDL	00:01:37,280	00:01:43,680	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	I meant Janice one afternoon at the place she hangs out which is an abandoned Factory that's been turned into a commune
EDL	00:01:43,680	00:01:46,240	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Unity center it's about four blocks from North Braddock
EDL	00:01:47,008	00:01:50,080	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	And we were sitting by the window and talking and all of a sudden
EDL	00:01:51,360	00:01:52,128	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Poppin
EDL	00:01:52,128	00:01:53,920	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	It's really hard to hear it at first
EDL	00:01:53,920	00:01:54,688	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Those gunshots
EDL	00:01:57,504	00:01:59,552	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	We got back from the windows
EDL	00:01:59,552	00:02:00,576	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	And then there were more shots
EDL	00:02:04,416	00:02:05,184	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Okay
EDL	00:02:06,464	00:02:08,512	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	1 2 3 4
EDL	00:02:08,512	00:02:09,792	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	So let me make a call
EDL	00:02:11,072	00:02:13,888	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	While Janice was calling I looked over her shoulder at her
EDL	00:02:13,888	00:02:15,424	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Her phone and she's got like
EDL	00:02:15,424	00:02:17,984	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	10 names in her contacts that start with
EDL	00:02:17,984	00:02:18,752	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Major
EDL	00:02:18,752	00:02:19,776	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Those are the names
EDL	00:02:19,776	00:02:21,824	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	The cops guy she knows personally
EDL	00:02:21,824	00:02:22,848	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Has she called one of them
EDL	00:02:22,848	00:02:24,896	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Listen I'm in the building right
EDL	00:02:24,896	00:02:27,968	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Sound like gunshots coming from down there in the
EDL	00:02:27,968	00:02:30,272	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	900 block of Rose Street
EDL	00:02:30,272	00:02:36,416	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Y'all got that okay good we're coming from a different place
EDL	00:02:36,928	00:02:39,232	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	But also one that has a bunch of abandoned house
EDL	00:02:40,000	00:02:41,024	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Ingenesis
EDL	00:02:41,536	00:02:43,584	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	This is kind of her point right
EDL	00:02:43,584	00:02:45,632	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	You got all these empty houses
EDL	00:02:45,632	00:02:47,936	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Emmys are places where drug dealers
EDL	00:02:47,936	00:02:50,752	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Come and they hang out and they hide out
EDL	00:02:50,752	00:02:55,104	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	And then it's like 3:30 on a random Wednesday afternoon and people are shooting at each
EDL	00:02:59,200	00:03:03,040	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Over the past six months I spent a lot of time on North Bradford
EDL	00:03:03,552	00:03:04,576	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Like a lot of
EDL	00:03:05,344	00:03:11,744	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	And I think I have figured out why it is so hard to tear down not just 17 empty
EDL	00:03:11,744	00:03:13,024	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Houses on a block and bolts
EDL	00:03:13,024	00:03:15,840	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	But why it is so hard to knock down
EDL	00:03:15,840	00:03:20,448	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	The millions of vacant houses in shrinking cities all across the United States
EDL	00:03:22,496	00:03:24,544	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Hello and welcome to Planet Money
EDL	00:03:24,544	00:03:30,432	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	And I'm Jacob Goldstein Noel you have gone on a journey here a literal and metaphorical Journey
EDL	00:03:30,432	00:03:34,528	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	And you have brought back for us a story of 17 houses
EDL	00:03:34,528	00:03:36,064	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	$700,000
EDL	00:03:36,576	00:03:38,368	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	And an amazing piece
EDL	00:03:38,368	00:03:39,136	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Of heavy
EDL	00:03:39,648	00:03:40,928	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	And I promise no more
EDL	00:03:46,048	00:03:49,888	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	We'd like to say a quick thank you and share a message from our planet money sponsor betterment
EDL	00:03:50,400	00:03:54,496	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Betterment has fundamentally changed the way Americans save and invest for their future
EDL	00:03:55,008	00:03:57,312	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Traditional investing Solutions are expensive
EDL	00:03:57,312	00:03:58,080	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	Complicated
EDL	00:03:58,080	00:03:58,848	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	I'm boring
EDL	00:03:58,848	00:04:03,200	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	But betterment was built from the ground up with sophisticated cutting-edge technology
EDL	00:04:03,712	00:04:06,016	| 20160826_pmoney_podcast082616.mp3_254dc347ea05c9c78b635d0594ab4a22_18559297 |	It recommends a personalized investment plan
