EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,536	00:00:04,096	| 20160921_pmoney_podcast092116.mp3_b8acae9aa3610b57899527733704628e_15516448 |	Sounds like 9:30 tonight at the supermarket
EDL	00:00:05,376	00:00:07,680	| 20160921_pmoney_podcast092116.mp3_b8acae9aa3610b57899527733704628e_15516448 |	For the story but also honestly because I need milk
EDL	00:00:10,240	00:00:12,544	| 20160921_pmoney_podcast092116.mp3_b8acae9aa3610b57899527733704628e_15516448 |	It's amazing how much milk two little kids drink
EDL	00:00:15,360	00:00:21,504	| 20160921_pmoney_podcast092116.mp3_b8acae9aa3610b57899527733704628e_15516448 |	Tell me where the milk is
EDL	00:00:23,040	00:00:25,344	| 20160921_pmoney_podcast092116.mp3_b8acae9aa3610b57899527733704628e_15516448 |	It's in the very back corner
EDL	00:00:25,344	00:00:26,112	| 20160921_pmoney_podcast092116.mp3_b8acae9aa3610b57899527733704628e_15516448 |	The store
EDL	00:00:26,112	00:00:26,880	| 20160921_pmoney_podcast092116.mp3_b8acae9aa3610b57899527733704628e_15516448 |	Milk
EDL	00:00:26,880	00:00:27,904	| 20160921_pmoney_podcast092116.mp3_b8acae9aa3610b57899527733704628e_15516448 |	The funny thing
EDL	00:00:27,904	00:00:32,256	| 20160921_pmoney_podcast092116.mp3_b8acae9aa3610b57899527733704628e_15516448 |	What are the most popular items and they put it as far as humanly possible from the entry
EDL	00:00:33,024	00:00:34,816	| 20160921_pmoney_podcast092116.mp3_b8acae9aa3610b57899527733704628e_15516448 |	There's a kind of story about why this is
EDL	00:00:34,816	00:00:37,632	| 20160921_pmoney_podcast092116.mp3_b8acae9aa3610b57899527733704628e_15516448 |	Maybe you've heard that my mom told this to me when I was a kid
EDL	00:00:38,144	00:00:40,448	| 20160921_pmoney_podcast092116.mp3_b8acae9aa3610b57899527733704628e_15516448 |	You know why milk is in the back of the store she said
EDL	00:00:40,448	00:00:42,496	| 20160921_pmoney_podcast092116.mp3_b8acae9aa3610b57899527733704628e_15516448 |	So you have to walk through the store to get it
