EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:07,424	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	It's been kind of a rough year for people who believe in free trade you know people in one country should be
EDL	00:00:07,424	00:00:09,728	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Be able to sell stuff to people in other countries
EDL	00:00:09,728	00:00:10,240	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Without too much
EDL	00:00:10,752	00:00:12,032	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Yeah there was this massive
EDL	00:00:12,032	00:00:16,640	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Trade deal that the US has been negotiating with Europe and that seems to be falling apart
EDL	00:00:16,640	00:00:18,688	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	People in the UK voted to leave
EDL	00:00:18,688	00:00:22,784	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	What is the largest free-trade Block in the world that European Union in a word over the bricks
EDL	00:00:22,784	00:00:26,880	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	The boat and the TPP the trans-pacific partnership
EDL	00:00:26,880	00:00:29,952	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Giant free trade deal that look like it was going to be
EDL	00:00:29,952	00:00:32,512	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	When a President Obama's biggest accomplishments
EDL	00:00:32,512	00:00:36,096	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	But the two people most likely to take Obama's job next year
EDL	00:00:36,096	00:00:38,656	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	The two candidates who agree on almost nothing
EDL	00:00:38,656	00:00:39,168	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Big Rihanna
EDL	00:00:39,680	00:00:41,728	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	TPP the trade deal
EDL	00:00:41,728	00:00:43,520	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Transpacific
EDL	00:00:43,520	00:00:45,568	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	A horrible deal for our country
EDL	00:00:46,336	00:00:47,872	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	I oppose it now
EDL	00:00:47,872	00:00:49,920	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	I'll oppose it after the election
EDL	00:00:49,920	00:00:51,456	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	And I'll oppose it as president
EDL	00:00:52,224	00:00:52,992	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	For decades
EDL	00:00:52,992	00:00:57,856	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	President after president Democrats and Republicans have all been Pro free trade
EDL	00:00:57,856	00:01:00,416	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	We've had one free trade deal after another
EDL	00:01:00,928	00:01:03,232	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Now it's like the complete opposite
EDL	00:01:03,744	00:01:04,256	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	What happened
EDL	00:01:04,768	00:01:06,816	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Hello and welcome to Planet Money I'm Jacob Goldstein
EDL	00:01:06,816	00:01:09,376	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Adam Robert Smith today on the show we pack
EDL	00:01:09,376	00:01:12,448	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	240 years of trade history
EDL	00:01:12,448	00:01:16,800	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Into a mirror 22 minutes we have a Scotsman kidnapped by
EDL	00:01:16,800	00:01:21,920	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Possibly apocryphal a hippie dream of world peace and revolutionaries in the street
EDL	00:01:24,736	00:01:25,504	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Bye
EDL	00:01:25,504	00:01:27,808	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	The most important idea in a canal
EDL	00:01:28,576	00:01:30,368	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	I mean one of the most important ideas
EDL	00:01:30,880	00:01:36,000	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Free train
EDL	00:01:36,000	00:01:40,096	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Support for this NPR Podcast and the following message come from Blue Apron
EDL	00:01:40,096	00:01:45,472	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Blue Apron partners with sustainable Farms fisheries and ranchers to bring you all the ingredients you need
EDL	00:01:45,472	00:01:47,520	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	To create incredible home cooked meals
EDL	00:01:47,520	00:01:52,640	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Ingredients compared with an easy-to-follow recipe card delivered to your door weekly in a refrigerated box
EDL	00:01:53,152	00:01:56,992	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	ReDiscover have fun cooking can be while enjoying specialty ingredients
EDL	00:01:56,992	00:01:58,528	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Exploring new flavors in cuisine
EDL	00:01:59,040	00:02:01,600	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Get your first three Blue Apron meals free
EDL	00:02:01,600	00:02:02,624	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Plus free shipping
EDL	00:02:02,624	00:02:05,184	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	By visiting blueapron.com planet
EDL	00:02:10,304	00:02:10,816	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Robert
EDL	00:02:11,840	00:02:12,608	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Jessica
EDL	00:02:12,608	00:02:13,632	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	I'm starting to show
EDL	00:02:15,168	00:02:16,448	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	I don't care what anybody says
EDL	00:02:16,960	00:02:18,496	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Adams 50 super interesting
EDL	00:02:19,008	00:02:24,384	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Keon trade and your world economic still have not talked about atoms within years and his big book
EDL	00:02:24,384	00:02:25,152	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	The Wealth of Nations
EDL	00:02:25,664	00:02:27,456	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Came out in 1776
EDL	00:02:27,456	00:02:30,016	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Perfect this is a show about America and trade
EDL	00:02:30,784	00:02:31,808	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	In three Acts
EDL	00:02:31,808	00:02:33,344	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Sao chapter 1
EDL	00:02:33,344	00:02:33,856	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Madam
EDL	00:02:34,368	00:02:34,880	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	I'm Adam
EDL	00:02:35,392	00:02:36,160	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	That's like a
EDL	00:02:36,160	00:02:38,720	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Call Grandpa palindrome
EDL	00:02:39,488	00:02:40,512	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	True
EDL	00:02:41,536	00:02:46,400	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	So okay for Adam Smith we talked to an economic historian named Doug Irwin and we said all right
EDL	00:02:46,912	00:02:49,984	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Let's start by telling the world how amazing Adam Smith
EDL	00:02:51,008	00:02:52,800	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Adam Smith lived with his mother
EDL	00:02:52,800	00:02:53,824	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	There's a bachelor
EDL	00:02:54,848	00:02:55,616	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	He didn't go out at night
EDL	00:02:57,664	00:02:59,200	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Come on you can do better than that
EDL	00:02:59,200	00:03:01,248	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	You of all people Duggar wedding
EDL	00:03:02,016	00:03:03,552	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	He was captured by gypsies
EDL	00:03:03,552	00:03:05,088	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	What is kidnapped
EDL	00:03:05,600	00:03:06,368	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	For real
EDL	00:03:06,880	00:03:08,928	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Yes the Adam Smith
EDL	00:03:08,928	00:03:10,208	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Liam Smith
EDL	00:03:10,208	00:03:11,744	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	He almost was lost Humanity
EDL	00:03:12,256	00:03:13,024	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Okay that's
EDL	00:03:13,024	00:03:14,304	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Possibly apocryphal that's
EDL	00:03:14,816	00:03:20,448	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	But but what is true is Adam Smith grew up and basically invented economics As We Know
EDL	00:03:20,960	00:03:22,752	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	An itchy part of that was
EDL	00:03:22,752	00:03:24,288	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Thinking about trade
EDL	00:03:24,288	00:03:25,568	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	In this way that was
EDL	00:03:25,568	00:03:27,616	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Really revolutionary and that frankly is
EDL	00:03:27,616	00:03:29,408	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Still Central to the way economist
EDL	00:03:29,920	00:03:31,968	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	So at the time people measured the wealth of
EDL	00:03:32,736	00:03:33,504	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	The wealth
EDL	00:03:33,504	00:03:34,016	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	Of a Nation
EDL	00:03:34,528	00:03:36,576	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	By how much gold
EDL	00:03:36,576	00:03:37,088	| 20160923_pmoney_pmpod.mp3_9039642d23947e8443ed3289cc2972ad_21657750 |	The country hat
