EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:03,584	| 20161014_pmoney_podcast101416.mp3_668a248bd0ed7486e170fb82ff400637_19325571 |	Support for NPR in the following message come from Pushkin and Des
EDL	00:00:04,096	00:00:06,144	| 20161014_pmoney_podcast101416.mp3_668a248bd0ed7486e170fb82ff400637_19325571 |	Presenting the podcast against the rules
EDL	00:00:06,656	00:00:10,240	| 20161014_pmoney_podcast101416.mp3_668a248bd0ed7486e170fb82ff400637_19325571 |	Michael Lewis explores the corrosion of fairness in America
EDL	00:00:10,240	00:00:12,800	| 20161014_pmoney_podcast101416.mp3_668a248bd0ed7486e170fb82ff400637_19325571 |	And what it has done to our society mostly
EDL	00:00:12,800	00:00:13,824	| 20161014_pmoney_podcast101416.mp3_668a248bd0ed7486e170fb82ff400637_19325571 |	Without our noticing
EDL	00:00:13,824	00:00:16,640	| 20161014_pmoney_podcast101416.mp3_668a248bd0ed7486e170fb82ff400637_19325571 |	Listen to against the rules wherever you get your pot
EDL	00:00:18,944	00:00:23,808	| 20161014_pmoney_podcast101416.mp3_668a248bd0ed7486e170fb82ff400637_19325571 |	Amy cop lives in Indiana and owns a white 2004 Subaru Impreza
EDL	00:00:24,320	00:00:25,344	| 20161014_pmoney_podcast101416.mp3_668a248bd0ed7486e170fb82ff400637_19325571 |	It is not
EDL	00:00:25,344	00:00:26,112	| 20161014_pmoney_podcast101416.mp3_668a248bd0ed7486e170fb82ff400637_19325571 |	A really nice car
EDL	00:00:26,880	00:00:30,464	| 20161014_pmoney_podcast101416.mp3_668a248bd0ed7486e170fb82ff400637_19325571 |	It's really banged up it's almost always dirty
EDL	00:00:32,256	00:00:35,072	| 20161014_pmoney_podcast101416.mp3_668a248bd0ed7486e170fb82ff400637_19325571 |	Even my three-year-old daughter sometimes
EDL	00:00:35,072	00:00:37,120	| 20161014_pmoney_podcast101416.mp3_668a248bd0ed7486e170fb82ff400637_19325571 |	I prefer to pretend that
EDL	00:00:37,120	00:00:38,400	| 20161014_pmoney_podcast101416.mp3_668a248bd0ed7486e170fb82ff400637_19325571 |	The other car is at
EDL	00:00:38,400	00:00:40,448	| 20161014_pmoney_podcast101416.mp3_668a248bd0ed7486e170fb82ff400637_19325571 |	Herpes school at her car
EDL	00:00:40,448	00:00:42,752	| 20161014_pmoney_podcast101416.mp3_668a248bd0ed7486e170fb82ff400637_19325571 |	What Amy really love
EDL	00:00:42,752	00:00:43,520	| 20161014_pmoney_podcast101416.mp3_668a248bd0ed7486e170fb82ff400637_19325571 |	This car
EDL	00:00:43,520	00:00:45,568	| 20161014_pmoney_podcast101416.mp3_668a248bd0ed7486e170fb82ff400637_19325571 |	This is the car that she drove
EDL	00:00:45,568	00:00:47,872	| 20161014_pmoney_podcast101416.mp3_668a248bd0ed7486e170fb82ff400637_19325571 |	Through a snowstorm in Indianapolis
EDL	00:00:47,872	00:00:49,664	| 20161014_pmoney_podcast101416.mp3_668a248bd0ed7486e170fb82ff400637_19325571 |	To bring her newborn daughter home from the house
