EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:04,096	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	I talked with a doctor in Venezuela the other day
EDL	00:00:04,096	00:00:04,608	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	Neurosurgeon
EDL	00:00:05,120	00:00:07,936	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	He's been working in the public hospitals in Caracas
EDL	00:00:07,936	00:00:08,704	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	For free
EDL	00:00:10,240	00:00:12,032	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	And recently he just
EDL	00:00:12,032	00:00:13,056	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	Had to quit
EDL	00:00:13,056	00:00:15,360	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	The conditions in the public Hospital
EDL	00:00:15,360	00:00:16,384	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	We're getting to Danger
EDL	00:00:17,152	00:00:20,480	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	I I didn't want to jeopardize anybody's life
EDL	00:00:20,480	00:00:21,760	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	Because of being responsive
EDL	00:00:22,528	00:00:24,320	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	I'm sure you've heard about the situation
EDL	00:00:24,320	00:00:25,088	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	In Venezuela right now
EDL	00:00:25,856	00:00:27,392	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	It's in the midst of this economic
EDL	00:00:27,392	00:00:28,160	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	Prices
EDL	00:00:28,160	00:00:29,696	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	Claps is probably a better word
EDL	00:00:30,208	00:00:32,256	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	There's almost no food on the shelves
EDL	00:00:32,256	00:00:33,024	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	The supermarket
EDL	00:00:33,024	00:00:33,792	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	Guitar riot
EDL	00:00:34,304	00:00:36,608	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	Inflation is estimated at 500%
EDL	00:00:36,608	00:00:38,656	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	And there are these rolling blackouts
EDL	00:00:38,656	00:00:39,424	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	Across the city
EDL	00:00:39,936	00:00:41,472	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	Which is a bad thing for neurosurgeon
EDL	00:00:41,984	00:00:45,824	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	I know colleagues who actually have ended their operation
EDL	00:00:45,824	00:00:47,360	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	With a flashlight that comes
EDL	00:00:47,360	00:00:47,872	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	In the cell phone
EDL	00:00:48,384	00:00:49,408	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	They've use that for
EDL	00:00:49,408	00:00:50,176	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	For surgery
EDL	00:00:50,176	00:00:50,944	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	Oh yeah 2
EDL	00:00:50,944	00:00:52,480	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	At at least to close a patient
EDL	00:00:52,992	00:00:55,808	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	It is inconceivable how they operate Hospital
EDL	00:00:55,808	00:00:56,576	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	In Venezuela
EDL	00:00:57,088	00:00:58,112	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	But they do
EDL	00:00:58,112	00:01:00,160	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	They just plant around the blackouts
EDL	00:01:00,160	00:01:02,976	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	And the water outages no water for hours at at
EDL	00:01:02,976	00:01:03,744	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	The time
EDL	00:01:03,744	00:01:05,280	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	And if you live in Caracas
EDL	00:01:05,280	00:01:07,072	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	And you have to go to the hospital you know
EDL	00:01:07,840	00:01:10,400	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	You should probably bring everything from home
EDL	00:01:10,400	00:01:11,424	| 20161021_pmoney_podcast102116.mp3_708771cf80c71316b2f344d6247357ba_18244605 |	There is essentially
