EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:07,424	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Hi Stacey Vanek Smith here today show is a rerun David kestenbaum reported for us back in 2004
EDL	00:00:07,424	00:00:12,800	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	14 it's about a country to try to make good on a whole lot of bad things that happened during the finance
EDL	00:00:12,800	00:00:13,312	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Crisis
EDL	00:00:13,824	00:00:14,336	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	That place
EDL	00:00:15,104	00:00:15,616	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Iceland
EDL	00:00:16,384	00:00:17,152	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Here's the show
EDL	00:00:18,176	00:00:20,480	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	There's this idea that dates back at least a biblica
EDL	00:00:21,504	00:00:24,064	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	It is that there should be a moment when debts are
EDL	00:00:25,344	00:00:25,856	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Call the Jubilee
EDL	00:00:26,624	00:00:27,904	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Used to throw this money
EDL	00:00:27,904	00:00:28,416	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Now you don't
EDL	00:00:28,928	00:00:30,976	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Where the Bible describes at the Jubilee with a big
EDL	00:00:31,744	00:00:33,536	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Is supposed to happen every 50 years or so
EDL	00:00:34,048	00:00:35,328	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Apparently a trumpet
EDL	00:00:35,328	00:00:36,864	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	A Ram's Horn was blown
EDL	00:00:36,864	00:00:38,656	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	And they're Adidas release from debt
EDL	00:00:39,168	00:00:41,216	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	In Deuteronomy the Jubilee is described
EDL	00:00:41,216	00:00:41,728	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Vesely
EDL	00:00:42,240	00:00:45,312	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Every creditor that lendeth unto his neighbor shall release it
EDL	00:00:45,824	00:00:48,384	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	You shall not exactly does his neighbor or of his brother
EDL	00:00:48,384	00:00:50,432	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Because it is called the Lord's release
EDL	00:00:51,456	00:00:54,016	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Getting with that debt is something that can enslave you
EDL	00:00:54,528	00:00:55,552	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	And every so often.
EDL	00:00:55,552	00:00:56,320	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Was best to just wipe
EDL	00:00:57,856	00:01:00,160	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Did you believe not gotten a lot of traction in the modern
EDL	00:01:00,928	00:01:02,976	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	You may remember after the financial crisis summary
EDL	00:01:02,976	00:01:04,768	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	The Occupy Wall Street protesters
EDL	00:01:04,768	00:01:05,280	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	We're calling for a
EDL	00:01:06,304	00:01:07,328	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Basically it ended
EDL	00:01:08,352	00:01:12,192	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Today on the show we have a story about a country that is actually trying it
EDL	00:01:12,192	00:01:18,592	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Trying a jubilee hello and welcome to planet
EDL	00:01:18,592	00:01:24,992	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Money on David kestenbaum what happens when you just wipe debt clean
EDL	00:01:24,992	00:01:31,392	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Money and the following message come from Goldman Sachs get insights from some of the world's leading thinkers on markets and destroy
EDL	00:01:31,392	00:01:37,792	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	And the global economy on the firm's podcast exchanges at Goldman Sachs you'll hear discussions on topics
EDL	00:01:37,792	00:01:44,192	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	The far-reaching implications like climate change autonomous driving the future of China's economic drug plus much more
EDL	00:01:44,192	00:01:50,592	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	That's exchanges at Goldman Sachs available on iTunes Stitcher SoundCloud on Google Play. GS
EDL	00:01:50,592	00:01:56,992	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	. com podcast
EDL	00:01:56,992	00:01:59,808	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Got into debt the way most people
EDL	00:02:00,576	00:02:02,112	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	She bought something she loved
EDL	00:02:02,112	00:02:02,624	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	But you didn't have them
EDL	00:02:03,648	00:02:04,928	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Small wooden house in Dracut
EDL	00:02:05,440	00:02:09,536	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	I really like the place because it had such a homey feel they mean the
EDL	00:02:09,536	00:02:13,632	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Play the floors are wooden and everything is kind of like old style
EDL	00:02:13,632	00:02:15,680	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	The Windows 7
EDL	00:02:15,680	00:02:17,216	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Describe cute somehow
EDL	00:02:17,728	00:02:20,544	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	You may remember that from one of our earlier Iceland shows
EDL	00:02:20,544	00:02:22,592	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	She's got a little boy named Oscar
EDL	00:02:22,592	00:02:25,152	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	When I visited a few years ago it was cold
EDL	00:02:25,152	00:02:28,224	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Bundling little Oscar out so he could sleep outside
EDL	00:02:28,224	00:02:28,992	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Big stroller
EDL	00:02:28,992	00:02:30,272	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	That's a thing people do at Iceland
EDL	00:02:30,784	00:02:32,320	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Just leave your kid outside and pop into a
EDL	00:02:33,344	00:02:36,160	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	I meant Heather through our former intern Boulder hidden
EDL	00:02:36,928	00:02:39,232	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	A tall guy who were crazy sneakers
EDL	00:02:39,232	00:02:41,536	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	PhD in math but also did some DJing it
EDL	00:02:42,560	00:02:45,376	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Like him. He also took on a bunch of debt to buy his
EDL	00:02:45,888	00:02:48,448	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	An apartment downtown not far from the old Harbour
EDL	00:02:48,960	00:02:51,008	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	I asked him to walk out on the balcony and describe the
EDL	00:02:51,520	00:02:53,568	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	There's a Domino's Pizza on
EDL	00:02:53,568	00:02:54,848	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	And there's a seven-eleven
EDL	00:02:55,360	00:02:58,432	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	Hirano store Volcano
EDL	00:02:58,432	00:03:00,736	| 20161223_pmoney_podcast122316.mp3_0eb183c7c0fe4799f9684ecbab3e176a_19178959 |	But there are like two little
