EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,280	00:00:02,304	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	There is this
EDL	00:00:02,304	00:00:03,072	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Race
EDL	00:00:03,072	00:00:04,608	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Going on right now in Washington
EDL	00:00:04,608	00:00:06,400	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	To DC this week it's a sort of
EDL	00:00:06,400	00:00:07,168	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Sprint
EDL	00:00:07,168	00:00:09,984	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	And the finish line is Friday at noon
EDL	00:00:09,984	00:00:10,496	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Inauguration
EDL	00:00:11,008	00:00:14,336	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	The desperate Runners are all the people who work for borracho
EDL	00:00:14,336	00:00:16,384	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Obama all the people in his administration
EDL	00:00:16,384	00:00:18,688	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	And they were trying in these last days
EDL	00:00:18,688	00:00:22,272	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Put in place everything they can to ensure the legacy of this president
EDL	00:00:22,784	00:00:24,064	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Before the next one comes in
EDL	00:00:24,064	00:00:26,368	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	They tried to match up some last-minute wins
EDL	00:00:26,368	00:00:30,464	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	The Obama Administration is creating new national monuments in Oregon
EDL	00:00:30,464	00:00:32,000	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	California Utah
EDL	00:00:32,000	00:00:37,376	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Alabama Bunch places speed band offshore drilling in Parts of Alaska for trying to protect funding for play
EDL	00:00:37,376	00:00:37,888	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Planned Parenthood
EDL	00:00:38,400	00:00:39,936	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	They released a bunch of prisoners from
EDL	00:00:39,936	00:00:45,312	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Guantanamo a picture of going to the rulebook for the president and trying to figure out if there's anything else they can
EDL	00:00:45,312	00:00:47,616	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Possibly do with the powers of the presidency
EDL	00:00:47,616	00:00:48,896	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Before Donald Trump is smart
EDL	00:00:49,408	00:00:50,944	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Andeavor your building is legacy
EDL	00:00:50,944	00:00:56,064	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	You can see the Republican Congress already trying to remove the bricks to undo everything they can
EDL	00:00:56,064	00:00:57,344	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Fast of the Obama people
EDL	00:00:58,112	00:01:02,720	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	And it's amazing moment to see because a lot of this drama this race
EDL	00:01:02,720	00:01:03,744	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	It comes down to things
EDL	00:01:03,744	00:01:06,048	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	We don't usually think about when we think about government
EDL	00:01:06,560	00:01:08,352	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Because it's not about passing laws
EDL	00:01:08,352	00:01:09,632	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Signing bills or statue
EDL	00:01:10,144	00:01:10,912	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	It's rules
EDL	00:01:10,912	00:01:11,680	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Rules
EDL	00:01:11,680	00:01:13,472	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Thousands of pages of rules
EDL	00:01:13,472	00:01:15,520	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	The take vague laws and make them
EDL	00:01:15,520	00:01:16,288	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	A reality
EDL	00:01:16,288	00:01:19,360	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	The political balance in Washington DC may have shifted
EDL	00:01:19,360	00:01:22,688	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	But the real power is in the hands of the people who write the rules
EDL	00:01:23,200	00:01:25,504	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	And the rules to get put in place this week
EDL	00:01:25,504	00:01:26,784	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	May stick around forever
EDL	00:01:28,832	00:01:29,856	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Hello and welcome
EDL	00:01:29,856	00:01:36,000	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Planet Money I'm Stacey Vanek Smith and Robert Smith today on the show we will take a single last minute Obama
EDL	00:01:36,512	00:01:38,304	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	May very well be
EDL	00:01:38,304	00:01:42,144	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	The very last thing that President Obama does in office
EDL	00:01:42,656	00:01:46,240	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	This rule goes into effect the day before Trump is not great on Thursday
EDL	00:01:46,752	00:01:49,824	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	And we will show you how this rule came about and how it works
EDL	00:01:49,824	00:01:55,456	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	It's a rule that could help clean up polluted streams and lakes and could also cost big companies a lot
EDL	00:01:55,456	00:01:57,760	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Of money it's a rule that could change this country
EDL	00:01:58,272	00:02:01,088	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	And it all depends on whether or not Congress could dismantle it
EDL	00:02:01,856	00:02:02,624	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	And that
EDL	00:02:02,624	00:02:03,904	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Is a question of timing
EDL	00:02:08,000	00:02:11,328	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Support for Planet Money and the following message come from betterment
EDL	00:02:11,328	00:02:13,120	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	A smarter way to invest your money
EDL	00:02:13,632	00:02:20,032	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Betterment combine time-tested investing principles with the transparency and ease-of-use you expecting great things
EDL	00:02:20,032	00:02:22,592	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Nagi focusing on lowering fees and tax
EDL	00:02:23,104	00:02:24,640	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	And here's what you might find
EDL	00:02:24,640	00:02:25,408	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Refreshing
EDL	00:02:25,408	00:02:30,528	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Betterment really cares that you reach your financial goals and that's why they keep their fees
EDL	00:02:30,528	00:02:31,296	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Low
EDL	00:02:31,296	00:02:34,112	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Planet Money listeners can get one month management free
EDL	00:02:34,624	00:02:37,952	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	For more information visit betterment.com Planet Money
EDL	00:02:41,024	00:02:45,376	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	This last-minute rules slipped in just under the wire is not some
EDL	00:02:45,888	00:02:48,192	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Final Obama screw you to Republican
EDL	00:02:48,704	00:02:49,984	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	In fact it has been in the works
EDL	00:02:50,496	00:02:51,520	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	For a long time
EDL	00:02:51,520	00:02:52,544	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	A very long time
EDL	00:02:52,544	00:02:55,104	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Long before Obama even got his law degree
EDL	00:02:55,616	00:02:56,896	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	This story started
EDL	00:02:57,664	00:02:58,176	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	With a coal miner
EDL	00:02:58,688	00:03:02,528	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Before we get started could I get you to introduce yourself with a Hello my name is
EDL	00:03:05,600	00:03:06,880	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	My name is
EDL	00:03:07,648	00:03:08,416	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Chuck Nelson
EDL	00:03:08,928	00:03:11,232	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	A retired coal miner
EDL	00:03:11,232	00:03:13,792	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	About 30 years at working Underground
EDL	00:03:14,304	00:03:16,864	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	I'm a fourth-generation coal miner so
EDL	00:03:17,376	00:03:20,960	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Father grandfather great grandfather we all work in the mines
EDL	00:03:21,984	00:03:22,752	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Habanero
EDL	00:03:25,312	00:03:28,640	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	1980s check had a job loading coal onto a conveyor
EDL	00:03:29,152	00:03:31,712	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	He was living in Sylvester West Virginia with his wife into
EDL	00:03:32,480	00:03:34,528	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	And he was used to dirt and cold us
EDL	00:03:34,528	00:03:35,040	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Down in the mine
EDL	00:03:35,552	00:03:38,880	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	But then a coal processing plant was built right near his home
EDL	00:03:39,392	00:03:40,672	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	We start eating a lot of cold
EDL	00:03:41,184	00:03:42,208	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Hummingbird bath
EDL	00:03:42,976	00:03:45,536	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	I may not go to work and come home at night
EDL	00:03:45,536	00:03:47,584	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Tonight will be a half inch Eco test
EDL	00:03:47,584	00:03:50,144	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Everything in the house what is coldest look like
EDL	00:03:50,912	00:03:52,448	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	It's just black powder
EDL	00:03:53,216	00:03:55,008	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Sis light on your tables on
EDL	00:03:55,008	00:03:55,520	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Ford
EDL	00:03:57,312	00:03:58,336	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Beyond
EDL	00:03:58,336	00:04:02,176	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	It would even get in the refrigerator that's for this stuff again
EDL	00:04:02,688	00:04:07,552	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Chuck's kids couldn't swim in their pool because there was this thick black skin on the water all the time
EDL	00:04:07,552	00:04:10,368	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Text wife started having really bad asthma problems
EDL	00:04:10,368	00:04:11,648	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Complain to the coal company
EDL	00:04:12,160	00:04:12,928	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	End
EDL	00:04:12,928	00:04:13,440	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	They ignored her
EDL	00:04:14,208	00:04:15,744	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	And this made Chuck angry
EDL	00:04:16,256	00:04:18,815	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	Sauschuck started to talk to Environmental Group
EDL	00:04:18,815	00:04:19,583	| 20170118_pmoney_podcast011816.mp3_165c84dbb4bb27345802ceef4f2a1f99_22514542 |	The advocacy group
