EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,512	00:00:02,048	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	Edward was 28 years old
EDL	00:00:02,048	00:00:04,864	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	He was an academic scholar he just started teaching math at MIT
EDL	00:00:05,376	00:00:09,472	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	And on a gray February afternoon a blue Cadillac pulled up outside
EDL	00:00:09,472	00:00:09,984	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	Department
EDL	00:00:10,496	00:00:13,056	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	Pretty blonde got out of the passenger side
EDL	00:00:13,824	00:00:16,384	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	Another pretty blonde got out of the driver side
EDL	00:00:16,896	00:00:17,664	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	Amanda
EDL	00:00:17,664	00:00:18,432	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	White haired
EDL	00:00:19,200	00:00:20,224	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	Kind of short
EDL	00:00:20,736	00:00:23,552	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	Elderly man in a long cashmere coat
EDL	00:00:23,552	00:00:26,112	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	Got out here and snuggled up between the two blondes
EDL	00:00:26,624	00:00:28,160	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	They knocked on the door
EDL	00:00:28,672	00:00:31,232	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	The man introduced the young women as his nieces
EDL	00:00:31,232	00:00:33,792	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	I was not even I I believe it but my wife
EDL	00:00:34,304	00:00:36,864	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	Angrily disagreed is it not nice
EDL	00:00:38,144	00:00:39,680	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	And what was this guy's name
EDL	00:00:40,704	00:00:42,496	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	His name was Emmanuel Kimmel
EDL	00:00:42,496	00:00:43,520	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	Its 1960
EDL	00:00:44,288	00:00:46,592	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	Kimmel tells Thor he's a wealthy businessman
EDL	00:00:46,592	00:00:47,104	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	And in the parking lot
EDL	00:00:47,616	00:00:48,128	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	New York
EDL	00:00:48,640	00:00:52,480	| 20170120_pmoney_podacst012016.mp3_5b45df6af403ffe90ee3ba2fe9f8db6a_18274069 |	He does not tell Thorpe that he used to be in the illegal gambling business
