EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:05,120	| 20170127_pmoney_podcast012716.mp3_0f3dcc8b44c6b782cc0c62f172de1d5c_19211309 |	Support for NPR and the following message come from service now making the world of work
EDL	00:00:05,120	00:00:05,888	| 20170127_pmoney_podcast012716.mp3_0f3dcc8b44c6b782cc0c62f172de1d5c_19211309 |	Work better for me
EDL	00:00:06,400	00:00:07,424	| 20170127_pmoney_podcast012716.mp3_0f3dcc8b44c6b782cc0c62f172de1d5c_19211309 |	They're cloud-based
EDL	00:00:07,424	00:00:08,960	| 20170127_pmoney_podcast012716.mp3_0f3dcc8b44c6b782cc0c62f172de1d5c_19211309 |	Platform and solutions
EDL	00:00:08,960	00:00:09,984	| 20170127_pmoney_podcast012716.mp3_0f3dcc8b44c6b782cc0c62f172de1d5c_19211309 |	Deliver digital workflow
EDL	00:00:10,496	00:00:15,360	| 20170127_pmoney_podcast012716.mp3_0f3dcc8b44c6b782cc0c62f172de1d5c_19211309 |	Spell create great experiences and unlock productivity for your whole company
EDL	00:00:15,360	00:00:17,152	| 20170127_pmoney_podcast012716.mp3_0f3dcc8b44c6b782cc0c62f172de1d5c_19211309 |	More at servicenow.com
EDL	00:00:18,944	00:00:20,480	| 20170127_pmoney_podcast012716.mp3_0f3dcc8b44c6b782cc0c62f172de1d5c_19211309 |	Alex goldmark
EDL	00:00:20,992	00:00:25,088	| 20170127_pmoney_podcast012716.mp3_0f3dcc8b44c6b782cc0c62f172de1d5c_19211309 |	I want to talk for half a second about something that President Trump said in his inaugural
EDL	00:00:25,856	00:00:27,136	| 20170127_pmoney_podcast012716.mp3_0f3dcc8b44c6b782cc0c62f172de1d5c_19211309 |	One by one
EDL	00:00:27,136	00:00:28,416	| 20170127_pmoney_podcast012716.mp3_0f3dcc8b44c6b782cc0c62f172de1d5c_19211309 |	The factory shutter
EDL	00:00:28,928	00:00:30,208	| 20170127_pmoney_podcast012716.mp3_0f3dcc8b44c6b782cc0c62f172de1d5c_19211309 |	And left our Shores
EDL	00:00:30,976	00:00:32,256	| 20170127_pmoney_podcast012716.mp3_0f3dcc8b44c6b782cc0c62f172de1d5c_19211309 |	With not even
EDL	00:00:32,256	00:00:33,024	| 20170127_pmoney_podcast012716.mp3_0f3dcc8b44c6b782cc0c62f172de1d5c_19211309 |	I thought
