EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:04,352	| 20170510_pmoney_pmpod770.mp3_80c5d725f2d7dd60267594b2d7aba731_23062384 |	Support for this NPR Podcast in the following message come from The UPS Store
EDL	00:00:04,352	00:00:07,424	| 20170510_pmoney_pmpod770.mp3_80c5d725f2d7dd60267594b2d7aba731_23062384 |	Offering services from shredding to printing to mailbox
EDL	00:00:07,424	00:00:09,984	| 20170510_pmoney_pmpod770.mp3_80c5d725f2d7dd60267594b2d7aba731_23062384 |	And instead of closing this Memorial Day weekend
EDL	00:00:09,984	00:00:11,520	| 20170510_pmoney_pmpod770.mp3_80c5d725f2d7dd60267594b2d7aba731_23062384 |	May 24th and 25th
EDL	00:00:11,520	00:00:14,592	| 20170510_pmoney_pmpod770.mp3_80c5d725f2d7dd60267594b2d7aba731_23062384 |	The UPS Store is doing another thing altogether
EDL	00:00:14,592	00:00:15,360	| 20170510_pmoney_pmpod770.mp3_80c5d725f2d7dd60267594b2d7aba731_23062384 |	Opening
EDL	00:00:15,360	00:00:16,384	| 20170510_pmoney_pmpod770.mp3_80c5d725f2d7dd60267594b2d7aba731_23062384 |	The UPS Store
EDL	00:00:16,384	00:00:18,432	| 20170510_pmoney_pmpod770.mp3_80c5d725f2d7dd60267594b2d7aba731_23062384 |	Everything for small business
EDL	00:00:18,432	00:00:19,712	| 20170510_pmoney_pmpod770.mp3_80c5d725f2d7dd60267594b2d7aba731_23062384 |	And of course shipping
EDL	00:00:21,248	00:00:24,576	| 20170510_pmoney_pmpod770.mp3_80c5d725f2d7dd60267594b2d7aba731_23062384 |	Maybe the most dramatic thing to happen in economics
EDL	00:00:24,576	00:00:25,600	| 20170510_pmoney_pmpod770.mp3_80c5d725f2d7dd60267594b2d7aba731_23062384 |	In the last year
EDL	00:00:25,600	00:00:26,368	| 20170510_pmoney_pmpod770.mp3_80c5d725f2d7dd60267594b2d7aba731_23062384 |	Happened in India
EDL	00:00:27,392	00:00:28,416	| 20170510_pmoney_pmpod770.mp3_80c5d725f2d7dd60267594b2d7aba731_23062384 |	On November 8th
