EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:04,608	| 20170517_pmoney_pmpod606rerun.mp3_e9dc8dcc45c7c7f6b0d8bc8f4ca6be8f_19295719 |	Text Jacob Goldstein Today Show is a rerun from mm
EDL	00:00:06,400	00:00:08,960	| 20170517_pmoney_pmpod606rerun.mp3_e9dc8dcc45c7c7f6b0d8bc8f4ca6be8f_19295719 |	I recently came across this article from 1980
EDL	00:00:09,728	00:00:15,872	| 20170517_pmoney_pmpod606rerun.mp3_e9dc8dcc45c7c7f6b0d8bc8f4ca6be8f_19295719 |	It's an article about this new possibly dangerous thing that is about to transform the world
EDL	00:00:15,872	00:00:18,944	| 20170517_pmoney_pmpod606rerun.mp3_e9dc8dcc45c7c7f6b0d8bc8f4ca6be8f_19295719 |	And if you read the title of this episode you already know it is
EDL	00:00:18,944	00:00:20,992	| 20170517_pmoney_pmpod606rerun.mp3_e9dc8dcc45c7c7f6b0d8bc8f4ca6be8f_19295719 |	Is but let me just read you a little excerpt
EDL	00:00:20,992	00:00:21,760	| 20170517_pmoney_pmpod606rerun.mp3_e9dc8dcc45c7c7f6b0d8bc8f4ca6be8f_19295719 |	In the article because
EDL	00:00:22,272	00:00:22,784	| 20170517_pmoney_pmpod606rerun.mp3_e9dc8dcc45c7c7f6b0d8bc8f4ca6be8f_19295719 |	Because I love
EDL	00:00:23,296	00:00:24,064	| 20170517_pmoney_pmpod606rerun.mp3_e9dc8dcc45c7c7f6b0d8bc8f4ca6be8f_19295719 |	Pier
EDL	00:00:24,064	00:00:25,856	| 20170517_pmoney_pmpod606rerun.mp3_e9dc8dcc45c7c7f6b0d8bc8f4ca6be8f_19295719 |	When you quote boot
EDL	00:00:25,856	00:00:28,416	| 20170517_pmoney_pmpod606rerun.mp3_e9dc8dcc45c7c7f6b0d8bc8f4ca6be8f_19295719 |	The program into your personal computer
EDL	00:00:28,928	00:00:33,280	| 20170517_pmoney_pmpod606rerun.mp3_e9dc8dcc45c7c7f6b0d8bc8f4ca6be8f_19295719 |	You see little more than some letters running across the top of the display screen
EDL	00:00:33,280	00:00:35,072	| 20170517_pmoney_pmpod606rerun.mp3_e9dc8dcc45c7c7f6b0d8bc8f4ca6be8f_19295719 |	And some numbers running down the side
EDL	00:00:36,096	00:00:38,144	| 20170517_pmoney_pmpod606rerun.mp3_e9dc8dcc45c7c7f6b0d8bc8f4ca6be8f_19295719 |	The quote cursor
EDL	00:00:38,144	00:00:41,728	| 20170517_pmoney_pmpod606rerun.mp3_e9dc8dcc45c7c7f6b0d8bc8f4ca6be8f_19295719 |	A tiny block of light on the screen that acts like a kind of
EDL	00:00:41,728	00:00:42,752	| 20170517_pmoney_pmpod606rerun.mp3_e9dc8dcc45c7c7f6b0d8bc8f4ca6be8f_19295719 |	Electronic pencil
EDL	00:00:43,520	00:00:44,800	| 20170517_pmoney_pmpod606rerun.mp3_e9dc8dcc45c7c7f6b0d8bc8f4ca6be8f_19295719 |	Can be moved
EDL	00:00:45,312	00:00:47,616	| 20170517_pmoney_pmpod606rerun.mp3_e9dc8dcc45c7c7f6b0d8bc8f4ca6be8f_19295719 |	Parentheses by touch of the computer keyboard
EDL	00:00:47,616	00:00:49,152	| 20170517_pmoney_pmpod606rerun.mp3_e9dc8dcc45c7c7f6b0d8bc8f4ca6be8f_19295719 |	Do any cell in order to
EDL	00:00:49,152	00:00:50,688	| 20170517_pmoney_pmpod606rerun.mp3_e9dc8dcc45c7c7f6b0d8bc8f4ca6be8f_19295719 |	To quote input
EDL	00:00:50,688	00:00:51,200	| 20170517_pmoney_pmpod606rerun.mp3_e9dc8dcc45c7c7f6b0d8bc8f4ca6be8f_19295719 |	Numbers or
