EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,024	| 20170616_pmoney_podcast061617dynamic-2aafa413-7977-4f09-9900-8e63ce266fb9.mp3_d5d17d088675ce7c2b5db8b948c51003_18552027 |	Support for this in
EDL	00:00:01,024	00:00:02,048	| 20170616_pmoney_podcast061617dynamic-2aafa413-7977-4f09-9900-8e63ce266fb9.mp3_d5d17d088675ce7c2b5db8b948c51003_18552027 |	NPR Podcast
EDL	00:00:02,048	00:00:03,840	| 20170616_pmoney_podcast061617dynamic-2aafa413-7977-4f09-9900-8e63ce266fb9.mp3_d5d17d088675ce7c2b5db8b948c51003_18552027 |	The following message come from that UPS
EDL	00:00:04,352	00:00:06,144	| 20170616_pmoney_podcast061617dynamic-2aafa413-7977-4f09-9900-8e63ce266fb9.mp3_d5d17d088675ce7c2b5db8b948c51003_18552027 |	Offering services from shredding
EDL	00:00:06,144	00:00:07,168	| 20170616_pmoney_podcast061617dynamic-2aafa413-7977-4f09-9900-8e63ce266fb9.mp3_d5d17d088675ce7c2b5db8b948c51003_18552027 |	To printing to mailbox
EDL	00:00:07,680	00:00:09,472	| 20170616_pmoney_podcast061617dynamic-2aafa413-7977-4f09-9900-8e63ce266fb9.mp3_d5d17d088675ce7c2b5db8b948c51003_18552027 |	And instead of closing this Memorial Day we
EDL	00:00:09,984	00:00:11,520	| 20170616_pmoney_podcast061617dynamic-2aafa413-7977-4f09-9900-8e63ce266fb9.mp3_d5d17d088675ce7c2b5db8b948c51003_18552027 |	May 24th and 25th
EDL	00:00:11,520	00:00:12,544	| 20170616_pmoney_podcast061617dynamic-2aafa413-7977-4f09-9900-8e63ce266fb9.mp3_d5d17d088675ce7c2b5db8b948c51003_18552027 |	The UPS Store
EDL	00:00:12,544	00:00:13,824	| 20170616_pmoney_podcast061617dynamic-2aafa413-7977-4f09-9900-8e63ce266fb9.mp3_d5d17d088675ce7c2b5db8b948c51003_18552027 |	He's doing another thing
EDL	00:00:13,824	00:00:14,592	| 20170616_pmoney_podcast061617dynamic-2aafa413-7977-4f09-9900-8e63ce266fb9.mp3_d5d17d088675ce7c2b5db8b948c51003_18552027 |	All together
EDL	00:00:14,592	00:00:15,360	| 20170616_pmoney_podcast061617dynamic-2aafa413-7977-4f09-9900-8e63ce266fb9.mp3_d5d17d088675ce7c2b5db8b948c51003_18552027 |	Opening
EDL	00:00:15,360	00:00:16,384	| 20170616_pmoney_podcast061617dynamic-2aafa413-7977-4f09-9900-8e63ce266fb9.mp3_d5d17d088675ce7c2b5db8b948c51003_18552027 |	The UPS Store
EDL	00:00:16,384	00:00:18,432	| 20170616_pmoney_podcast061617dynamic-2aafa413-7977-4f09-9900-8e63ce266fb9.mp3_d5d17d088675ce7c2b5db8b948c51003_18552027 |	Everything for small business
EDL	00:00:18,432	00:00:19,712	| 20170616_pmoney_podcast061617dynamic-2aafa413-7977-4f09-9900-8e63ce266fb9.mp3_d5d17d088675ce7c2b5db8b948c51003_18552027 |	And of course shipping
EDL	00:00:20,736	00:00:24,064	| 20170616_pmoney_podcast061617dynamic-2aafa413-7977-4f09-9900-8e63ce266fb9.mp3_d5d17d088675ce7c2b5db8b948c51003_18552027 |	You would have a hard time finding a country that has been
EDL	00:00:24,064	00:00:24,576	| 20170616_pmoney_podcast061617dynamic-2aafa413-7977-4f09-9900-8e63ce266fb9.mp3_d5d17d088675ce7c2b5db8b948c51003_18552027 |	Lucky
EDL	00:00:25,088	00:00:26,624	| 20170616_pmoney_podcast061617dynamic-2aafa413-7977-4f09-9900-8e63ce266fb9.mp3_d5d17d088675ce7c2b5db8b948c51003_18552027 |	Over the last several decades
EDL	00:00:26,624	00:00:28,416	| 20170616_pmoney_podcast061617dynamic-2aafa413-7977-4f09-9900-8e63ce266fb9.mp3_d5d17d088675ce7c2b5db8b948c51003_18552027 |	In the Middle East State of Qatar
