EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,280	00:00:05,120	| 20170719_pmoney_pmpod594rerun-bc6e7b54-0072-427c-9ab6-bbc8ace2b184.mp3_ba063cb4949f2f90bda23d91adf9d734_19737389 |	Just a quick note Today Show originally ran in 2014
EDL	00:00:05,632	00:00:06,912	| 20170719_pmoney_pmpod594rerun-bc6e7b54-0072-427c-9ab6-bbc8ace2b184.mp3_ba063cb4949f2f90bda23d91adf9d734_19737389 |	You do have a little update at the end
EDL	00:00:08,192	00:00:09,472	| 20170719_pmoney_pmpod594rerun-bc6e7b54-0072-427c-9ab6-bbc8ace2b184.mp3_ba063cb4949f2f90bda23d91adf9d734_19737389 |	There's nothing that comes up in the news
EDL	00:00:10,240	00:00:10,752	| 20170719_pmoney_pmpod594rerun-bc6e7b54-0072-427c-9ab6-bbc8ace2b184.mp3_ba063cb4949f2f90bda23d91adf9d734_19737389 |	CEO pay
EDL	00:00:11,520	00:00:13,568	| 20170719_pmoney_pmpod594rerun-bc6e7b54-0072-427c-9ab6-bbc8ace2b184.mp3_ba063cb4949f2f90bda23d91adf9d734_19737389 |	The stories often include someone complaining that
EDL	00:00:14,592	00:00:15,360	| 20170719_pmoney_pmpod594rerun-bc6e7b54-0072-427c-9ab6-bbc8ace2b184.mp3_ba063cb4949f2f90bda23d91adf9d734_19737389 |	Too high
EDL	00:00:15,360	00:00:19,968	| 20170719_pmoney_pmpod594rerun-bc6e7b54-0072-427c-9ab6-bbc8ace2b184.mp3_ba063cb4949f2f90bda23d91adf9d734_19737389 |	Sometimes pointing out that it would take an average worker two centuries to earn what a top
EDL	00:00:19,968	00:00:21,248	| 20170719_pmoney_pmpod594rerun-bc6e7b54-0072-427c-9ab6-bbc8ace2b184.mp3_ba063cb4949f2f90bda23d91adf9d734_19737389 |	Paid CEO makes in a single
EDL	00:00:22,016	00:00:25,088	| 20170719_pmoney_pmpod594rerun-bc6e7b54-0072-427c-9ab6-bbc8ace2b184.mp3_ba063cb4949f2f90bda23d91adf9d734_19737389 |	Then there's somebody on the other side defending CEO pay
EDL	00:00:25,600	00:00:30,464	| 20170719_pmoney_pmpod594rerun-bc6e7b54-0072-427c-9ab6-bbc8ace2b184.mp3_ba063cb4949f2f90bda23d91adf9d734_19737389 |	And that usually about where the stories at just people arguing back and forth about numbers
EDL	00:00:30,464	00:00:32,512	| 20170719_pmoney_pmpod594rerun-bc6e7b54-0072-427c-9ab6-bbc8ace2b184.mp3_ba063cb4949f2f90bda23d91adf9d734_19737389 |	Today we have an actual story about Co
EDL	00:00:33,280	00:00:36,864	| 20170719_pmoney_pmpod594rerun-bc6e7b54-0072-427c-9ab6-bbc8ace2b184.mp3_ba063cb4949f2f90bda23d91adf9d734_19737389 |	A story with a beginning a middle and an end it's the story of two guys
EDL	00:00:36,864	00:00:40,448	| 20170719_pmoney_pmpod594rerun-bc6e7b54-0072-427c-9ab6-bbc8ace2b184.mp3_ba063cb4949f2f90bda23d91adf9d734_19737389 |	To Outsiders who try to cut the pay of the CEO
EDL	00:00:40,448	00:00:42,752	| 20170719_pmoney_pmpod594rerun-bc6e7b54-0072-427c-9ab6-bbc8ace2b184.mp3_ba063cb4949f2f90bda23d91adf9d734_19737389 |	A small pneumatic Tool company on Long Island
EDL	00:00:43,520	00:00:49,920	| 20170719_pmoney_pmpod594rerun-bc6e7b54-0072-427c-9ab6-bbc8ace2b184.mp3_ba063cb4949f2f90bda23d91adf9d734_19737389 |	Hello and welcome to Planet Money I'm Jacob Goldstein and I'm David kestenbaum this is a piece we just finished for This American Life
EDL	00:00:49,920	00:00:56,064	| 20170719_pmoney_pmpod594rerun-bc6e7b54-0072-427c-9ab6-bbc8ace2b184.mp3_ba063cb4949f2f90bda23d91adf9d734_19737389 |	Where's the nearest dry cleaner near special for Planet Money
EDL	00:01:03,232	00:01:09,632	| 20170719_pmoney_pmpod594rerun-bc6e7b54-0072-427c-9ab6-bbc8ace2b184.mp3_ba063cb4949f2f90bda23d91adf9d734_19737389 |	This message comes from NPR sponsor Squarespace Squarespace allows small businesses to design and build their
EDL	00:01:09,632	00:01:15,776	| 20170719_pmoney_pmpod594rerun-bc6e7b54-0072-427c-9ab6-bbc8ace2b184.mp3_ba063cb4949f2f90bda23d91adf9d734_19737389 |	Their own websites using customizable layouts and features including e-commerce functionality and mobile added
EDL	00:01:16,288	00:01:22,688	| 20170719_pmoney_pmpod594rerun-bc6e7b54-0072-427c-9ab6-bbc8ace2b184.mp3_ba063cb4949f2f90bda23d91adf9d734_19737389 |	Squarespace also offers built-in search engine optimization to help you develop an online presence go to
EDL	00:01:22,688	00:01:26,016	| 20170719_pmoney_pmpod594rerun-bc6e7b54-0072-427c-9ab6-bbc8ace2b184.mp3_ba063cb4949f2f90bda23d91adf9d734_19737389 |	Squarespace.com NPR for free trial
EDL	00:01:26,016	00:01:32,160	| 20170719_pmoney_pmpod594rerun-bc6e7b54-0072-427c-9ab6-bbc8ace2b184.mp3_ba063cb4949f2f90bda23d91adf9d734_19737389 |	And when you're ready to launch use the offer code NPR to save 10% off your first purchase of a website or Dome
