EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:03,072	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	This message comes from NPR sponsors snowflake
EDL	00:00:03,072	00:00:05,888	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	The only data warehouse built for the cloud
EDL	00:00:05,888	00:00:11,264	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	Unlock deep Data Insights with the instantly scalable Cloud build data warehouse
EDL	00:00:11,264	00:00:14,080	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	Start your journey towards data-driven decision-making
EDL	00:00:14,080	00:00:16,640	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	It's snowflake. Com NPR
EDL	00:00:17,920	00:00:18,688	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	Good morning
EDL	00:00:18,688	00:00:21,504	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	Today Show contains profanity and offensive racial
EDL	00:00:22,528	00:00:23,808	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	Something strange
EDL	00:00:23,808	00:00:24,576	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	Has happened
EDL	00:00:24,576	00:00:25,088	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	To the passage
EDL	00:00:26,624	00:00:28,160	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	And I don't know if you've noticed this but
EDL	00:00:28,160	00:00:30,208	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	It just happens to me every week
EDL	00:00:30,208	00:00:31,232	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	Feels like Friday
EDL	00:00:31,232	00:00:32,512	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	And you're like
EDL	00:00:33,280	00:00:34,048	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	It is Tuesday after
EDL	00:00:34,816	00:00:37,888	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	Here's how this bizarre time-warp is affecting all of us here
EDL	00:00:37,888	00:00:38,400	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	At Planet Money
EDL	00:00:38,912	00:00:42,752	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	Now every year you may know this right at the end of the year we do a special podcast
EDL	00:00:42,752	00:00:44,288	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	It is a holiday tradition
EDL	00:00:44,288	00:00:47,616	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	I need this podcast we look back at the long year behind us
EDL	00:00:47,616	00:00:49,152	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	And we update all the story
EDL	00:00:49,152	00:00:50,432	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	We tell you what happened
EDL	00:00:50,432	00:00:52,224	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	The people after we turn the mic
EDL	00:00:52,224	00:00:52,736	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	Microphones off
EDL	00:00:53,248	00:00:54,528	| 20170728_pmoney_pmpod785.mp3_aa328061934be56c7a55f4f70c6294a4_21986838 |	We call it the rest of the story
