EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:03,584	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	Support for NPR and the following message come from State Farm
EDL	00:00:03,584	00:00:05,376	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	When it comes to home and auto insurance
EDL	00:00:05,888	00:00:07,680	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	They're here through the ups and downs
EDL	00:00:07,680	00:00:09,216	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	Go to statefarm.com
EDL	00:00:09,216	00:00:09,984	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	To be connect
EDL	00:00:09,984	00:00:12,032	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	It was one of the 19000 ages
EDL	00:00:12,032	00:00:13,056	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	In neighborhoods
EDL	00:00:13,056	00:00:14,080	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	Across the Nation
EDL	00:00:14,080	00:00:14,848	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	State Farm
EDL	00:00:14,848	00:00:16,128	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	Here to help life
EDL	00:00:16,128	00:00:16,640	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	Go right
EDL	00:00:18,176	00:00:19,456	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	Earlier this summer
EDL	00:00:19,456	00:00:22,784	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	Margaret this day our walked into a room full of cameras
EDL	00:00:22,784	00:00:23,808	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	And microphones and Report
EDL	00:00:24,320	00:00:25,344	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	Thank you very much
EDL	00:00:25,856	00:00:26,880	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	Took a sip of water
EDL	00:00:29,696	00:00:32,000	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	Today the commission has decided
EDL	00:00:32,000	00:00:35,328	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	And answer the question that some people have been asking for a long time
EDL	00:00:36,352	00:00:38,656	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	Is Google abusing its power over the
EDL	00:00:39,424	00:00:43,008	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	Google which is now technically part of a company called Alpha
EDL	00:00:43,008	00:00:49,408	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	That is one of the biggest corporations on the planet that controls the information that billions of people see when they
EDL	00:00:49,408	00:00:52,224	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	I want to know who was FDR Secretary of State
EDL	00:00:52,736	00:00:54,272	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	Cordell Hull
EDL	00:00:54,272	00:00:55,296	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	Where is the nearest gas
EDL	00:00:55,808	00:00:58,112	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	Apparently it's at 51st Street and 11th Ave
EDL	00:00:58,112	00:01:00,160	| 20170804_pmoney_pmpod787-becbd89f-368f-4909-8d9a-a7587f6b3a54.mp3_0532486d282c83e9b29e10400fb449c9_16097693 |	Or where to order a Sony digital camera
