EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,512	00:00:03,840	| 20171115_pmoney_pmpod805v3-5a2756ba-2c04-462c-97cf-d68a99a001bd.mp3_09845689cf85af191e8b4aac450119c1_18298881 |	It was supposed to be a simple diplomatic trip
EDL	00:00:03,840	00:00:05,120	| 20171115_pmoney_pmpod805v3-5a2756ba-2c04-462c-97cf-d68a99a001bd.mp3_09845689cf85af191e8b4aac450119c1_18298881 |	To some of the poorest countries in
EDL	00:00:05,632	00:00:07,424	| 20171115_pmoney_pmpod805v3-5a2756ba-2c04-462c-97cf-d68a99a001bd.mp3_09845689cf85af191e8b4aac450119c1_18298881 |	The time for Action is now
EDL	00:00:07,424	00:00:13,056	| 20171115_pmoney_pmpod805v3-5a2756ba-2c04-462c-97cf-d68a99a001bd.mp3_09845689cf85af191e8b4aac450119c1_18298881 |	We're not waiting anymore Nikki Haley the US ambassador to the United Nations
EDL	00:00:13,056	00:00:14,848	| 20171115_pmoney_pmpod805v3-5a2756ba-2c04-462c-97cf-d68a99a001bd.mp3_09845689cf85af191e8b4aac450119c1_18298881 |	Went to talkative camp for refugee
EDL	00:00:15,360	00:00:17,664	| 20171115_pmoney_pmpod805v3-5a2756ba-2c04-462c-97cf-d68a99a001bd.mp3_09845689cf85af191e8b4aac450119c1_18298881 |	People who'd been displaced by the Civil War in
EDL	00:00:17,664	00:00:18,176	| 20171115_pmoney_pmpod805v3-5a2756ba-2c04-462c-97cf-d68a99a001bd.mp3_09845689cf85af191e8b4aac450119c1_18298881 |	South Sudan
EDL	00:00:18,944	00:00:24,576	| 20171115_pmoney_pmpod805v3-5a2756ba-2c04-462c-97cf-d68a99a001bd.mp3_09845689cf85af191e8b4aac450119c1_18298881 |	And then this happened
EDL	00:00:24,576	00:00:27,648	| 20171115_pmoney_pmpod805v3-5a2756ba-2c04-462c-97cf-d68a99a001bd.mp3_09845689cf85af191e8b4aac450119c1_18298881 |	The crowds of protesters were so angry and so big
EDL	00:00:28,160	00:00:29,952	| 20171115_pmoney_pmpod805v3-5a2756ba-2c04-462c-97cf-d68a99a001bd.mp3_09845689cf85af191e8b4aac450119c1_18298881 |	And they would not be talked down
EDL	00:00:29,952	00:00:32,256	| 20171115_pmoney_pmpod805v3-5a2756ba-2c04-462c-97cf-d68a99a001bd.mp3_09845689cf85af191e8b4aac450119c1_18298881 |	Enter the Ambassador had to be evacuated
