EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:03,328	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	About 10 years ago Suzana Morgan was running
EDL	00:00:03,328	00:00:04,096	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	Food bank in Alaska
EDL	00:00:04,864	00:00:06,656	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	And she really needed fresh Pro
EDL	00:00:06,656	00:00:07,936	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	Produce she always did
EDL	00:00:08,704	00:00:12,288	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	One day the phone rang it was a speak National charity called
EDL	00:00:12,288	00:00:13,056	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	Feeding America
EDL	00:00:13,568	00:00:16,384	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	Feeding America is this network of food banks all around the country
EDL	00:00:16,896	00:00:17,408	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	Including Suzanne
EDL	00:00:17,920	00:00:19,200	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	What they do is they get these
EDL	00:00:19,200	00:00:20,224	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	Big donations
EDL	00:00:20,224	00:00:22,016	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	Food and they figure out where they should go
EDL	00:00:22,528	00:00:24,320	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	I'm just called they said they had a big donation
EDL	00:00:24,832	00:00:26,368	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	It was not fresh produce
EDL	00:00:26,368	00:00:28,672	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	It was a truckload of 5 gallon buckets
EDL	00:00:29,440	00:00:32,000	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	You're kidding me you're offering me pickles
EDL	00:00:33,792	00:00:39,936	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	Make a person who said yeah I know I know I know but you guys have been hanging out there at the top of the list
EDL	00:00:39,936	00:00:40,960	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	For quite a while
EDL	00:00:40,960	00:00:44,800	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	This is the first thing we've had that we think will really make it all the way to Alaska
EDL	00:00:44,800	00:00:45,568	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	What are you doing
EDL	00:00:46,592	00:00:50,688	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	We strong-armed every soup kitchen we could find instead
EDL	00:00:50,688	00:00:55,296	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	Peking pickles to ask the people
EDL	00:00:55,296	00:00:56,064	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	Feeding America
EDL	00:00:56,064	00:00:57,856	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	Why are we getting more fresh produce
EDL	00:00:57,856	00:00:58,880	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	And so
EDL	00:00:58,880	00:01:02,720	| 20171122_pmoney_pmpod665rerun-90ee70a1-c60f-457d-a0b9-7eb2c96eb8fc.mp3_06fd61af4faa6fdf32dd3bf738a520e0_17271037 |	Feeding America would say well we didn't offer you that truckload of oranges
