EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:02,304	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	Support for NPR and the following message
EDL	00:00:02,304	00:00:03,584	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	Which come from WWE
EDL	00:00:04,352	00:00:06,656	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	Publishers of people power and profit
EDL	00:00:06,656	00:00:09,472	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	Progressive capitalism for an age of discontent
EDL	00:00:09,472	00:00:11,520	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	By Nobel prize-winning economist
EDL	00:00:11,520	00:00:12,544	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	Joseph E stiglitz
EDL	00:00:13,824	00:00:15,872	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	In the very early days
EDL	00:00:15,872	00:00:16,384	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	Of satellites
EDL	00:00:16,896	00:00:20,224	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	You pretty much knew what the mission of Any Given satellite was going to be
EDL	00:00:20,736	00:00:21,760	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	Spying on the enemy
EDL	00:00:21,760	00:00:24,064	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	And at the time the object of Interest
EDL	00:00:24,064	00:00:25,856	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	Was pretty singular the Soviet Union
EDL	00:00:26,368	00:00:30,720	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	Robert Cargill job was to study the photos that came down from those us spy satellite
EDL	00:00:31,232	00:00:35,072	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	Everyday she would go to a windowless government building in Washington DC
EDL	00:00:35,584	00:00:37,120	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	Into a dimly lit room
EDL	00:00:37,120	00:00:39,424	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	And you would sit down at something called a light table
EDL	00:00:39,936	00:00:40,960	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	With a single photograph on it
EDL	00:00:41,472	00:00:43,776	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	And then imagine a microscope
EDL	00:00:44,288	00:00:46,592	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	Righttime now peering through a microscope
EDL	00:00:46,592	00:00:48,384	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	I'm looking at
EDL	00:00:48,896	00:00:55,296	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	Garrison's that have military equipment at I'm looking at test sites in which they might be employed
EDL	00:00:55,296	00:00:57,856	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	A new missile technology I'm looking at ports
EDL	00:00:58,624	00:01:01,440	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	To see what the development of their Naval capabilities are
EDL	00:01:01,952	00:01:04,768	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	Lots of people would look at the same photograph
EDL	00:01:04,768	00:01:05,280	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	4 hours
EDL	00:01:06,048	00:01:07,072	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	They called it torturing
EDL	00:01:07,840	00:01:09,888	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	And I had to torture the pixels because
EDL	00:01:09,888	00:01:12,448	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	Each and every Spy photo of the Soviet Union
EDL	00:01:12,448	00:01:14,496	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	What's incredibly rare and valuable
EDL	00:01:15,008	00:01:17,824	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	In early days of satellites would take pictures on rolls
EDL	00:01:17,824	00:01:20,384	| 20171201_pmoney_pmpod809_v2-6554295e-fe40-4f4c-a2de-630ee0a136b6.mp3_3b8d66db9ae87ad98ec2a40dad03133b_22872211 |	Felt this was before digital photography where you could
