EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:06,656	| 20171222_indicator_1222_airfare_pm_feed-63ab8740-8ea6-4621-8b81-3a6ff5141f53.mp3_ce264c80cf2ac8045d63bd2c7c68e94a_634868 |	Support for Planet Money and the following message come from Michigan Economic Development Corporation Cy Michigan is a tract
EDL	00:00:06,656	00:00:10,752	| 20171222_indicator_1222_airfare_pm_feed-63ab8740-8ea6-4621-8b81-3a6ff5141f53.mp3_ce264c80cf2ac8045d63bd2c7c68e94a_634868 |	Top talent and pop businesses by searching Michigan pure opportunity
EDL	00:00:12,032	00:00:13,312	| 20171222_indicator_1222_airfare_pm_feed-63ab8740-8ea6-4621-8b81-3a6ff5141f53.mp3_ce264c80cf2ac8045d63bd2c7c68e94a_634868 |	I'm Stacey Vanek Smith
EDL	00:00:13,312	00:00:16,384	| 20171222_indicator_1222_airfare_pm_feed-63ab8740-8ea6-4621-8b81-3a6ff5141f53.mp3_ce264c80cf2ac8045d63bd2c7c68e94a_634868 |	I'm hosting a new podcast from the Planet Money Team called
EDL	00:00:16,384	00:00:17,152	| 20171222_indicator_1222_airfare_pm_feed-63ab8740-8ea6-4621-8b81-3a6ff5141f53.mp3_ce264c80cf2ac8045d63bd2c7c68e94a_634868 |	The indicator
EDL	00:00:17,152	00:00:18,944	| 20171222_indicator_1222_airfare_pm_feed-63ab8740-8ea6-4621-8b81-3a6ff5141f53.mp3_ce264c80cf2ac8045d63bd2c7c68e94a_634868 |	And here is a recent episode we did
EDL	00:00:18,944	00:00:20,736	| 20171222_indicator_1222_airfare_pm_feed-63ab8740-8ea6-4621-8b81-3a6ff5141f53.mp3_ce264c80cf2ac8045d63bd2c7c68e94a_634868 |	If you like it check out the indicator
EDL	00:00:20,736	00:00:22,528	| 20171222_indicator_1222_airfare_pm_feed-63ab8740-8ea6-4621-8b81-3a6ff5141f53.mp3_ce264c80cf2ac8045d63bd2c7c68e94a_634868 |	On NPR one or wherever you get your pie
EDL	00:00:26,368	00:00:29,440	| 20171222_indicator_1222_airfare_pm_feed-63ab8740-8ea6-4621-8b81-3a6ff5141f53.mp3_ce264c80cf2ac8045d63bd2c7c68e94a_634868 |	Last month I did what many millions of Americans did
EDL	00:00:29,440	00:00:31,232	| 20171222_indicator_1222_airfare_pm_feed-63ab8740-8ea6-4621-8b81-3a6ff5141f53.mp3_ce264c80cf2ac8045d63bd2c7c68e94a_634868 |	I bought a plane ticket home for the holidays
